,lnEGDPpc2012,lnagr_land2012,lnurb_land2012,ln_perUrb_land2012,ln_tr400_pop2012,ln_pm25_2012,ln_land_temp2012
20,7.821905917869578,6.907755278982137,6.907755278982137,6.907755278982137,9.113872488291253,2.8938626868016883,5.702518312977096
21,6.931562957263837,6.907755278982137,6.907755278982137,6.907755278982137,8.087264033845159,3.172005148591813,5.698748400811899
22,9.124428788831242,7.040311213311822,7.0365677702828835,6.9082475185597465,9.698971735169755,2.941794976221846,5.711998178100884
23,7.620010367750475,6.9759616247891065,7.0708704912249996,6.908470124230251,9.877630214416241,3.1360679141067886,5.70000828500758
24,7.258472629624305,6.9135473674878165,6.907755278982137,6.907755278982137,9.244887391959036,3.185648449907767,5.689904855617833
25,8.056773018626844,7.0002610387844735,6.907755278982137,6.907755278982137,9.273385966753569,2.870594065706103,5.6895485260294905
26,8.02425990225937,7.158404678691319,6.922080010971985,6.907803485077682,9.698690421704603,3.3034714693746374,5.699845186717501
27,7.541121855455947,6.907755278982137,6.907755278982137,6.907755278982137,9.420534115299953,3.098336477767089,5.696479271662404
28,7.319433282821212,6.908922527489445,6.907755278982137,6.907755278982137,9.462194443512361,3.1831846472123257,5.679213863919365
29,7.473580442582768,6.974127846521455,6.907755278982137,6.907755278982137,9.82776355993985,3.171081083619344,5.6825186335046505
30,8.099196011982366,6.907755278982137,6.907755278982137,6.907755278982137,8.894646623598833,3.1420661518297437,5.679863134301943
31,7.982510184815475,7.2295031550608195,7.1691749229839195,6.908195648454798,11.367703407761345,3.360774398342315,5.710668049589172
32,8.85554142748914,6.909091320647362,6.907755278982137,6.907755278982137,7.925640548110967,3.045369942879927,5.696150278374771
33,7.174999039594934,6.986586355102833,6.953325834688613,6.908117639759635,10.786021191265483,3.267302720374037,5.700152961578535
34,8.687419406996272,6.949114717516311,6.937300411644069,6.908170437925936,9.253936690498199,3.168301409860729,5.691085674082916
35,8.122902950606433,6.913325744829249,6.907755278982137,6.907755278982137,10.402746175742424,2.742546304838337,5.699566590374876
36,8.72809803721599,6.910627080289305,6.911684114244926,6.9083329569087555,9.802762001039483,2.848445689220238,5.69328398802777
37,7.50107876210728,6.910510887515529,6.907755278982137,6.907755278982137,9.706893912355289,2.8411713379358328,5.69538086579734
38,8.705179257322643,6.932093545885352,6.937872959647341,6.908308908158362,9.225239723328528,3.6383529593025377,5.705854798006791
39,7.367558398311836,6.907755278982137,6.907755278982137,6.907755278982137,10.160514792699813,2.9873951179244194,5.6953987633669945
40,7.606511666052045,6.913232184634748,6.907755278982137,6.907755278982137,10.356039978968944,3.0218086744188057,5.695228950522591
41,6.621391966547766,6.915200564433618,6.907755278982137,6.907755278982137,9.467175455580213,3.044348568404267,5.67746787423765
42,10.782620478577446,6.907755278982137,6.907755278982137,6.907755278982137,9.481202122634587,2.7202040648414205,5.7042956626293915
43,6.769786168519001,6.9325894488382165,6.911070464731844,6.907871927526644,9.4882240465324,3.009465536375953,5.678856709976993
44,9.513578550832767,6.907755278982137,6.907755278982137,6.907755278982137,8.99761006415653,2.7122080425869592,5.70717048034784
45,10.488819700753472,6.907755278982137,6.907755278982137,6.907755278982137,8.614537265091796,3.649784235815446,5.705668976259216
