asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
65,0.0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,0.0,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,0.0,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,0.61790372047,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,0.0,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,0.656371408063,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,0.0,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,0.0,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,0.0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,0.0,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,0.0,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,0.0,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,0.0,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,0.0,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,0.0,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,0.0,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,0.0,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,0.775525838167,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,0.774271899788,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,0.837580293868,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,0.0,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,0.0,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,0.863003111541,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,0.0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,0.943385581657,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
