asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
56,222.7698047,1730,139,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,159.360665,187,139,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,213.8171703,244,186,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,2180.286744,3771,909,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,2752.158647,4686,780,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,2685.558888,6323,815,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,1901.413073,3871,929,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,3947.458472,4674,3693,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,4020.088164,4833,3833,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,3087.570918,4272,1992,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,4024.977531,5945,3748,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,4334.51733,5446,3873,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,315.4343947,864,156,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,224.6666055,329,174,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,149.5657001,177,127,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,4329.18677,5814,3799,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,1205.500014,3378,455,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,145.9862141,203,125,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,141.5033001,180,125,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,3953.321291,4733,3815,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,3890.124641,4846,2216,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,3725.460599,4707,2611,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,3962.700437,5816,3636,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,3997.063801,5012,2540,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,3598.24912,4565,2613,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,3986.14019,4632,2572,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,2566.47593,2672,2544,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,3091.885693,4544,2424,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,3445.652113,4948,2541,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,3035.305643,3622,2235,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,2295.286423,4102,307,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,812.0065274,2239,286,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,312.6479483,1037,242,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,152.3155784,305,127,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,303.2815635,454,253,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,4390.793048,5602,3394,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,2115.433828,4599,1460,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,4070.468464,5568,3295,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,478.9376833,1839,280,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,3596.96023,4643,2429,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,1033.420254,2166,472,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,2409.9129,4202,933,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,3079.60185,4405,1575,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,2654.038904,3962,1648,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,4037.825755,5342,3774,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,2226.275487,4561,940,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,3768.857626,5351,3611,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,4601.266706,5936,3519,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,3099.33449,4447,2270,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,2998.950088,4016,2180,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,3543.514235,5012,1670,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,4202.822182,5257,3825,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,3750.094324,4532,3693,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,3779.282572,4725,3717,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,4251.55239,4754,3856,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,3836.455188,3862,3813,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,3939.766235,4594,3814,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,3727.848937,4040,3670,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,3814.221796,4679,3701,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,3208.752886,4667,2486,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,3535.797038,4852,2216,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,3880.551177,4811,3704,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,3142.737327,4119,2166,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,3295.683539,3838,2980,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
