system:index,agriculture,country,id,level,name,system:time_start,total_area,urban,year,.geo
2012_01_01_000000000000000000c9,412.51263971954677,Bolivia,201,Admin2,Yotala,1325376000000,434.53980621707507,2.0041180899509805,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ca,612.5966242784312,Bolivia,202,Admin2,Yamparáez,1325376000000,647.221718883742,4.6444588308823525,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000cb,800.5350813062499,Bolivia,203,Admin2,Tomina,1325376000000,817.5384346483784,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000cd,1059.6203515877453,Bolivia,205,Admin2,Tarabuco,1325376000000,1083.6594086094435,2.354091640625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ce,654.3017424432595,Bolivia,206,Admin2,Zudañez,1325376000000,660.9631486196272,1.498045640625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000f1,37.47999105300244,Bolivia,241,Admin2,Muyupampa,1325376000000,3797.198879730984,0.428061546875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000f3,411.6927944328431,Bolivia,243,Admin2,Padilla,1325376000000,1673.5123431114484,2.354134984375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000f4,1157.0648707691173,Bolivia,244,Admin2,Mojocoya,1325376000000,1242.3286370058852,1.069986765625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000f6,777.7486643463847,Bolivia,246,Admin2,Villa Serrano,1325376000000,1739.7352178597055,0.4280135,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000f7,20.559223899816182,Bolivia,247,Admin2,Macharetí,1325376000000,7950.389025933362,5.4573256329044115,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000fe,1522.0773789373154,Bolivia,254,Admin2,Sucre,1325376000000,1682.267943268781,74.88366756317403,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ff,1113.3296706227945,Bolivia,255,Admin2,Presto,1325376000000,1361.4828031608508,0.8560028125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000012c,1296.9709719838233,Bolivia,300,Admin2,Poroma,1325376000000,1450.4689869324243,0.64196165625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000142,571.8931413837622,Bolivia,322,Admin2,Villa Charcas,1325376000000,689.9731979667295,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000150,598.6856676340074,Bolivia,336,Admin2,Camargo,1325376000000,2088.4602389514835,29.128207338909313,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000005,1779.2233335256753,Bolivia,5,Admin2,Aiquile,1325376000000,2691.159187144496,4.27957340625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000000c,99.15187489767159,Bolivia,12,Admin2,Villa Rivero,1325376000000,101.21688211544591,0.85584590625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000000f,137.36054018204655,Bolivia,15,Admin2,Arbieto,1325376000000,148.9709877573002,3.211085100612745,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000015,104.43324439362748,Bolivia,21,Admin2,Sicaya,1325376000000,116.490740932836,7.425903686580883,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000017,538.0016708716298,Bolivia,23,Admin2,Capinota,1325376000000,575.5665059720247,22.894197796875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000018,462.2610816553311,Bolivia,24,Admin2,Arque,1325376000000,514.2141905357793,0.6419049375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000001a,111.23724704185048,Bolivia,26,Admin2,San Benito,1325376000000,139.62124287479136,0.82646803125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
