asdf_id,categorical_gold_v12.none.categorical_count,categorical_gold_v12.none.categorical_none,categorical_gold_v12.none.categorical_lootable,categorical_gold_v12.none.categorical_surface,categorical_gold_v12.none.categorical_nonlootable,categorical_gold_v12.none.categorical_mix,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
54,800,800,0,0,0,0,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1111,1110,1,0,0,0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,21143,21143,0,0,0,0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,7356,7356,0,0,0,0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,2597,2597,0,0,0,0,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,604,604,0,0,0,0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,2781,2777,2,0,2,0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,1149,1149,0,0,0,0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,257,257,0,0,0,0,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,590,589,0,0,1,0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,1166,1166,0,0,0,0,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,1615,1615,0,0,0,0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,4036,4035,0,0,1,0,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,190,189,0,0,1,0,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,24540,24540,0,0,0,0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,3479,3479,0,0,0,0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,4588,4588,0,0,0,0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,183,183,0,0,0,0,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,5184,5184,0,0,0,0,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,7233,7233,0,0,0,0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,6669,6669,0,0,0,0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,299,298,0,0,1,0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,1490,1490,0,0,0,0,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,1017,1016,1,0,0,0,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,4918,4918,0,0,0,0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,478,478,0,0,0,0,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,636,636,0,0,0,0,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,269,269,0,0,0,0,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,23,23,0,0,0,0,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,433,433,0,0,0,0,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,184,184,0,0,0,0,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,290,290,0,0,0,0,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,1816,1816,0,0,0,0,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,2318,2318,0,0,0,0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,1040,1040,0,0,0,0,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,11751,11751,0,0,0,0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,938,938,0,0,0,0,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,2208,2208,0,0,0,0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,723,723,0,0,0,0,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,348,348,0,0,0,0,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,3395,3395,0,0,0,0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,1607,1607,0,0,0,0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,2562,2562,0,0,0,0,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,1723,1723,0,0,0,0,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,1797,1797,0,0,0,0,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,1010,1010,0,0,0,0,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,2046,2045,0,0,1,0,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,1800,1800,0,0,0,0,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,1123,1123,0,0,0,0,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,11622,11617,4,0,1,0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,789,789,0,0,0,0,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,573,573,0,0,0,0,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,628,628,0,0,0,0,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,199,199,0,0,0,0,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,153,153,0,0,0,0,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,452,452,0,0,0,0,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,241,241,0,0,0,0,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,16,16,0,0,0,0,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,1317,1317,0,0,0,0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,914,914,0,0,0,0,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,2792,2792,0,0,0,0,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,1404,1404,0,0,0,0,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,383,383,0,0,0,0,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,276,276,0,0,0,0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,327,327,0,0,0,0,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,169,169,0,0,0,0,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,567,567,0,0,0,0,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,55,55,0,0,0,0,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,59,59,0,0,0,0,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,19,19,0,0,0,0,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,46,46,0,0,0,0,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,498,498,0,0,0,0,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,894,894,0,0,0,0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,2614,2613,0,0,1,0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,259,259,0,0,0,0,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,1253,1252,0,0,1,0,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,92,92,0,0,0,0,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,61,61,0,0,0,0,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,374,374,0,0,0,0,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,314,314,0,0,0,0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,1012,1011,0,0,1,0,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,244,244,0,0,0,0,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,2021,2016,2,0,3,0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,447,445,0,0,2,0,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,506,506,0,0,0,0,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,3327,3325,0,0,2,0,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,174,174,0,0,0,0,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,73,73,0,0,0,0,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,1479,1478,0,0,1,0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,471,471,0,0,0,0,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,289,288,0,0,1,0,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,1104,1102,0,0,2,0,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,6272,6272,0,0,0,0,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,2597,2597,0,0,0,0,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,7925,7925,0,0,0,0,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,301,298,1,0,2,0,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,379,379,0,0,0,0,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,403,403,0,0,0,0,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,721,721,0,0,0,0,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,171,170,0,0,1,0,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,842,840,0,0,2,0,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,16,16,0,0,0,0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,584,584,0,0,0,0,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,447,446,1,0,0,0,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,623,621,1,0,1,0,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,150,150,0,0,0,0,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,289,289,0,0,0,0,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,494,494,0,0,0,0,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,1335,1334,0,0,1,0,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,90,90,0,0,0,0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,845,845,0,0,0,0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,155,155,0,0,0,0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,10,10,0,0,0,0,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,1068,1066,1,0,1,0,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,76,76,0,0,0,0,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,921,920,0,0,1,0,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,585,585,0,0,0,0,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,97,97,0,0,0,0,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,198,198,0,0,0,0,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,474,472,0,0,2,0,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,1494,1494,0,0,0,0,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,212,211,1,0,0,0,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,1730,1729,0,0,1,0,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,1609,1604,1,0,4,0,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,2396,2395,1,0,0,0,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,517,517,0,0,0,0,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,3045,3039,4,0,2,0,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,1162,1161,1,0,0,0,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,1257,1255,0,1,1,0,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,2078,2078,0,0,0,0,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,1138,1137,0,0,1,0,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,151,151,0,0,0,0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,1165,1165,0,0,0,0,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,399,399,0,0,0,0,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,1277,1277,0,0,0,0,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,1798,1797,0,0,1,0,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,767,767,0,0,0,0,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,1104,1104,0,0,0,0,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,670,666,3,0,1,0,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,2564,2564,0,0,0,0,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,2913,2913,0,0,0,0,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,1031,1031,0,0,0,0,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,52,52,0,0,0,0,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,966,966,0,0,0,0,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,265,265,0,0,0,0,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,499,499,0,0,0,0,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,695,695,0,0,0,0,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,371,371,0,0,0,0,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,552,552,0,0,0,0,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,701,701,0,0,0,0,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,738,738,0,0,0,0,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,932,932,0,0,0,0,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,565,565,0,0,0,0,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,491,491,0,0,0,0,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,2053,2053,0,0,0,0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,3139,3139,0,0,0,0,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,11937,11934,2,0,1,0,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,2110,2109,0,0,1,0,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,2487,2486,0,0,1,0,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,17891,17891,0,0,0,0,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,7410,7409,1,0,0,0,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,9917,9916,1,0,0,0,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,1041,1041,0,0,0,0,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,1730,1730,0,0,0,0,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,20738,20738,0,0,0,0,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,10609,10608,1,0,0,0,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,888,888,0,0,0,0,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,4318,4318,0,0,0,0,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,2184,2184,0,0,0,0,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,4362,4362,0,0,0,0,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,3655,3655,0,0,0,0,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,4453,4453,0,0,0,0,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,5373,5373,0,0,0,0,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,2368,2368,0,0,0,0,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,5433,5433,0,0,0,0,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,2996,2995,1,0,0,0,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,78,78,0,0,0,0,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,54,54,0,0,0,0,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,226,223,1,0,2,0,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,2055,2055,0,0,0,0,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,9739,9739,0,0,0,0,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,879,879,0,0,0,0,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,1309,1308,1,0,0,0,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,156,156,0,0,0,0,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,586,586,0,0,0,0,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,67,67,0,0,0,0,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,246,246,0,0,0,0,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
