asdf_id,globalsolaratlas_pvout.none.mean,globalsolaratlas_pvout.none.max,globalsolaratlas_pvout.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
48,3.95527257308,4.09499979019,3.42700004578,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,5.66651128718,5.83400011063,5.3189997673,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,5.79246683271,5.94099998474,5.49700021744,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,4.73808555767,5.61800003052,3.82399988174,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,4.84688556386,5.09999990463,4.5529999733,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,5.02900058997,5.15999984741,4.80200004578,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,4.01411307619,4.15799999237,3.81299996376,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,4.08484309019,4.125,4.04300022125,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,3.97210526963,4.16900014877,3.22499990463,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,4.08448388437,4.18300008774,4.007999897,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,4.07519741497,4.11199998856,4.02699995041,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,4.17804594809,4.67000007629,3.47900009155,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,4.04170156676,5.05399990082,2.63100004196,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,4.02750347619,5.15199995041,2.76200008392,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,3.99378180173,4.43499994278,3.11199998856,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,5.7486987806,6.02299976349,5.44500017166,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,5.80223695394,5.93200016022,5.59800004959,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,5.33639486518,5.72200012207,4.80200004578,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5.84344585846,6.18400001526,5.08400011063,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,6.01341019699,6.12099981308,5.71899986267,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,4.11605606617,4.17199993134,3.98000001907,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,4.01621272159,4.07899999619,3.95799994469,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,4.08905777858,4.16400003433,4.02699995041,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,5.97995940047,6.07800006866,5.49700021744,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,3.95283947654,4.74700021744,3.47399997711,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,4.11665807804,4.21000003815,4.01900005341,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,4.10092725265,4.18300008774,4.04300022125,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,5.69967209179,5.92999982834,5.36800003052,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,5.51054636124,5.77600002289,4.76900005341,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,5.51574475135,5.77600002289,4.74700021744,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
