asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
253,611.4084913,1650,144,ADM3,253,253,BOL,BOL-ADM3-33444609B32904525,Gutiérrez,ADM3
254,193.6922935,971,0,ADM3,254,254,BOL,BOL-ADM3-33444609B61390228,Sucre,ADM3
255,481.9288158,1147,65,ADM3,255,255,BOL,BOL-ADM3-33444609B90222474,Presto,ADM3
256,1001.954588,2131,123,ADM3,256,256,BOL,BOL-ADM3-33444609B25796587,Postrervalle,ADM3
257,343.2307694,710,158,ADM3,257,257,BOL,BOL-ADM3-33444609B52561385,Trigal,ADM3
258,246.8755026,544,117,ADM3,258,258,BOL,BOL-ADM3-33444609B67865308,Quirusillas,ADM3
259,437.1455465,2215,30,ADM3,259,259,BOL,BOL-ADM3-33444609B3158247,Cabezas,ADM3
260,106.1954808,346,15,ADM3,260,260,BOL,BOL-ADM3-33444609B36360155,Cotoca,ADM3
261,1029.943696,2857,69,ADM3,261,261,BOL,BOL-ADM3-33444609B82294182,Yapacaní,ADM3
262,772.5900893,1417,54,ADM3,262,262,BOL,BOL-ADM3-33444609B81436946,Cuatro Cañadas,ADM3
263,555.7049875,1417,142,ADM3,263,263,BOL,BOL-ADM3-33444609B34841445,San Ramón,ADM3
264,535.8148171,1355,133,ADM3,264,264,BOL,BOL-ADM3-33444609B57224915,San Javier,ADM3
265,693.3028555,1952,207,ADM3,265,265,BOL,BOL-ADM3-33444609B78704867,San Miguel,ADM3
266,795.6916466,3408,30,ADM3,266,266,BOL,BOL-ADM3-33444609B25395901,Villa Tunari,ADM3
267,549.4465489,1219,118,ADM3,267,267,BOL,BOL-ADM3-33444609B24552917,Chimoré,ADM3
268,885.3771068,2556,23,ADM3,268,268,BOL,BOL-ADM3-33444609B18430420,Tiraque,ADM3
269,481.9330175,1689,74,ADM3,269,269,BOL,BOL-ADM3-33444609B95602913,Shinahota,ADM3
270,27.54129801,178,0,ADM3,270,270,BOL,BOL-ADM3-33444609B71154134,Montero,ADM3
271,791.1568964,2319,170,ADM3,271,271,BOL,BOL-ADM3-33444609B46709169,Ascención de Guarayos,ADM3
272,618.8456122,2386,20,ADM3,272,272,BOL,BOL-ADM3-33444609B55665100,San Andrés,ADM3
273,297.6459982,877,71,ADM3,273,273,BOL,BOL-ADM3-33444609B36270672,Vacas,ADM3
274,302.4570091,890,82,ADM3,274,274,BOL,BOL-ADM3-33444609B99795676,Pocona,ADM3
275,140.1260727,397,31,ADM3,275,275,BOL,BOL-ADM3-33444609B439401,Okinawa Uno,ADM3
276,108.8011178,436,6,ADM3,276,276,BOL,BOL-ADM3-33444609B11056664,Warnes,ADM3
277,102.2857047,489,5,ADM3,277,277,BOL,BOL-ADM3-33444609B54301679,General Saavedra,ADM3
278,684.199308,2393,46,ADM3,278,278,BOL,BOL-ADM3-33444609B10251116,Pailón,ADM3
279,330.0505104,702,31,ADM3,279,279,BOL,BOL-ADM3-33444609B49773042,Fernández Alonso,ADM3
280,184.0428687,504,20,ADM3,280,280,BOL,BOL-ADM3-33444609B82751741,Mineros,ADM3
281,368.5928523,1245,127,ADM3,281,281,BOL,BOL-ADM3-33444609B58335505,Pampa Grande,ADM3
282,435.7408026,1300,101,ADM3,282,282,BOL,BOL-ADM3-33444609B78053551,Mairana,ADM3
283,461.1305693,1203,129,ADM3,283,283,BOL,BOL-ADM3-33444609B66013257,Puerto Villarroel,ADM3
284,100.7017747,466,21,ADM3,284,284,BOL,BOL-ADM3-33444609B84075203,Colpa Bélgica,ADM3
285,1259.830163,2752,99,ADM3,285,285,BOL,BOL-ADM3-33444609B58337466,Puerto Suarez,ADM3
286,773.8734807,2350,173,ADM3,286,286,BOL,BOL-ADM3-33444609B52930702,El Carmen Rivero Tórrez,ADM3
287,629.4403716,1692,246,ADM3,287,287,BOL,BOL-ADM3-33444609B32568642,Roboré,ADM3
288,684.7447241,2204,66,ADM3,288,288,BOL,BOL-ADM3-33444609B83253902,San Matías,ADM3
289,912.6096381,2786,89,ADM3,289,289,BOL,BOL-ADM3-33444609B85273692,Charagua,ADM3
290,906.8047406,3212,217,ADM3,290,290,BOL,BOL-ADM3-33444609B21156081,San José,ADM3
291,1086.195288,3062,268,ADM3,291,291,BOL,BOL-ADM3-33444609B61104849,San Rafael,ADM3
292,515.6727391,1821,32,ADM3,292,292,BOL,BOL-ADM3-33444609B74694029,Ayopaya,ADM3
293,1021.90585,3124,137,ADM3,293,293,BOL,BOL-ADM3-33444609B38230040,San Ignacio,ADM3
294,746.2474483,2129,209,ADM3,294,294,BOL,BOL-ADM3-33444609B93004293,Urubicha,ADM3
295,809.7043547,2181,163,ADM3,295,295,BOL,BOL-ADM3-33444609B21187437,Baures,ADM3
296,221.1568814,2210,0,ADM3,296,296,BOL,BOL-ADM3-33444609B59063344,Trinidad,ADM3
297,473.8324671,1104,246,ADM3,297,297,BOL,BOL-ADM3-33444609B54102559,San Antonio de Lomerio,ADM3
298,1421.303221,3332,130,ADM3,298,298,BOL,BOL-ADM3-33444609B66575543,Pojo,ADM3
299,1103.864804,2745,146,ADM3,299,299,BOL,BOL-ADM3-33444609B6351519,Entre Ríos,ADM3
300,421.387233,1046,36,ADM3,300,300,BOL,BOL-ADM3-33444609B40832379,Poroma,ADM3
301,277.8351015,869,27,ADM3,301,301,BOL,BOL-ADM3-33444609B77419578,Colomi,ADM3
302,430.0445982,900,81,ADM3,302,302,BOL,BOL-ADM3-33444609B47454413,Alalay,ADM3
303,223.1996011,562,76,ADM3,303,303,BOL,BOL-ADM3-33444609B95117685,Vila Vila,ADM3
304,1056.637257,2860,203,ADM3,304,304,BOL,BOL-ADM3-33444609B5346742,Ixiamas,ADM3
305,606.5545267,1601,128,ADM3,305,305,BOL,BOL-ADM3-33444609B73132405,Ayata,ADM3
306,531.3704864,1891,117,ADM3,306,306,BOL,BOL-ADM3-33444609B71435776,Uyuni,ADM3
307,263.5836979,827,62,ADM3,307,307,BOL,BOL-ADM3-33444609B66511934,Waldo Ballivian,ADM3
308,585.959572,2638,144,ADM3,308,308,BOL,BOL-ADM3-33444609B68137279,Curahuara de Carangas,ADM3
309,243.1935489,1071,90,ADM3,309,309,BOL,BOL-ADM3-33444609B36186520,Choquecota,ADM3
310,344.3885663,901,124,ADM3,310,310,BOL,BOL-ADM3-33444609B87640342,Escara,ADM3
311,544.3063233,1201,254,ADM3,311,311,BOL,BOL-ADM3-33444609B79549253,Coipasa,ADM3
312,285.5288646,635,161,ADM3,312,312,BOL,BOL-ADM3-33444609B48403080,Chipaya,ADM3
313,285.5159265,752,104,ADM3,313,313,BOL,BOL-ADM3-33444609B66088023,Chayanta,ADM3
314,368.1256343,1045,134,ADM3,314,314,BOL,BOL-ADM3-33444609B60563542,Salinas de Garcí Mendoza,ADM3
315,472.4637485,1990,94,ADM3,315,315,BOL,BOL-ADM3-33444609B90206942,Tupiza,ADM3
316,495.2868116,1494,171,ADM3,316,316,BOL,BOL-ADM3-33444609B106993,Atocha,ADM3
317,629.2436083,1839,142,ADM3,317,317,BOL,BOL-ADM3-33444609B51545061,San Pedro de Quemes,ADM3
318,555.9984874,1590,52,ADM3,318,318,BOL,BOL-ADM3-33444609B42696709,San Julián,ADM3
319,763.5339665,1819,120,ADM3,319,319,BOL,BOL-ADM3-33444609B68632045,El Puente,ADM3
320,623.01894,1859,151,ADM3,320,320,BOL,BOL-ADM3-33444609B10638383,Comarapa,ADM3
321,415.536789,1036,27,ADM3,321,321,BOL,BOL-ADM3-33444609B8717747,Bermejo,ADM3
322,376.8420071,1203,157,ADM3,322,322,BOL,BOL-ADM3-33444609B53463626,Villa Charcas,ADM3
323,336.7401405,819,147,ADM3,323,323,BOL,BOL-ADM3-33444609B82635532,Puerto Acosta,ADM3
324,306.0526926,776,139,ADM3,324,324,BOL,BOL-ADM3-33444609B17656422,Escoma,ADM3
325,436.542842,1592,171,ADM3,325,325,BOL,BOL-ADM3-33444609B71044330,Charaña,ADM3
326,255.8783941,1301,62,ADM3,326,326,BOL,BOL-ADM3-33444609B93991773,Achacachi,ADM3
327,126.2848458,377,70,ADM3,327,327,BOL,BOL-ADM3-33444609B13753118,Taraco,ADM3
328,512.3968626,1574,101,ADM3,328,328,BOL,BOL-ADM3-33444609B75690871,La (Marka) San Andrés de Mach,ADM3
329,242.4654666,745,36,ADM3,329,329,BOL,BOL-ADM3-33444609B31051948,Tacobamba,ADM3
330,485.7611047,1772,70,ADM3,330,330,BOL,BOL-ADM3-33444609B24985970,Challapata,ADM3
331,726.3509346,1990,86,ADM3,331,331,BOL,BOL-ADM3-33444609B93024851,Uncía,ADM3
332,465.6350156,1101,19,ADM3,332,332,BOL,BOL-ADM3-33444609B54083051,Ravelo,ADM3
333,251.4609839,640,102,ADM3,333,333,BOL,BOL-ADM3-33444609B27870252,Mizque,ADM3
334,413.3786276,1045,145,ADM3,334,334,BOL,BOL-ADM3-33444609B5020991,Pasorapa,ADM3
335,514.1945756,1624,60,ADM3,335,335,BOL,BOL-ADM3-33444609B93401902,Cotagaita,ADM3
336,504.988877,1407,107,ADM3,336,336,BOL,BOL-ADM3-33444609B61161865,Camargo,ADM3
337,320.2007369,856,97,ADM3,337,337,BOL,BOL-ADM3-33444609B2211567,Villazón,ADM3
338,588.4925909,1474,129,ADM3,338,338,BOL,BOL-ADM3-33444609B28920794,Padcaya,ADM3
