asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
57,542.2372572,2225,11,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,421.9671319,1045,76,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,552.1472926,1523,96,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,896.3648494,2460,60,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,727.7817397,2526,34,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,446.8268122,1689,65,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,174.3564705,570,35,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,448.270226,1039,98,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,349.6705472,1387,35,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,485.7327011,1933,116,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,397.8121386,962,207,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,768.9053173,1984,165,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,489.0388736,1660,33,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,629.2114214,1676,101,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,694.2587218,1670,199,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,393.0689574,1612,48,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,701.2986939,1973,116,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,462.956055,1438,92,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,294.193072,1254,46,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,478.474358,1532,81,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,377.6168811,1405,103,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,541.3050927,1763,189,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,484.9004164,1784,10,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,160.4108389,869,0,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,340.5178062,1190,5,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,10.68337522,17,6,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,278.1755845,1309,9,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,402.6320883,1198,16,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,302.0836685,635,27,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,1029.048043,2801,97,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,1074.444968,2479,31,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,457.4694784,1395,52,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,921.6645748,3179,213,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,138.751244,494,10,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,736.1104157,1840,281,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,329.4143917,983,16,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,1249.168972,1916,380,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,238.5253636,883,0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,289.1203847,1042,46,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,470.4078528,1621,19,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,542.3815101,1228,2,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,395.7389468,1206,22,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,442.9058517,1180,83,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,554.1676394,1574,275,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,316.9913568,1194,0,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,945.4188817,1630,223,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,840.4816399,3322,112,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,301.5059269,1286,71,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,450.2655567,1257,89,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,1065.997392,2322,30,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,873.6612505,1599,396,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,358.3838826,672,159,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,350.6150081,790,145,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,261.7728608,804,65,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,125.6135669,225,105,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,378.815673,1045,75,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,314.2860876,780,104,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,253.1569323,1208,58,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,516.1213628,1682,63,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,323.6193963,1016,93,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,99.96808323,654,18,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,259.7498828,612,76,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,181.7596912,608,59,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,184.8936368,570,47,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,76.23149797,157,41,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,433.7796222,682,127,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,235.2947976,354,127,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,45.35095675,110,37,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,311.4682473,707,55,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,182.4455292,527,7,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,189.6734972,756,23,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,208.490068,542,27,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,231.748517,811,14,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,337.639646,943,44,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,62.33064018,174,21,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,340.0663449,652,142,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,173.6320434,465,61,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,512.4055127,1294,125,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,33.79936309,234,0,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,323.6677737,1260,6,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,772.7841317,1630,176,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,487.58624,1182,88,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,439.9669033,1759,116,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,228.110811,774,55,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,59.2646464,163,45,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,274.740117,1162,61,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,240.6025861,893,70,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,625.2656086,1583,39,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,441.742248,1411,136,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,502.7741432,1378,165,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,518.8364617,1506,80,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,555.3197294,1750,122,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,404.7128983,1803,88,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,343.051963,1317,56,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,199.6328339,749,28,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,130.2307964,720,9,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,575.1654511,1725,132,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,1280.470881,2797,114,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,125.6671306,356,63,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,197.9238953,1102,12,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,233.7627969,906,13,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,330.0007048,2563,15,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,108.6096027,431,4,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
