asdf_id,china_osm_v301_commitments_transport.none.sum,china_osm_v301_commitments_transport.none.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
55,1089952.7200356498,1124.19995117,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,191481.3900549151,1771.11999512,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,5109.920014098287,51.3099975586,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,283786.95002119616,2637.9699707,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,NA,0.0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,9649.770006220788,97.9199981689,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,NA,0.0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,NA,0.0,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,64304.549984691665,598.479980469,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,128185.09001398459,1187.34008789,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,NA,0.0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,439421.51002361625,4050.52001953,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,20445.12999069318,192.25,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,2673511.6701168306,24599.6328125,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,377992.38003698364,3514.52978516,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,NA,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,20462.57000086084,191.899993896,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,1998430.0805116557,5205.25048828,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,NA,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,NA,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,NA,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,6566.159991903231,63.0800018311,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,6710.040003305301,63.0699996948,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,16092.760009810328,151.740005493,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,52519.47002152912,490.5,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,69555.0800539162,647.75,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,29348.249996142462,275.640014648,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,2708.6500076744705,26.2600002289,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,46838.39001877606,439.880004883,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,19933.92001856491,186.75,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,31451.950008202344,294.109985352,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,198156.55005128495,1836.01013184,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,253547.08005188592,2348.88012695,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,112727.79999809153,1049.17993164,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,NA,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,102874.200005766,955.58996582,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,NA,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,278228.80003192276,731.109985352,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,NA,0.0,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
