asdf_id,distance_to_coast_236.none.mean,distance_to_coast_236.none.max,distance_to_coast_236.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
50,417601.649028,435800.035888,397993.205184,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,332518.726913,349211.237587,314401.287393,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,601191.418354,616534.349776,583623.072659,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,574100.834684,594754.406817,558493.046423,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,738661.494279,758412.063422,721024.780049,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,776563.766317,804477.00469,745768.026106,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,594921.245797,736529.713349,472206.676715,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,771365.491939,855108.997651,695850.41033,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,742872.920015,777322.177586,695953.307249,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,382450.755969,395607.890057,368024.360502,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,405137.799637,443532.20825,368600.392348,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,366972.308893,406661.172115,333182.473767,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,372624.084222,386306.071132,357575.691558,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,356140.044552,376614.426213,342780.139536,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,235261.885668,257238.047135,213519.834419,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,516967.777858,557733.172311,480423.779394,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,189245.495803,243130.03387,131913.82648,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,160820.039653,169907.923054,152379.537555,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,943886.47618,1019881.47432,855453.707068,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,715661.832934,751106.859264,672990.678182,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,842435.816262,895402.598572,792781.542103,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,170225.732758,179545.605279,158629.601811,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,621697.244889,672305.329601,582197.993187,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,843116.386993,928377.340873,742315.355398,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,820693.269316,913636.477502,741760.952809,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,268463.694438,278414.354642,256858.183876,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,447630.482863,484693.364145,412985.903976,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,436878.544192,466190.895353,412165.755445,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,181409.348477,223599.536824,142027.103949,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,443794.195323,455725.182196,431338.049251,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,470150.151471,493657.504445,457033.641968,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,457328.711208,472109.30113,447370.720634,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,447537.293378,451137.128619,444220.885479,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,428118.549675,441009.468385,416606.646075,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,434673.1183,444580.485849,426353.85289,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,457015.076421,470367.236908,446562.839284,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,555553.544156,574333.354815,535474.924218,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,698427.525775,730978.407589,649389.751467,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,706332.886171,724126.176078,683440.587959,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,932594.487363,1005629.03436,842891.411141,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,736602.024691,755393.857884,720018.588775,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,361902.117488,396989.133783,329516.51543,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,554872.943353,577764.721651,523694.254792,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,386235.213329,398868.650934,371833.764891,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,702166.730388,752561.786571,657390.724957,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,508548.19654,528957.92369,483125.715589,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,639249.560131,671111.385623,597029.41185,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,556819.538242,588552.013738,532005.495344,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,520013.906121,544091.622674,497779.778878,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,487937.910051,524311.942972,462333.158116,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,275194.253876,315982.389889,242090.602422,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,566365.042243,594018.790625,525208.490433,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,230267.046181,267887.458579,203985.238686,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,303433.49557,393456.11005,213283.080994,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,491731.448983,506518.858737,479154.762325,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,497692.222697,519911.134748,482602.702122,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,419838.658743,437398.28323,402717.484923,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,172406.34919,182601.750082,155151.48444,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,205537.928071,215000.594092,194645.133599,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,205657.358558,223230.912047,192928.53491,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,373388.424162,381979.625871,360708.000396,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,234413.814269,237035.579077,231654.24139,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,217912.196671,256518.068893,173265.700153,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,267413.65939,287940.297215,248589.542335,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,265810.896231,296750.033034,230989.278031,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,490931.965823,513099.767896,465947.827546,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,321155.204815,335157.306358,302373.224819,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,354175.875874,367742.897609,341030.411434,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,446003.167398,460159.654991,430055.949169,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,484364.127064,493608.005367,474447.678814,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,469620.721092,483110.709975,454351.408287,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,472980.990081,478660.05535,467603.005525,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,487619.079035,492757.757871,480854.471351,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,486879.773951,491269.607914,482523.516249,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,472792.159702,478325.370954,467831.130376,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,395900.968219,413666.739676,381018.439078,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,332534.9639,345839.262273,317117.557633,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,307901.229216,335011.388018,281750.868798,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,443968.180796,455044.20651,435030.497735,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,363165.088944,385599.157763,335317.617126,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,273344.506123,287707.519475,262879.280994,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,467348.699658,474643.425883,459167.092315,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,736035.552306,750230.979718,721222.76239,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,317031.465247,329335.66317,307508.517909,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,238601.84846,259244.842259,216629.494602,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,453097.704398,461863.740589,440724.439778,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,330688.158942,363687.896274,280122.511742,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,155589.384215,171672.966066,141818.538903,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,336672.92693,349458.363112,326093.412186,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,191457.571281,229073.214045,134679.706397,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
