asdf_id,map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2012.min,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2012.count,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2013.min,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2013.count,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2014.min,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2014.count,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2015.min,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2015.count,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2016.min,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2016.count,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2017.min,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2017.count,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2018.min,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2018.count,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2019.min,map_pf_incidence_rate.2019.max,map_pf_incidence_rate.2019.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
12,2.56127068985e-07,0.0,3.19819974948e-07,5.57999944687,8.52333286353e-06,0.0,1.25826009025e-05,5.57999944687,2.5882544968e-07,0.0,4.9991723472e-07,5.57999944687,6.22033138047e-09,0.0,1.85589943413e-08,5.57999944687,3.56841974673e-10,0.0,1.15730525163e-09,5.57999944687,2.536016131e-10,0.0,8.24540768996e-10,5.57999944687,0.0,0.0,0.0,5.57999944687,9.02215382633e-10,0.0,2.96853364112e-09,5.57999944687,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,0.0,0.0,0.0,118.630004883,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,0.0,0.0,0.0,19.2600002289,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,2.58853651699e-07,0.0,6.26637472578e-07,8.28999996185,7.69798277505e-06,0.0,1.72574127646e-05,8.28999996185,2.03941884415e-07,0.0,7.88921397543e-07,8.28999996185,4.45223842771e-09,0.0,3.12023722415e-08,8.28999996185,2.62021419087e-10,0.0,1.95383176305e-09,8.28999996185,1.9075388683e-10,0.0,1.44551337566e-09,8.28999996185,0.0,0.0,0.0,8.28999996185,6.68664183352e-10,0.0,4.57689841582e-09,8.28999996185,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,0.0,0.0,0.0,44.2999992371,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,0.0,0.0,0.0,44.7299957275,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,0.0,0.0,0.0,13.6100006104,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,0.0,0.0,0.0,46.8000030518,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,0.0,0.0,0.0,40.8500022888,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,3.73264404445e-07,0.0,6.61299793592e-07,6.47000026703,9.263740026e-06,0.0,1.58099755936e-05,6.47000026703,1.75768456039e-07,0.0,3.0864356404e-07,6.47000026703,1.5219191566e-09,0.0,2.69484345949e-09,6.47000026703,6.65571168024e-11,0.0,1.16575596398e-10,6.47000026703,4.56888014554e-11,0.0,7.86247594808e-11,6.47000026703,0.0,0.0,0.0,6.47000026703,1.87594069226e-10,0.0,3.57404744689e-10,6.47000026703,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,0.00017686334073,0.0,0.00366666866466,74.9000091553,0.0,0.0,0.0,74.9000091553,0.000239828816356,0.0,0.00425124680623,74.9000091553,6.11139788144e-05,0.0,0.00142663018778,74.9000091553,7.4337624535e-06,0.0,0.000246764742769,74.9000091553,6.20736599808e-06,0.0,0.000327332905727,74.9000091553,5.68480656094e-07,0.0,0.000220473273657,74.9000091553,3.0204149358e-05,0.0,0.00219369283877,74.9000091553,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,3.24919671054e-07,0.0,8.28288989396e-07,29.7100009918,7.52570046847e-06,0.0,1.93678679352e-05,29.7100009918,1.61459473867e-07,0.0,5.90568959069e-07,29.7100009918,1.73799680077e-09,0.0,9.92500037711e-09,29.7100009918,7.9616390753e-11,0.0,4.83752038427e-10,29.7100009918,5.73476113158e-11,0.0,3.65166341609e-10,29.7100009918,0.0,0.0,0.0,29.7100009918,2.04502377899e-10,0.0,1.25840970977e-09,29.7100009918,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
