asdf_id,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
23,19365.3945312,706.650024414,19627.90625,706.650024414,19975.0019531,706.650024414,20480.7871094,706.650024414,20470.7890625,706.650024414,20663.1308594,706.650024414,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,10327.2119141,646.549987793,10237.0097656,646.549987793,10147.2841797,646.549987793,10045.9121094,646.549987793,9969.58984375,646.549987793,9871.76171875,646.549987793,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,10643.0976562,1365.64001465,10583.7861328,1365.64001465,10508.1826172,1365.64001465,10440.1152344,1365.64001465,10384.546875,1365.64001465,10330.7216797,1365.64001465,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,16400.8710938,177.419998169,16350.4316406,177.419998169,16329.7734375,177.419998169,16188.8671875,177.419998169,16827.8828125,177.419998169,17035.4707031,177.419998169,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,12371.3574219,1007.82000732,12424.6816406,1007.82000732,12505.1191406,1007.82000732,12451.7626953,1007.82000732,12599.7871094,1007.82000732,12732.3583984,1007.82000732,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,12772.4746094,846.809997559,12751.3867188,846.809997559,12921.5878906,846.809997559,13078.3808594,846.809997559,12880.9384766,846.809997559,12910.9238281,846.809997559,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,18328.0820312,1250.08996582,18583.3515625,1250.08996582,18764.7460938,1250.08996582,18987.3945312,1250.08996582,18994.0410156,1250.08996582,18918.2753906,1250.08996582,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,7150.49462891,1037.82006836,7210.51660156,1037.82006836,7446.14892578,1037.82006836,7652.44824219,1037.82006836,7680.5078125,1037.82006836,7718.38085938,1037.82006836,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,86212.7578125,1217.27001953,92819.7578125,1217.27001953,99513.5234375,1217.27001953,106350.617188,1217.27001953,114988.796875,1217.27001953,123966.320312,1217.27001953,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,2763.61499023,848.149963379,2724.22631836,848.149963379,2677.99511719,848.149963379,2636.4284668,848.149963379,2584.36035156,848.149963379,2539.98339844,848.149963379,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,48336.640625,1204.39001465,49505.4921875,1204.39001465,50742.2226562,1204.39001465,52049.78125,1204.39001465,53198.3046875,1204.39001465,54593.6796875,1204.39001465,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,10505.40625,2388.73999023,10521.8808594,2388.73999023,10633.1640625,2388.73999023,10736.3789062,2388.73999023,10822.7851562,2388.73999023,10917.0,2388.73999023,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,33032.6953125,4869.18994141,33017.109375,4869.18994141,33141.5703125,4869.18994141,33194.8984375,4869.18994141,33132.1328125,4869.18994141,33218.0742188,4869.18994141,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,18096.4882812,4900.63037109,18100.1074219,4900.63037109,18120.8613281,4900.63037109,18113.6425781,4900.63037109,18131.0644531,4900.63037109,18188.5976562,4900.63037109,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,16459.4863281,1317.26000977,16866.3613281,1317.26000977,17028.03125,1317.26000977,17553.0625,1317.26000977,17837.4160156,1317.26000977,18109.8476562,1317.26000977,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,10247.7675781,1973.44006348,10408.2734375,1973.44006348,10224.5683594,1973.44006348,10178.2421875,1973.44006348,10392.2089844,1973.44006348,10532.1035156,1973.44006348,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,25948.953125,1781.12011719,26419.4648438,1781.12011719,26970.1328125,1781.12011719,27567.6640625,1781.12011719,28024.7167969,1781.12011719,28534.0019531,1781.12011719,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,31481.5234375,2742.51000977,31772.9941406,2742.51000977,32048.4765625,2742.51000977,32234.7265625,2742.51000977,32484.2363281,2742.51000977,32869.3085938,2742.51000977,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,12873.8496094,412.820007324,12762.8886719,412.820007324,12630.5175781,412.820007324,12499.171875,412.820007324,12323.4453125,412.820007324,12116.2207031,412.820007324,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,12933.1259766,22878.4804688,13408.0371094,22878.4804688,13960.3828125,22878.4804688,14384.7949219,22878.4804688,14668.5869141,22878.4804688,14977.0244141,22878.4804688,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,13119.0517578,477.75,13084.8574219,477.75,13179.9335938,477.75,13116.7792969,477.75,13103.5380859,477.75,13089.625,477.75,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,8097.16992188,4489.85986328,8532.82226562,4489.85986328,8963.62792969,4489.85986328,9386.06347656,4489.85986328,9853.21875,4489.85986328,10349.1357422,4489.85986328,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,5659.73535156,8245.83984375,5346.29199219,8245.83984375,5473.5234375,8245.83984375,5721.16992188,8245.83984375,5766.06152344,8245.83984375,5776.03173828,8245.83984375,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,15363.9199219,10178.4902344,15596.5546875,10178.4902344,15821.5039062,10178.4902344,16031.6914062,10178.4902344,16227.7294922,10178.4902344,16529.4960938,10178.4902344,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,10740.0166016,1362.06005859,11317.6054688,1362.06005859,11904.6796875,1362.06005859,12526.7929688,1362.06005859,13282.5048828,1362.06005859,14045.4355469,1362.06005859,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,38533.9023438,13638.5908203,39968.5117188,13638.5908203,41557.2851562,13638.5908203,43006.8320312,13638.5908203,45702.484375,13638.5908203,48020.0703125,13638.5908203,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,10979.984375,1128.01000977,10904.7128906,1128.01000977,11086.7236328,1128.01000977,11185.6640625,1128.01000977,11300.140625,1128.01000977,11677.3535156,1128.01000977,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,2557.45874023,1554.9699707,2630.16699219,1554.9699707,2716.50366211,1554.9699707,2795.02270508,1554.9699707,2882.09082031,1554.9699707,2960.11279297,1554.9699707,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,18631.859375,802.920043945,18419.9726562,802.920043945,18044.78125,802.920043945,17840.3632812,802.920043945,17825.2851562,802.920043945,17823.96875,802.920043945,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,6981.03417969,561.050048828,7205.78564453,561.050048828,7350.39892578,561.050048828,7547.05224609,561.050048828,7873.60058594,561.050048828,8121.01171875,561.050048828,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,5841.88427734,954.380004883,5797.01220703,954.380004883,5751.64941406,954.380004883,5653.546875,954.380004883,5720.31835938,954.380004883,5698.95898438,954.380004883,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,30765.3984375,1163.61999512,29649.5234375,1163.61999512,30597.2089844,1163.61999512,29612.0429688,1163.61999512,32672.0273438,1163.61999512,33634.9804688,1163.61999512,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1429553.0,1612.89990234,1468141.625,1612.89990234,1500293.5,1612.89990234,1538834.5,1612.89990234,1570341.5,1612.89990234,1604457.5,1612.89990234,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,26370.2976952,30489.0006447,26306.4113884,30489.0006447,27684.1325483,30489.0006447,26892.4347725,30489.0006447,27117.8521328,30489.0006447,27131.5012016,30489.0006447,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,5551.84130859,10611.4599609,5833.06640625,10611.4599609,6322.13037109,10611.4599609,6583.10595703,10611.4599609,6978.34472656,10611.4599609,7419.00585938,10611.4599609,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,19144.5605469,3790.56005859,19618.9785156,3790.56005859,20060.3457031,3790.56005859,20550.5,3790.56005859,21067.296875,3790.56005859,21604.7226562,3790.56005859,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,7702.57519531,878.790039062,8134.84277344,878.790039062,8491.7890625,878.790039062,8709.61523438,878.790039062,9065.94824219,878.790039062,9130.83300781,878.790039062,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,15611.4619141,4037.97998047,15466.1650391,4037.97998047,15411.9902344,4037.97998047,15307.3759766,4037.97998047,15173.9365234,4037.97998047,15124.7412109,4037.97998047,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,17742.8125,1672.64990234,18351.7597656,1672.64990234,19015.7910156,1672.64990234,19613.7949219,1672.64990234,20374.765625,1672.64990234,21189.4941406,1672.64990234,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,17501.6328125,374.030029297,17989.6171875,374.030029297,18406.2382812,374.030029297,19001.8007812,374.030029297,19552.328125,374.030029297,20126.515625,374.030029297,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,7123.00927734,859.699951172,6997.59423828,859.699951172,7115.97460938,859.699951172,7096.63671875,859.699951172,7263.96875,859.699951172,7635.59277344,859.699951172,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,5358.7734375,1707.38012695,5412.94189453,1707.38012695,5460.49316406,1707.38012695,5517.16894531,1707.38012695,5575.51855469,1707.38012695,5634.41503906,1707.38012695,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,34500.4609375,2343.26000977,34148.0859375,2343.26000977,33864.921875,2343.26000977,33551.96875,2343.26000977,33295.078125,2343.26000977,33113.921875,2343.26000977,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,4996.71533203,5836.77978516,5116.87841797,5836.77978516,5234.37060547,5836.77978516,5344.79541016,5836.77978516,5377.96728516,5836.77978516,5492.79296875,5836.77978516,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,655.120605469,275.739990234,692.34777832,275.739990234,734.832824707,275.739990234,781.212402344,275.739990234,824.924316406,275.739990234,874.614746094,275.739990234,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,17773.0410156,35406.0810547,18116.4638672,35406.0810547,18567.6845703,35406.0810547,18850.7089844,35406.0810547,19310.5339355,35406.0810547,19827.8793945,35406.0810547,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,19078.890625,5037.83007812,19539.9140625,5037.83007812,20119.2675781,5037.83007812,20569.0019531,5037.83007812,20964.4882812,5037.83007812,21384.5957031,5037.83007812,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,4162.03076172,6623.91015625,4135.79101562,6623.91015625,4120.87207031,6623.91015625,4186.77929688,6623.91015625,4230.50048828,6623.91015625,4280.46044922,6623.91015625,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,558.712585449,275.299987793,576.77746582,275.299987793,594.989257812,275.299987793,611.175415039,275.299987793,638.693847656,275.299987793,661.822387695,275.299987793,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,24351.4296875,7490.44042969,24989.9023438,7490.44042969,25633.1054688,7490.44042969,26431.0390625,7490.44042969,26256.3691406,7490.44042969,26595.0546875,7490.44042969,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,6993.14990234,10432.2207031,7107.49707031,10432.2207031,7260.47265625,10432.2207031,7423.79736328,10432.2207031,7566.35839844,10432.2207031,7736.08447266,10432.2207031,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,4599.12939453,9611.12890625,4617.80566406,9611.12890625,4489.95458984,9611.12890625,4473.18017578,9611.12890625,4407.22949219,9611.12890625,4340.33300781,9611.12890625,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,12055.2001953,436.910003662,12144.8808594,436.910003662,12193.2333984,436.910003662,12284.6621094,436.910003662,12399.8330078,436.910003662,12457.5576172,436.910003662,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,36891.7773438,2172.10009766,37238.6445312,2172.10009766,37585.4335938,2172.10009766,37966.7148438,2172.10009766,38439.0703125,2172.10009766,38943.1875,2172.10009766,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,25780.1171875,1482.87988281,26443.4648438,1482.87988281,27018.6816406,1482.87988281,27712.1796875,1482.87988281,28353.3339844,1482.87988281,28890.6035156,1482.87988281,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,3992.34472656,7125.29980469,4118.44921875,7125.29980469,4251.16113281,7125.29980469,4406.94433594,7125.29980469,4553.97265625,7125.29980469,4701.85449219,7125.29980469,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,138671.09375,704.229980469,142354.234375,704.229980469,145995.78125,704.229980469,150178.5,704.229980469,153543.875,704.229980469,157636.03125,704.229980469,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,181924.296875,930.58996582,188567.3125,930.58996582,195571.09375,930.58996582,202006.1875,930.58996582,208800.4375,930.58996582,216067.34375,930.58996582,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,59861.09375,395.549987793,61441.7890625,395.549987793,63427.2929688,395.549987793,65382.6328125,395.549987793,66624.1484375,395.549987793,68963.8828125,395.549987793,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,54299.5976562,37.4200019836,55055.6992188,37.4200019836,56183.8476562,37.4200019836,56705.4296875,37.4200019836,58802.4335938,37.4200019836,60015.0859375,37.4200019836,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,41411.1289062,631.329956055,42425.1953125,631.329956055,43289.6640625,631.329956055,44266.1601562,631.329956055,45756.75,631.329956055,46990.7304688,631.329956055,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,51029.8046875,267.970001221,53281.4765625,267.970001221,55991.03125,267.970001221,58352.5664062,267.970001221,61198.890625,267.970001221,63904.6601562,267.970001221,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,8508.78808594,422.200012207,8489.46582031,422.200012207,8410.06640625,422.200012207,8382.19335938,422.200012207,8356.12011719,422.200012207,8372.13574219,422.200012207,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,14542.3183594,2639.54003906,14652.4882812,2639.54003906,14837.6484375,2639.54003906,14986.6835938,2639.54003906,15173.7431641,2639.54003906,15335.4169922,2639.54003906,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,13392.6494141,3376.48999023,13420.0986328,3376.48999023,13519.1054688,3376.48999023,13496.7744141,3376.48999023,13411.7021484,3376.48999023,13371.9511719,3376.48999023,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,19799.8398438,1507.16992188,20117.7441406,1507.16992188,20424.1367188,1507.16992188,20779.4667969,1507.16992188,21223.8164062,1507.16992188,21630.09375,1507.16992188,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,11841.2832031,16926.5097656,11981.6582031,16926.5097656,12121.7412109,16926.5097656,12283.4443359,16926.5097656,12421.9570312,16926.5097656,12581.5292969,16926.5097656,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,19531.0976562,1373.16992188,19613.78125,1373.16992188,19540.5351562,1373.16992188,19566.3828125,1373.16992188,20075.8242188,1373.16992188,20215.5820312,1373.16992188,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,2271.76416016,3196.79003906,2339.11572266,3196.79003906,2404.89404297,3196.79003906,2475.20703125,3196.79003906,2547.20996094,3196.79003906,2619.12548828,3196.79003906,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,15295.2724609,1050.47998047,15489.9912109,1050.47998047,15712.7871094,1050.47998047,15989.3945312,1050.47998047,16266.5527344,1050.47998047,16601.9785156,1050.47998047,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,1129.2734375,510.539978027,1180.13244629,510.539978027,1235.74768066,510.539978027,1291.48828125,510.539978027,1351.11877441,510.539978027,1414.53015137,510.539978027,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,104920.75,4952.39990234,106569.734375,4952.39990234,106432.695312,4952.39990234,106942.578125,4952.39990234,107672.484375,4952.39990234,108257.148438,4952.39990234,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,6068.82958984,2335.52001953,6070.34570312,2335.52001953,6077.87792969,2335.52001953,6060.07617188,2335.52001953,6118.56933594,2335.52001953,6201.08203125,2335.52001953,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,15131.0351562,3713.39990234,15921.3378906,3713.39990234,16670.7109375,3713.39990234,17497.0117188,3713.39990234,18337.703125,3713.39990234,19216.0429688,3713.39990234,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,25880.15625,2497.47998047,25994.2382812,2497.47998047,26230.3867188,2497.47998047,26564.1640625,2497.47998047,26965.7851562,2497.47998047,27334.71875,2497.47998047,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,11516.3007812,2606.85986328,11569.2470703,2606.85986328,11621.1503906,2606.85986328,11655.6621094,2606.85986328,11730.2382812,2606.85986328,11823.2216797,2606.85986328,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,11242.5429688,1467.72998047,11244.8691406,1467.72998047,11292.3408203,1467.72998047,11301.9199219,1467.72998047,11309.796875,1467.72998047,11361.6484375,1467.72998047,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
