asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
54,23724.7773438,1163.81005859,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1503128.625,1614.66003418,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,37936.7902527,30542.4179497,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,7584.03808594,10641.1503906,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,20769.0429688,3789.77001953,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,8313.50878906,878.850036621,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,15718.9580078,4038.29003906,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,19449.1953125,1672.9699707,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,18974.1972656,373.820007324,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,8087.32470703,859.729980469,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,5457.60742188,1707.44995117,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,33596.0664062,2343.41992188,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5579.2578125,5836.5,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,784.902526855,275.910003662,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,17542.8344727,35406.4697266,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,20970.6582031,5049.79003906,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,4527.57861328,6660.52001953,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,614.205078125,275.099975586,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,29831.765625,7487.75,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,7395.87011719,10476.2304688,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,3804.40234375,9654.34960938,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,12459.609375,436.75,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,37618.8632812,2172.07006836,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,27893.7265625,1483.02001953,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,4677.15722656,7125.66992188,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,150537.71875,704.229980469,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,207821.8125,930.969970703,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,63525.6054688,395.5,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,54573.1289062,37.5499992371,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,44032.3671875,631.049987793,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,57548.375,268.059997559,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,8949.3828125,422.340026855,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,15209.1269531,2639.40991211,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,16740.3925781,3377.10009766,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,20906.4707031,1507.12011719,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,12253.5703125,16959.4492188,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,20561.9726562,1372.7800293,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
