asdf_id,ltdr_avhrr_ndvi_v5_yearly.2012.max,ltdr_avhrr_ndvi_v5_yearly.2012.mean,ltdr_avhrr_ndvi_v5_yearly.2012.min,ltdr_avhrr_ndvi_v5_yearly.2012.count,ltdr_avhrr_ndvi_v5_yearly.2013.max,ltdr_avhrr_ndvi_v5_yearly.2013.mean,ltdr_avhrr_ndvi_v5_yearly.2013.min,ltdr_avhrr_ndvi_v5_yearly.2013.count,ltdr_avhrr_ndvi_v5_yearly.2014.max,ltdr_avhrr_ndvi_v5_yearly.2014.mean,ltdr_avhrr_ndvi_v5_yearly.2014.min,ltdr_avhrr_ndvi_v5_yearly.2014.count,ltdr_avhrr_ndvi_v5_yearly.2015.max,ltdr_avhrr_ndvi_v5_yearly.2015.mean,ltdr_avhrr_ndvi_v5_yearly.2015.min,ltdr_avhrr_ndvi_v5_yearly.2015.count,ltdr_avhrr_ndvi_v5_yearly.2016.max,ltdr_avhrr_ndvi_v5_yearly.2016.mean,ltdr_avhrr_ndvi_v5_yearly.2016.min,ltdr_avhrr_ndvi_v5_yearly.2016.count,ltdr_avhrr_ndvi_v5_yearly.2017.max,ltdr_avhrr_ndvi_v5_yearly.2017.mean,ltdr_avhrr_ndvi_v5_yearly.2017.min,ltdr_avhrr_ndvi_v5_yearly.2017.count,ltdr_avhrr_ndvi_v5_yearly.2018.max,ltdr_avhrr_ndvi_v5_yearly.2018.mean,ltdr_avhrr_ndvi_v5_yearly.2018.min,ltdr_avhrr_ndvi_v5_yearly.2018.count,ltdr_avhrr_ndvi_v5_yearly.2019.max,ltdr_avhrr_ndvi_v5_yearly.2019.mean,ltdr_avhrr_ndvi_v5_yearly.2019.min,ltdr_avhrr_ndvi_v5_yearly.2019.count,ltdr_avhrr_ndvi_v5_yearly.2020.max,ltdr_avhrr_ndvi_v5_yearly.2020.mean,ltdr_avhrr_ndvi_v5_yearly.2020.min,ltdr_avhrr_ndvi_v5_yearly.2020.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
99,5125.41666667,4035.08921533,2910.08333333,42.8100013733,5506.0,4148.80596186,3008.0,42.8100013733,5211.0,4324.00823211,3117.41666667,42.8100013733,5297.16666667,4297.48557245,3084.5,42.8100013733,4999.25,4017.69318561,2942.66666667,42.8100013733,5173.08333333,4108.67343754,3049.5,42.8100013733,5563.83333333,4439.71364049,3625.25,42.8100013733,6951.0,4528.00641644,2262.6,42.8100013733,9036.0,5180.10654866,1755.0,42.0500030518,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,1967.91666667,1661.94621024,1355.25,84.8200073242,1805.25,1566.78667317,1326.58333333,84.8200073242,1858.5,1560.55961353,1310.75,84.8200073242,1854.66666667,1577.94193087,1279.0,84.8200073242,1853.0,1514.52194251,1215.33333333,84.8200073242,2098.0,1744.03457466,1335.66666667,84.8200073242,2270.25,1878.98430812,1473.66666667,84.8200073242,2130.28571429,1423.01347423,829.727272727,84.8200073242,7579.0,1661.02605596,511.666666667,84.8200073242,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,7620.66666667,5066.99761259,3519.08333333,75.6900024414,7394.41666667,4826.14860073,3054.91666667,75.6900024414,7594.83333333,4972.65137049,3212.66666667,75.6900024414,7637.27272727,4922.17999259,3044.11111111,75.6900024414,7926.41666667,4997.17953452,3075.08333333,75.6900024414,7655.08333333,4809.7787113,3015.0,75.6900024414,7474.7,4617.89097187,2962.41666667,75.6900024414,7663.8,4472.37673554,1957.16666667,75.6900024414,9440.0,5198.63808577,1093.0,69.1300048828,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,2307.08333333,1407.55837274,107.5,51.2200012207,2223.83333333,1373.06512101,227.833333333,51.2200012207,2182.75,1396.28861528,444.5,51.2200012207,2235.0,1362.85590302,360.583333333,51.2200012207,2898.83333333,1344.39657972,407.363636364,51.2200012207,3075.08333333,1537.15621797,145.571428571,51.2200012207,3367.0,1567.62102791,184.818181818,51.2200012207,4562.72727273,1454.78497204,142.857142857,51.2200012207,3968.33333333,1175.18861973,0.0,51.2200012207,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,2144.25,1456.02502254,723.916666667,472.529998779,2202.08333333,1448.8570876,680.636363636,472.529998779,2344.75,1454.55536764,821.75,472.529998779,2470.75,1425.51681304,778.333333333,472.529998779,2619.75,1427.99715478,800.166666667,472.529998779,2814.33333333,1453.12916101,691.5,472.529998779,3046.33333333,1529.20723202,737.909090909,472.529998779,3386.4,1114.65855647,336.714285714,472.529998779,3950.0,1039.12997458,0.0,472.529998779,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,2862.91666667,2527.6137123,2235.16666667,33.4200019836,2762.58333333,2349.08106132,1967.25,33.4200019836,2699.41666667,2427.25754273,2061.33333333,33.4200019836,3300.08333333,2529.31901929,2080.66666667,33.4200019836,3111.91666667,2428.41847786,2021.83333333,33.4200019836,3306.91666667,2424.69794538,2061.16666667,33.4200019836,4497.16666667,2697.9158795,2305.66666667,33.4200019836,4478.0,2663.50992547,1762.0,33.4200019836,8248.0,2116.30028459,97.5,33.4200019836,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,2862.91666667,2499.43891752,2106.25,24.5399990082,2728.25,2355.51411013,1931.08333333,24.5399990082,2770.75,2401.63691917,1880.16666667,24.5399990082,2954.66666667,2424.1257529,1792.41666667,24.5399990082,3031.5,2316.14845637,1537.75,24.5399990082,2818.91666667,2345.01520913,1819.58333333,24.5399990082,3503.66666667,2580.25384575,1735.91666667,24.5399990082,3837.6,2495.10784275,1784.55555556,24.5399990082,4097.0,2061.66894119,232.0,24.5399990082,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,5132.16666667,4248.7927999,3335.90909091,26.7400016785,5554.45454545,4613.82024003,3256.5,26.7400016785,5163.58333333,4326.64429545,3118.77777778,26.7400016785,5284.72727273,4586.97010164,3180.2,26.7400016785,4912.5,4207.58357682,3020.36363636,26.7400016785,5430.72727273,4588.63372393,3370.33333333,26.7400016785,5575.2,4995.33479035,3929.66666667,26.7400016785,6904.0,4603.17061928,2768.75,26.7400016785,7642.0,4580.48716773,1621.0,20.8199996948,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,1972.66666667,1715.64982257,1491.16666667,8.86999988556,1842.58333333,1678.00742567,1545.72727273,8.86999988556,1862.83333333,1693.40279962,1554.83333333,8.86999988556,1980.83333333,1708.83073838,1557.75,8.86999988556,1966.66666667,1704.1942324,1541.41666667,8.86999988556,2156.0,1901.18980046,1624.33333333,8.86999988556,2335.5,2010.32956149,1652.91666667,8.86999988556,3364.0,1674.308625,923.625,8.86999988556,2885.0,1827.36064688,837.0,8.86999988556,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,2195.16666667,1892.8007894,1256.91666667,6.98000001907,2194.75,1782.15225079,1244.16666667,6.98000001907,2252.16666667,1779.89830902,1232.75,6.98000001907,2170.5,1816.13021768,1197.41666667,6.98000001907,2840.83333333,1874.44439353,1152.45454545,6.98000001907,3292.5,2072.0955894,1361.16666667,6.98000001907,3588.08333333,2195.18796154,1253.58333333,6.98000001907,4508.55555556,1877.73541034,1057.83333333,6.98000001907,1514.5,881.235739764,309.666666667,6.98000001907,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
