asdf_id,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2012.categorical_urban,esa_landcover.2012.count,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2013.categorical_urban,esa_landcover.2013.count,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,esa_landcover.2014.categorical_urban,esa_landcover.2014.count,esa_landcover.2015.categorical_grassland,esa_landcover.2015.categorical_count,esa_landcover.2015.categorical_sparse_vegetation,esa_landcover.2015.categorical_bare_areas,esa_landcover.2015.categorical_shrubland,esa_landcover.2015.categorical_no_data,esa_landcover.2015.categorical_rainfed_cropland,esa_landcover.2015.categorical_water_bodies,esa_landcover.2015.categorical_forest,esa_landcover.2015.categorical_wetland,esa_landcover.2015.categorical_mosaic_cropland,esa_landcover.2015.categorical_irrigated_cropland,esa_landcover.2015.categorical_snow_ice,esa_landcover.2015.categorical_urban,esa_landcover.2015.count,esa_landcover.2016.categorical_grassland,esa_landcover.2016.categorical_count,esa_landcover.2016.categorical_sparse_vegetation,esa_landcover.2016.categorical_bare_areas,esa_landcover.2016.categorical_shrubland,esa_landcover.2016.categorical_no_data,esa_landcover.2016.categorical_rainfed_cropland,esa_landcover.2016.categorical_water_bodies,esa_landcover.2016.categorical_forest,esa_landcover.2016.categorical_wetland,esa_landcover.2016.categorical_mosaic_cropland,esa_landcover.2016.categorical_irrigated_cropland,esa_landcover.2016.categorical_snow_ice,esa_landcover.2016.categorical_urban,esa_landcover.2016.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
30,4267,9239,2290,234,1380,0,26,0,924,8,105,0,5,0,9277.58984375,4265,9239,2287,234,1380,0,26,0,924,8,110,0,5,0,9277.58984375,4267,9239,2276,234,1380,0,27,0,924,8,118,0,5,0,9277.58984375,4267,9239,2276,234,1380,0,27,0,924,8,118,0,5,0,9277.58984375,4267,9239,2276,234,1380,0,27,0,924,8,118,0,5,0,9277.58984375,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,1948,10805,4,71,80,0,4522,0,3210,4,927,0,0,39,10861.9892578,1948,10805,4,71,80,0,4496,0,3210,4,927,0,0,65,10861.9892578,1948,10805,4,71,80,0,4483,0,3210,4,927,0,0,78,10861.9892578,1947,10805,4,71,80,0,4482,0,3210,4,926,0,0,81,10861.9892578,1947,10805,4,71,80,0,4482,0,3210,4,926,0,0,81,10861.9892578,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,761,7533,2,0,1291,0,201,0,4811,0,466,0,0,1,7569.95019531,761,7533,2,0,1282,0,201,0,4820,0,466,0,0,1,7569.95019531,761,7533,2,0,1280,0,201,0,4824,0,464,0,0,1,7569.95019531,761,7533,2,0,1280,0,201,0,4824,0,464,0,0,1,7569.95019531,761,7533,2,0,1268,0,201,0,4838,0,462,0,0,1,7569.95019531,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,946,10727,0,0,10,0,734,0,7948,9,1067,0,0,13,10766.0703125,946,10727,0,0,10,0,731,0,7948,9,1067,0,0,16,10766.0703125,946,10727,0,0,10,0,730,0,7948,9,1067,0,0,17,10766.0703125,946,10727,0,0,10,0,730,0,7948,9,1067,0,0,17,10766.0703125,946,10727,0,0,10,0,730,0,7948,9,1067,0,0,17,10766.0703125,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,91,21306,0,0,420,0,916,0,18260,24,1591,0,0,4,21377.9101562,91,21306,0,0,420,0,915,0,18260,24,1591,0,0,5,21377.9101562,90,21306,0,0,425,0,915,0,18256,24,1590,0,0,6,21377.9101562,90,21306,0,0,425,0,915,0,18256,24,1590,0,0,6,21377.9101562,88,21306,0,0,416,0,888,0,18331,24,1553,0,0,6,21377.9101562,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,12606,43575,16187,549,10274,0,728,0,3071,0,153,0,0,7,43655.2502441,12574,43575,16201,549,10237,0,723,0,3131,0,153,0,0,7,43655.2502441,12527,43575,16216,555,10189,0,718,0,3210,0,153,0,0,7,43655.2502441,12527,43575,16216,555,10189,0,718,0,3210,0,153,0,0,7,43655.2502441,11980,43575,16752,548,10132,0,720,0,3283,0,153,0,0,7,43655.2502441,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,3608,43826,5257,677,8698,0,991,13,23760,8,812,0,0,2,43916.9810181,3601,43826,5257,677,8682,0,990,13,23786,8,810,0,0,2,43916.9810181,3581,43826,5251,675,8680,0,983,13,23818,8,815,0,0,2,43916.9810181,3581,43826,5251,675,8680,0,983,13,23818,8,815,0,0,2,43916.9810181,3559,43826,5280,675,8663,0,979,13,23833,8,814,0,0,2,43916.9810181,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,1953,11709,651,103,3315,0,461,0,5039,0,187,0,0,0,11761.3496094,1949,11709,651,103,3315,0,465,0,5039,0,187,0,0,0,11761.3496094,1956,11709,651,103,3315,0,465,0,5021,0,198,0,0,0,11761.3496094,1956,11709,651,103,3315,0,465,0,5021,0,198,0,0,0,11761.3496094,1935,11709,667,103,3311,0,465,0,5030,0,198,0,0,0,11761.3496094,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,526,17438,44,5,33,0,8330,119,6972,28,1371,0,0,10,17550.9794922,526,17438,44,5,33,0,8329,119,6972,28,1371,0,0,11,17550.9794922,525,17438,44,5,33,0,8329,119,6973,28,1371,0,0,11,17550.9794922,525,17438,44,5,33,0,8329,119,6973,28,1371,0,0,11,17550.9794922,525,17438,44,5,33,0,8329,119,6973,28,1371,0,0,11,17550.9794922,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,7039,15912,4111,1588,2667,0,270,7,68,0,158,0,0,4,15951.0400391,7026,15912,4097,1603,2679,0,270,7,68,0,158,0,0,4,15951.0400391,7015,15912,4105,1606,2679,0,270,7,68,0,158,0,0,4,15951.0400391,7015,15912,4105,1606,2679,0,270,7,68,0,158,0,0,4,15951.0400391,6827,15912,4309,1588,2679,0,271,7,68,0,159,0,0,4,15951.0400391,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,10207,24522,4311,777,6713,0,413,0,1769,10,163,0,0,159,24571.5214844,10203,24522,4296,775,6729,0,413,0,1769,10,168,0,0,159,24571.5214844,10229,24522,4278,767,6729,0,413,0,1769,10,168,0,0,159,24571.5214844,10229,24522,4278,767,6729,0,413,0,1769,10,168,0,0,159,24571.5214844,10208,24522,4299,767,6729,0,413,0,1769,10,168,0,0,159,24571.5214844,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,2449,3663,387,13,460,0,143,19,137,2,53,0,0,0,3678.5,2515,3663,321,13,460,0,143,19,137,2,53,0,0,0,3678.5,2534,3663,302,13,460,0,143,19,137,2,53,0,0,0,3678.5,2534,3663,302,13,460,0,143,19,137,2,53,0,0,0,3678.5,2556,3663,281,12,460,0,143,19,137,2,53,0,0,0,3678.5,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,1889,205233,59061,137304,6005,0,5,230,32,68,0,0,638,1,205457.804321,1889,205233,59071,137294,6005,0,5,230,32,68,0,0,638,1,205457.804321,1895,205233,59188,137171,6005,0,5,230,32,68,0,0,638,1,205457.804321,1895,205233,59188,137171,6005,0,5,230,32,68,0,0,638,1,205457.804321,1829,205233,59237,137188,6005,0,5,230,32,68,0,0,638,1,205457.804321,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,3134,4218,91,35,595,0,89,31,144,3,95,0,0,1,4240.9296875,3135,4218,90,35,595,0,89,31,144,3,95,0,0,1,4240.9296875,3150,4218,75,35,595,0,89,31,144,3,95,0,0,1,4240.9296875,3150,4218,75,35,595,0,89,31,144,3,95,0,0,1,4240.9296875,3150,4218,75,28,595,0,89,31,144,3,102,0,0,1,4240.9296875,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,412,40123,12910,25232,1313,0,54,34,0,8,12,0,148,0,40218.4415283,412,40123,12911,25231,1313,0,54,34,0,8,12,0,148,0,40218.4415283,414,40123,12925,25215,1313,0,54,34,0,8,12,0,148,0,40218.4415283,414,40123,12925,25215,1313,0,54,34,0,8,12,0,148,0,40218.4415283,414,40123,12918,25222,1313,0,54,34,0,8,12,0,148,0,40218.4415283,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,1565,74532,0,0,25,0,1169,3359,57143,2822,8447,0,0,2,74677.3076172,1560,74532,0,0,25,0,1161,3439,57134,2773,8438,0,0,2,74677.3076172,1560,74532,0,0,25,0,1161,3439,57134,2773,8438,0,0,2,74677.3076172,1560,74532,0,0,25,0,1161,3439,57134,2773,8438,0,0,2,74677.3076172,1573,74532,0,0,25,0,1158,3439,57148,2718,8469,0,0,2,74677.3076172,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,10561,91293,38526,27021,14927,0,113,21,6,0,79,0,0,39,91396.0224609,10599,91293,38491,27018,14927,0,113,21,6,0,79,0,0,39,91396.0224609,10574,91293,38546,26988,14927,0,113,21,6,0,79,0,0,39,91396.0224609,10574,91293,38546,26988,14927,0,113,21,6,0,79,0,0,39,91396.0224609,10488,91293,38662,26958,14927,0,113,21,6,0,79,0,0,39,91396.0224609,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,1354,12168,4468,3231,3051,0,34,3,2,0,22,0,0,3,12193.1894531,1354,12168,4468,3231,3051,0,34,3,2,0,22,0,0,3,12193.1894531,1354,12168,4468,3231,3051,0,34,3,2,0,22,0,0,3,12193.1894531,1354,12168,4468,3231,3051,0,34,3,2,0,22,0,0,3,12193.1894531,1354,12168,4468,3231,3051,0,34,3,2,0,22,0,0,3,12193.1894531,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,215,122459,109,9,49899,0,1273,154,68529,66,2139,0,0,66,122492.891678,217,122459,106,9,49886,0,1265,154,68540,66,2138,0,0,78,122492.891678,228,122459,106,9,50264,0,1260,154,68088,66,2197,0,0,87,122492.891678,228,122459,106,9,50264,0,1259,154,68088,66,2197,0,0,88,122492.891678,212,122459,104,9,49976,0,1238,154,68438,64,2176,0,0,88,122492.891678,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,3063,10054,4238,1420,1294,0,3,6,6,0,19,0,0,5,10086.7099609,3049,10054,4249,1423,1294,0,3,6,6,0,19,0,0,5,10086.7099609,3084,10054,4227,1410,1293,0,3,6,6,0,19,0,0,6,10086.7099609,3084,10054,4227,1410,1293,0,3,6,6,0,19,0,0,6,10086.7099609,2939,10054,4372,1410,1293,0,3,6,6,0,19,0,0,6,10086.7099609,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,1384,13903,6382,5979,152,0,0,0,0,0,6,0,0,0,13928.4101562,1382,13903,6379,5984,152,0,0,0,0,0,6,0,0,0,13928.4101562,1421,13903,6351,5973,152,0,0,0,0,0,6,0,0,0,13928.4101562,1421,13903,6351,5973,152,0,0,0,0,0,6,0,0,0,13928.4101562,1366,13903,6406,5973,152,0,0,0,0,0,6,0,0,0,13928.4101562,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,5434,7122,108,6,646,0,35,0,752,2,93,0,44,2,7160.73046875,5453,7122,83,6,651,0,35,0,752,2,94,0,44,2,7160.73046875,5474,7122,62,6,651,0,35,0,752,2,94,0,44,2,7160.73046875,5474,7122,62,6,651,0,35,0,752,2,94,0,44,2,7160.73046875,5465,7122,62,6,646,0,35,0,766,2,94,0,44,2,7160.73046875,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,1113,4974,8,35,692,0,143,0,2932,0,50,0,0,1,5000.3203125,1113,4974,8,35,692,0,142,0,2932,0,50,0,0,2,5000.3203125,1112,4974,8,35,692,0,142,0,2932,0,50,0,0,3,5000.3203125,1111,4974,8,34,692,0,142,0,2932,0,50,0,0,5,5000.3203125,1112,4974,8,34,691,0,142,0,2932,0,50,0,0,5,5000.3203125,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,4458,8479,58,104,934,0,595,0,2273,0,48,0,0,9,8519.41015625,4458,8479,58,104,934,0,595,0,2273,0,48,0,0,9,8519.41015625,4458,8479,58,104,934,0,595,0,2273,0,48,0,0,9,8519.41015625,4457,8479,58,104,934,0,595,0,2273,0,48,0,0,10,8519.41015625,4491,8479,58,104,900,0,595,0,2273,0,48,0,0,10,8519.41015625,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,1452,10374,20,6,156,0,2615,0,4412,0,1710,0,0,3,10411.5292969,1452,10374,20,6,156,0,2614,0,4412,0,1710,0,0,4,10411.5292969,1452,10374,20,6,156,0,2612,0,4412,0,1710,0,0,6,10411.5292969,1452,10374,20,6,156,0,2612,0,4412,0,1710,0,0,6,10411.5292969,1452,10374,20,6,156,0,2612,0,4412,0,1710,0,0,6,10411.5292969,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,926,14326,26,3,210,0,8591,63,1002,22,1609,0,0,1874,14408.5400391,925,14326,26,3,210,0,8242,63,1002,22,1566,0,0,2267,14408.5400391,925,14326,26,3,210,0,8179,63,1002,22,1562,0,0,2334,14408.5400391,925,14326,26,3,210,0,8169,63,1002,22,1561,0,0,2345,14408.5400391,925,14326,26,3,210,0,8170,63,1001,22,1561,0,0,2345,14408.5400391,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,6465,274138,0,0,11,0,1426,3290,237116,6422,19390,0,0,18,274389.594685,6437,274138,0,0,11,0,1426,3289,237180,6394,19383,0,0,18,274389.594685,6442,274138,0,0,11,0,1426,3289,237136,6395,19421,0,0,18,274389.594685,6442,274138,0,0,11,0,1426,3289,237136,6395,19421,0,0,18,274389.594685,6217,274138,0,0,11,0,1428,3289,237214,6287,19674,0,0,18,274389.594685,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,12780,95463,0,0,125,0,828,1799,54881,1128,23922,0,0,0,95558.8930664,12780,95463,0,0,125,0,828,1799,54869,1128,23934,0,0,0,95558.8930664,12787,95463,0,0,125,0,828,1799,54813,1128,23983,0,0,0,95558.8930664,12787,95463,0,0,125,0,828,1799,54813,1128,23983,0,0,0,95558.8930664,12454,95463,0,0,124,0,826,1810,55748,1090,23411,0,0,0,95558.8930664,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,1094,33721,40,0,364,0,25155,71,3725,21,3248,0,0,3,33869.2683105,1094,33721,40,0,364,0,25153,71,3725,21,3248,0,0,5,33869.2683105,1080,33721,40,0,364,0,25143,71,3764,21,3231,0,0,7,33869.2683105,1080,33721,40,0,364,0,25140,71,3764,21,3231,0,0,10,33869.2683105,1080,33721,40,0,364,0,25140,71,3765,21,3230,0,0,10,33869.2683105,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,52,7823,0,0,115,0,48,0,7232,3,373,0,0,0,7847.36035156,52,7823,0,0,115,0,48,0,7232,3,373,0,0,0,7847.36035156,52,7823,0,0,121,0,48,0,7227,4,371,0,0,0,7847.36035156,52,7823,0,0,121,0,48,0,7227,4,371,0,0,0,7847.36035156,52,7823,0,0,121,0,48,0,7227,4,371,0,0,0,7847.36035156,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,4743,36106,6,2,2163,0,610,0,26126,62,2372,0,0,22,36189.7705078,4722,36106,6,2,2169,0,616,0,26120,62,2387,0,0,22,36189.7705078,4660,36106,6,2,2206,0,639,0,26093,61,2417,0,0,22,36189.7705078,4660,36106,6,2,2206,0,639,0,26093,61,2417,0,0,22,36189.7705078,4641,36106,6,2,2196,0,641,0,26130,61,2407,0,0,22,36189.7705078,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,528,14908,29,20,1565,0,158,4,11483,16,868,0,236,1,14956.7304688,527,14908,29,20,1565,0,158,4,11485,16,867,0,236,1,14956.7304688,526,14908,29,20,1574,0,156,4,11499,18,845,0,236,1,14956.7304688,526,14908,29,20,1574,0,156,4,11499,18,845,0,236,1,14956.7304688,526,14908,29,20,1574,0,156,4,11494,21,847,0,236,1,14956.7304688,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,38,3308,0,0,11,0,91,0,2868,0,300,0,0,0,3328.12988281,38,3308,0,0,11,0,91,0,2869,0,299,0,0,0,3328.12988281,38,3308,0,0,9,0,86,0,2884,0,291,0,0,0,3328.12988281,38,3308,0,0,9,0,86,0,2884,0,291,0,0,0,3328.12988281,38,3308,0,0,9,0,86,0,2884,0,291,0,0,0,3328.12988281,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,2374,7636,2114,1859,998,0,32,15,43,46,119,0,0,36,7677.16992188,2354,7636,2133,1859,998,0,32,15,43,46,119,0,0,37,7677.16992188,2335,7636,2151,1856,998,0,32,15,43,46,123,0,0,37,7677.16992188,2335,7636,2151,1856,998,0,32,15,43,46,123,0,0,37,7677.16992188,2255,7636,2233,1853,998,0,33,15,43,46,123,0,0,37,7677.16992188,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,5977,15240,4929,3448,769,0,13,2,12,0,90,0,0,0,15285.5605469,6025,15240,4885,3444,769,0,13,2,12,0,90,0,0,0,15285.5605469,6359,15240,4585,3410,769,0,13,2,12,0,90,0,0,0,15285.5605469,6359,15240,4585,3410,769,0,13,2,12,0,90,0,0,0,15285.5605469,6091,15240,4836,3422,769,0,15,2,12,0,93,0,0,0,15285.5605469,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,8720,20919,4025,1639,5300,0,596,9,372,4,179,0,0,75,20972.9804688,8717,20919,4028,1639,5300,0,596,9,372,4,179,0,0,75,20972.9804688,8701,20919,4038,1645,5300,0,596,9,372,4,179,0,0,75,20972.9804688,8701,20919,4038,1645,5300,0,596,9,372,4,179,0,0,75,20972.9804688,8562,20919,4193,1629,5300,0,596,9,372,4,179,0,0,75,20972.9804688,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,3155,52311,20850,25410,2473,0,107,12,2,24,45,0,233,0,52386.4082031,3155,52311,20863,25397,2473,0,107,12,2,24,45,0,233,0,52386.4082031,3155,52311,20863,25397,2473,0,107,12,2,24,45,0,233,0,52386.4082031,3155,52311,20863,25397,2473,0,107,12,2,24,45,0,233,0,52386.4082031,3035,52311,20978,25402,2473,0,107,12,2,24,45,0,233,0,52386.4082031,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,17,2435,2050,237,115,0,9,0,0,0,0,0,7,0,2448.68994141,17,2435,2050,237,115,0,9,0,0,0,0,0,7,0,2448.68994141,17,2435,2050,237,115,0,9,0,0,0,0,0,7,0,2448.68994141,17,2435,2050,237,115,0,9,0,0,0,0,0,7,0,2448.68994141,17,2435,2050,237,115,0,9,0,0,0,0,0,7,0,2448.68994141,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,1926,317858,0,0,5808,0,6583,80,298415,648,4380,0,0,18,318139.656677,1926,317858,0,0,5802,0,6583,80,298423,648,4378,0,0,18,318139.656677,1917,317858,0,0,5783,0,6576,80,298467,648,4367,0,0,20,318139.656677,1917,317858,0,0,5783,0,6574,80,298467,648,4367,0,0,22,318139.656677,1919,317858,0,0,5915,0,6787,80,297761,648,4726,0,0,22,318139.656677,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,5126,44956,0,0,353,0,15379,352,17813,107,5824,0,0,2,45112.5402527,5135,44956,0,0,353,0,15426,352,17759,107,5822,0,0,2,45112.5402527,5127,44956,0,0,352,0,15418,352,17796,107,5799,0,0,5,45112.5402527,5127,44956,0,0,352,0,15418,352,17796,107,5799,0,0,5,45112.5402527,5127,44956,0,0,352,0,15523,352,17669,107,5821,0,0,5,45112.5402527,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,6651,59731,0,0,202,0,2045,1354,23607,1416,24453,0,0,3,59800.9307861,6651,59731,0,0,202,0,2045,1354,23616,1416,24444,0,0,3,59800.9307861,6651,59731,0,0,202,0,2045,1354,23612,1416,24447,0,0,4,59800.9307861,6651,59731,0,0,202,0,2045,1354,23612,1416,24447,0,0,4,59800.9307861,6353,59731,0,0,191,0,2015,1354,24784,1394,23636,0,0,4,59800.9307861,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,59,2431,1581,533,177,0,2,0,0,7,6,0,66,0,2446.86010742,59,2431,1581,533,177,0,2,0,0,7,6,0,66,0,2446.86010742,59,2431,1581,533,177,0,2,0,0,7,6,0,66,0,2446.86010742,59,2431,1581,533,177,0,2,0,0,7,6,0,66,0,2446.86010742,57,2431,1579,513,177,0,26,0,0,7,6,0,66,0,2446.86010742,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,1387,67154,52,4,7809,0,935,0,55862,11,1092,0,0,2,67202.711174,1386,67154,52,4,7798,0,933,0,55874,11,1092,0,0,4,67202.711174,1389,67154,52,4,7950,0,937,0,55677,11,1129,0,0,5,67202.711174,1389,67154,52,4,7950,0,937,0,55677,11,1129,0,0,5,67202.711174,1384,67154,52,4,7904,0,935,0,55739,11,1120,0,0,5,67202.711174,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,17167,93678,0,0,2295,0,164,4275,57958,9021,2792,0,0,6,93895.6377563,17213,93678,0,0,2302,0,162,4275,57868,8999,2851,0,0,8,93895.6377563,17217,93678,0,0,2302,0,162,4275,57859,9000,2855,0,0,8,93895.6377563,17217,93678,0,0,2302,0,162,4275,57859,9000,2855,0,0,8,93895.6377563,15717,93678,0,0,2267,0,159,4275,60485,8096,2671,0,0,8,93895.6377563,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,19402,86456,0,0,2198,0,451,1563,41252,7229,14351,0,0,10,86597.9282227,19442,86456,0,0,2198,0,453,1563,41137,7250,14403,0,0,10,86597.9282227,19448,86456,0,0,2198,0,453,1563,41080,7250,14454,0,0,10,86597.9282227,19448,86456,0,0,2198,0,453,1563,41080,7250,14454,0,0,10,86597.9282227,18071,86456,0,0,2054,0,406,1563,44270,6700,13382,0,0,10,86597.9282227,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,2789,3861,163,4,114,0,139,7,20,3,622,0,0,0,3889.54003906,2789,3861,163,4,114,0,139,7,20,3,622,0,0,0,3889.54003906,2789,3861,163,4,114,0,139,7,20,3,622,0,0,0,3889.54003906,2789,3861,163,4,114,0,139,7,20,3,622,0,0,0,3889.54003906,2789,3861,163,4,114,0,139,7,20,3,622,0,0,0,3889.54003906,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,11134,19386,3301,1493,2334,0,379,2,291,0,414,0,0,38,19429.640625,11085,19386,3353,1490,2334,0,379,2,291,0,414,0,0,38,19429.640625,11177,19386,3277,1473,2334,0,379,2,291,0,415,0,0,38,19429.640625,11177,19386,3277,1473,2334,0,379,2,291,0,415,0,0,38,19429.640625,11022,19386,3432,1473,2334,0,379,2,291,0,415,0,0,38,19429.640625,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,4688,13194,3250,573,4265,0,190,12,163,0,50,0,0,3,13260.4101562,4659,13194,3238,573,4306,0,190,12,163,0,50,0,0,3,13260.4101562,4727,13194,3183,553,4306,0,190,12,163,0,57,0,0,3,13260.4101562,4727,13194,3183,553,4306,0,190,12,163,0,57,0,0,3,13260.4101562,4714,13194,3196,553,4306,0,190,12,163,0,57,0,0,3,13260.4101562,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,1246,63789,32765,28227,1515,0,15,2,8,0,9,0,0,2,63910.8215828,1246,63789,32765,28227,1515,0,15,2,8,0,9,0,0,2,63910.8215828,1252,63789,32785,28201,1515,0,15,2,8,0,9,0,0,2,63910.8215828,1252,63789,32785,28201,1515,0,15,2,8,0,9,0,0,2,63910.8215828,1244,63789,32775,28219,1515,0,15,2,8,0,9,0,0,2,63910.8215828,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,4034,6238,66,0,1104,0,62,4,340,8,45,0,0,575,6277.09960938,4033,6238,66,0,1104,0,62,4,339,8,45,0,0,577,6277.09960938,4031,6238,66,0,1103,0,63,4,339,8,45,0,0,579,6277.09960938,4031,6238,66,0,1103,0,63,4,339,8,45,0,0,579,6277.09960938,4029,6238,68,0,1103,0,63,4,339,8,45,0,0,579,6277.09960938,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,5208,8281,178,114,1000,0,252,24,795,48,264,0,0,398,8306.00097656,5163,8281,181,123,1013,0,260,24,795,48,268,0,0,406,8306.00097656,5161,8281,181,120,1012,0,260,24,795,48,267,0,0,413,8306.00097656,5161,8281,181,120,1012,0,260,24,795,48,266,0,0,414,8306.00097656,5160,8281,182,122,1012,0,260,24,795,48,264,0,0,414,8306.00097656,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,2491,3495,1,0,425,0,22,10,268,0,37,0,0,241,3512.27978516,2490,3495,1,0,422,0,22,10,268,0,37,0,0,245,3512.27978516,2488,3495,1,0,422,0,23,10,268,0,37,0,0,246,3512.27978516,2488,3495,1,0,422,0,23,10,268,0,37,0,0,246,3512.27978516,2488,3495,1,0,422,0,23,10,268,0,37,0,0,246,3512.27978516,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
