asdf_id,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2012.categorical_urban,esa_landcover.2012.count,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2013.categorical_urban,esa_landcover.2013.count,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,esa_landcover.2014.categorical_urban,esa_landcover.2014.count,esa_landcover.2015.categorical_grassland,esa_landcover.2015.categorical_count,esa_landcover.2015.categorical_sparse_vegetation,esa_landcover.2015.categorical_bare_areas,esa_landcover.2015.categorical_shrubland,esa_landcover.2015.categorical_no_data,esa_landcover.2015.categorical_rainfed_cropland,esa_landcover.2015.categorical_water_bodies,esa_landcover.2015.categorical_forest,esa_landcover.2015.categorical_wetland,esa_landcover.2015.categorical_mosaic_cropland,esa_landcover.2015.categorical_irrigated_cropland,esa_landcover.2015.categorical_snow_ice,esa_landcover.2015.categorical_urban,esa_landcover.2015.count,esa_landcover.2016.categorical_grassland,esa_landcover.2016.categorical_count,esa_landcover.2016.categorical_sparse_vegetation,esa_landcover.2016.categorical_bare_areas,esa_landcover.2016.categorical_shrubland,esa_landcover.2016.categorical_no_data,esa_landcover.2016.categorical_rainfed_cropland,esa_landcover.2016.categorical_water_bodies,esa_landcover.2016.categorical_forest,esa_landcover.2016.categorical_wetland,esa_landcover.2016.categorical_mosaic_cropland,esa_landcover.2016.categorical_irrigated_cropland,esa_landcover.2016.categorical_snow_ice,esa_landcover.2016.categorical_urban,esa_landcover.2016.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
10,9675,26738,7798,7161,1304,0,112,426,113,0,148,0,0,1,26801.1708984,9669,26738,7795,7170,1304,0,112,426,113,0,148,0,0,1,26801.1708984,9634,26738,7830,7170,1304,0,112,426,113,0,148,0,0,1,26801.1708984,9634,26738,7830,7170,1304,0,112,426,113,0,148,0,0,1,26801.1708984,9264,26738,8192,7237,1308,0,112,362,113,1,148,0,0,1,26801.1708984,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,2709,8272,1247,1621,532,0,10,1734,54,53,278,0,0,34,8301.71972656,2685,8272,1265,1627,532,0,10,1734,54,53,278,0,0,34,8301.71972656,2680,8272,1270,1627,532,0,10,1734,54,53,278,0,0,34,8301.71972656,2680,8272,1270,1627,532,0,10,1734,54,53,278,0,0,34,8301.71972656,2671,8272,1292,1839,532,0,10,1509,54,53,278,0,0,34,8301.71972656,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,538,1101,28,402,29,0,99,0,0,0,0,0,0,5,1110.57006836,538,1101,28,402,29,0,99,0,0,0,0,0,0,5,1110.57006836,541,1101,25,402,29,0,99,0,0,0,0,0,0,5,1110.57006836,541,1101,25,402,29,0,99,0,0,0,0,0,0,5,1110.57006836,541,1101,25,402,29,0,99,0,0,0,0,0,0,5,1110.57006836,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,1133,25889,1215,19533,139,0,321,3450,0,15,83,0,0,0,25928.5195312,1133,25889,1215,19533,139,0,321,3450,0,15,83,0,0,0,25928.5195312,1133,25889,1215,19533,139,0,321,3450,0,15,83,0,0,0,25928.5195312,1133,25889,1215,19533,139,0,321,3450,0,15,83,0,0,0,25928.5195312,1078,25889,1258,19614,139,0,321,3374,0,22,83,0,0,0,25928.5195312,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,85,4010,1498,2390,13,0,0,24,0,0,0,0,0,0,4029.08007812,85,4010,1516,2372,13,0,0,24,0,0,0,0,0,0,4029.08007812,85,4010,1516,2372,13,0,0,24,0,0,0,0,0,0,4029.08007812,85,4010,1516,2372,13,0,0,24,0,0,0,0,0,0,4029.08007812,85,4010,1516,2372,13,0,0,24,0,0,0,0,0,0,4029.08007812,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,1075,1628,27,233,19,0,62,88,14,2,97,0,0,11,1646.14013672,1074,1628,27,233,19,0,62,88,14,2,97,0,0,12,1646.14013672,1072,1628,27,232,19,0,62,88,14,2,97,0,0,15,1646.14013672,1070,1628,27,232,19,0,62,88,14,2,96,0,0,18,1646.14013672,1070,1628,27,232,19,0,62,88,14,2,96,0,0,18,1646.14013672,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,304,9494,236,8768,10,0,18,0,0,0,158,0,0,0,9529.61914062,304,9494,236,8768,10,0,18,0,0,0,158,0,0,0,9529.61914062,304,9494,236,8768,10,0,18,0,0,0,158,0,0,0,9529.61914062,304,9494,236,8768,10,0,18,0,0,0,158,0,0,0,9529.61914062,303,9494,236,8755,10,0,30,0,0,0,160,0,0,0,9529.61914062,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,580,9604,746,7787,26,0,5,15,0,0,445,0,0,0,9626.91015625,601,9604,763,7749,26,0,5,15,0,0,445,0,0,0,9626.91015625,647,9604,721,7745,26,0,5,15,0,0,445,0,0,0,9626.91015625,647,9604,721,7745,26,0,5,15,0,0,445,0,0,0,9626.91015625,647,9604,721,7692,26,0,5,15,0,0,498,0,0,0,9626.91015625,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,91,2866,452,1804,120,0,3,20,0,38,4,0,0,334,2877.55004883,91,2866,453,1780,120,0,3,20,0,38,4,0,0,357,2877.55004883,91,2866,453,1764,120,0,3,20,0,38,4,0,0,373,2877.55004883,91,2866,452,1747,120,0,3,20,0,38,4,0,0,391,2877.55004883,87,2866,456,1747,120,0,3,20,0,38,4,0,0,391,2877.55004883,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,3058,9982,2673,1470,2630,0,74,0,45,0,32,0,0,0,10027.1201172,3058,9982,2669,1470,2634,0,74,0,45,0,32,0,0,0,10027.1201172,3086,9982,2652,1459,2634,0,74,0,45,0,32,0,0,0,10027.1201172,3086,9982,2652,1459,2634,0,74,0,45,0,32,0,0,0,10027.1201172,3085,9982,2653,1459,2634,0,74,0,45,0,32,0,0,0,10027.1201172,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
