asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
49,7.15566860821,30.1364459991,0.0901967212558,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,4.07074982777,18.3719387054,0.0218759346753,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,10.6776429385,33.5453987122,0.117805354297,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,9.48597275229,29.4440364838,0.0618744678795,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,7.72122525367,24.0566539764,0.159258812666,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,1.63823470602,17.7266731262,0.0,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,0.238131938573,1.29342329502,0.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,0.876509978706,24.7632923126,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,0.244669344731,1.5278249979,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,0.288692758704,1.3813842535,0.0,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,20.0766309973,40.3970451355,0.416210740805,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,18.0118219618,43.3883361816,0.306260198355,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,20.7449950247,49.4254341125,0.157749220729,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,17.9957011365,38.8593940735,0.643363535404,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,5.93274496497,23.7712287903,0.0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,2.78197055355,19.0658931732,0.030937243253,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,9.77346282604,33.7401885986,0.0489160679281,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,2.92625776864,24.6179389954,0.0,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,7.3463731194,27.5020599365,0.188183248043,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,1.11318420565,17.5241775513,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,0.396469252409,3.0444893837,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,0.214353809642,1.38949525356,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
