asdf_id,gpw_v4_rev11_density.2015.count,gpw_v4_rev11_density.2015.mean,gpw_v4_rev11_density.2015.max,gpw_v4_rev11_density.2015.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
43,478.200012207,34.8810994878,55.9607772827,0.0,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,4490.87011719,2.62476429245,6.89501619339,0.0,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,8325.86035156,2.177928353,46.0206413269,0.0,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,10178.4199219,2.00970146156,11.1525268555,1.87344539165,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,1361.89001465,11.5247565863,167.544586182,1.87344539165,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,13634.609375,4.00196482539,26.2294178009,0.0,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,1127.92993164,17.4218441983,167.544570923,2.30519461632,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,1554.65014648,2.67228016799,19.7540016174,1.87344539165,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,802.809997559,26.4558895573,59.1024665833,4.69621706009,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,561.059997559,15.7908014938,16.4728469849,3.1856713295,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,954.039978027,7.1841820971,15.167427063,3.18567109108,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,1163.81005859,26.6852439964,1250.52392578,5.81010818481,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1614.66003418,1153.066795,1250.52416992,0.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,30542.4179497,1.53240400284,46.0206336975,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,10641.1503906,0.87889590052,46.0206336975,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,3789.77001953,6.72974617564,57.6943321228,2.49967193604,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,878.850036621,11.6061981255,42.3007698059,4.39122104645,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,4038.29003906,4.78126671629,44.3282012939,2.69601655006,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,1672.9699707,14.2728027952,67.7612533569,4.39122104645,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,373.820007324,62.1481352063,67.7612686157,12.450012207,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,859.729980469,11.824096817,68.6778564453,0.0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,1707.44995117,3.93015673596,7.07905244827,1.1424715519,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,2343.41992188,17.8430185594,167.544570923,7.46708106995,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5836.5,1.17734758282,5.63011455536,0.168447777629,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,275.910003662,3.5594861216,3.64247059822,0.386737763882,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,35406.4697266,0.601341614233,16.4141960144,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,5049.79003906,5.15067528004,50.7718276978,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,6660.52001953,0.829390769105,0.972445905209,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,275.099975586,2.796014274,4.15927743912,0.386737734079,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,7487.75,5.04381768318,104.480133057,2.68044996262,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,10476.2304688,0.88108085746,276.752441406,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,9654.34960938,0.481415875565,0.899063527584,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,436.75,35.228721454,63.2011566162,16.2618713379,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,2172.07006836,21.4378708842,23.8182678223,12.4379987717,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,1483.02001953,23.3151603931,56.0904273987,12.4379987717,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,7125.66992188,0.832579375302,3.31965970993,0.0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,704.229980469,264.948426643,2330.77807617,2.69601678848,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,930.969970703,277.854723886,2330.77807617,8.04820632935,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,395.5,204.088193665,2330.35791016,2.69601655006,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,37.5499992371,1846.89969012,2330.77758789,304.532806396,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,631.049987793,86.5414856671,1347.59472656,14.7367954254,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,268.059997559,265.066379324,273.776428223,69.1571807861,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,422.340026855,26.5937177843,414.8565979,9.42733383179,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,2639.40991211,7.08653015279,18.4083538055,4.10092830658,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,3377.10009766,6.14340608949,55.5953712463,4.87480354309,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,1507.12011719,17.182346077,17.63007164,5.61176204681,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,16959.4492188,0.88063367505,434.019165039,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,1372.7800293,18.9038778284,378.545959473,5.02530956268,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,3199.66992188,1.00179566662,3.35287213326,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,1050.29003906,22.4984540634,104.480140686,3.04352378845,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,510.540008545,3.26468921764,7.24005079269,0.244242712855,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,4956.58007812,24.2960013305,26.2294216156,0.0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
