asdf_id,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
50,12802.2054008,28750.4844505,0.0,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,1583.53264089,5797.04290064,0.0,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,2996.07769384,9561.74436806,0.0,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,4359.15952681,10863.5266697,0.0,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,5404.54693576,18252.7657233,0.0,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,3799.49940667,20057.9145178,0.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,15966.3047283,52305.1465941,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,13235.3398047,44971.9984247,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,15922.9463778,38341.9507647,0.0,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,4735.67295491,19304.3452604,0.0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,18672.6412853,48873.8908101,0.0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,10220.9583489,29595.2117763,0.0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,4417.76446662,12642.8892086,0.0,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,2117.86026957,7720.82689569,0.0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,5369.33102763,17811.36,0.0,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,9223.01787464,24181.8922827,0.0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5012.74877223,18558.5584464,0.0,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,2038.85723219,8905.68,0.0,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,8320.48224441,27308.4162544,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,10883.9843495,34027.179068,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,15569.1854046,43991.9555039,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,5282.04333211,12932.5742899,0.0,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,5211.83607749,20771.4154693,0.0,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,17593.869142,64294.2747468,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,11855.0930238,42598.520543,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,3084.57215717,11908.259434,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,4998.47736962,15382.2777383,0.0,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,3335.02401888,15242.5681281,0.0,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,4342.37494195,14789.3991015,0.0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,4384.36665638,15584.94,0.0,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,3645.87175899,10617.3209046,0.0,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,4082.84712911,12802.5842177,0.0,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,1548.13409199,3339.63,0.0,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,5184.9173832,16136.0161413,0.0,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,4624.25858511,12491.382411,0.0,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
