asdf_id,gdp_grid.none.sum,gdp_grid.none.mean,gdp_grid.none.max,gdp_grid.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
38,64.971786499,0.0333687236648,2.18633246422,0.0,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,6.75848388672,0.00382569168831,0.202395439148,0.0,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,17.3799533844,0.00637250237472,0.384183347225,0.0,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,16.1261405945,0.0392366767173,0.922819554806,0.0,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,106.006256104,0.00463726012038,2.58287453651,0.0,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,27.1368103027,0.0577261107879,0.901474535465,0.0,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,6.99714994431,0.0015993806651,1.24430775642,0.0,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,14.4639034271,0.00174447330406,0.740399301052,0.0,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,29.8541507721,0.00293676724721,0.906474649906,0.0,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,81.8728256226,0.0601346183153,1.78705453873,0.0,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,226.850891113,0.0166540898244,8.30847263336,0.0,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,60.5788002014,0.0566555804081,10.0538339615,0.0,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,3.67295455933,0.00237683822115,0.201659455895,0.0,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,15.7398223877,0.0198295751664,0.349592119455,0.0,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,32.5999526978,0.0581719360255,1.20609998703,0.0,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,7.20501756668,0.00762453793466,0.706089377403,0.0,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
