asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
49,14177.4907365,33767.4778258,0.0,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,17182.22249,40343.4016627,0.0,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,27498.8935482,45406.2932982,7813.6592426,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,52988.1855172,63810.9640857,43820.9065063,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,46875.4615183,69422.6710734,22264.0046036,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,60264.5164803,71865.8845635,43324.9061026,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,21452.0227692,50734.2523473,0.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,63067.5607563,114828.247448,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,28937.8619609,65916.9629683,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,9553.26185491,32056.4809405,0.0,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,39723.4388066,59031.7056822,17077.8104177,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,14334.2529144,46924.299665,0.0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,67381.327159,92252.1894925,34778.9129514,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,71585.8219633,82900.337097,58238.0272698,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,10885.4969225,31826.5208973,0.0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,39576.2416592,64917.5365002,13717.2009461,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,13846.3224323,37539.7293324,0.0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
