asdf_id,udel_precip_v501_mean.2012.max,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2012.min,udel_precip_v501_mean.2013.max,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2013.min,udel_precip_v501_mean.2014.max,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2014.min,udel_precip_v501_mean.2015.max,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2015.min,udel_precip_v501_mean.2016.max,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2016.min,udel_precip_v501_mean.2017.max,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
18,45.275,44.8863763364,44.675,42.5666666667,42.0161164766,41.7166666667,42.925,42.2287159361,41.85,38.5666666667,37.9135630099,37.5583333333,20.5333333333,20.1340669201,19.4,34.325,34.3161926526,34.3,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,40.4666666667,38.451047702,36.15,37.4166666667,35.0277183068,32.775,37.925,35.1363945924,32.7666666667,34.2916666667,31.8624909539,30.9333333333,22.15,19.1341164569,18.1166666667,31.775,30.4515857207,29.7,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,39.8666666667,37.4500167257,36.15,35.1583333333,33.8636816146,32.775,34.3916666667,33.8263652455,32.7666666667,34.275,31.0475856967,30.9333333333,26.35,19.7525959642,18.1166666667,36.0333333333,30.3609011224,29.7,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,50.7583333333,50.7583333333,50.7583333333,35.2583333333,35.2583333333,35.2583333333,46.8333333333,46.8333333333,46.8333333333,34.575,34.575,34.575,25.5083333333,25.5083333333,25.5083333333,37.325,37.325,37.325,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,87.4666666667,79.7655662115,78.2333333333,87.8083333333,79.5606499011,77.075,110.433333333,99.1674300125,96.9416666667,80.9333333333,61.9240318437,57.8,95.8,69.0126877328,62.9166666667,75.55,65.8914572865,64.3166666667,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,50.7583333333,50.7583333333,50.7583333333,35.2583333333,35.2583333333,35.2583333333,46.8333333333,46.8333333333,46.8333333333,34.575,34.575,34.575,25.5083333333,25.5083333333,25.5083333333,37.325,37.325,37.325,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,59.9333333333,52.148484861,50.7583333333,51.3583333333,37.6977272948,35.2583333333,56.8166666667,48.3459596096,46.8333333333,48.6916666667,36.7138889082,34.575,34.25,26.8328282948,25.5083333333,47.1666666667,38.8161616296,37.325,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,40.1333333333,39.9717171684,39.8666666667,35.1583333333,35.1320707079,35.0916666667,34.7416666667,34.3628787802,34.1166666667,35.6666666667,34.8232323061,34.275,29.9666666667,27.7747474302,26.35,36.5916666667,36.2532828214,36.0333333333,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,120.991666667,99.4130611974,77.775,101.616666667,80.9409839484,60.2083333333,120.641666667,97.1490314026,73.5916666667,103.8,81.69295587,59.525,97.875,74.6861129425,51.4333333333,112.408333333,89.6688271842,66.8666666667,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,65.1333333333,55.1993198552,38.325,59.775,49.9214956373,33.2916666667,58.75,49.4207478371,34.1666666667,59.5416666667,49.1942532753,31.6083333333,50.1166666667,39.5502135092,21.3416666667,61.9583333333,51.0667350201,32.425,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
