asdf_id,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
55,71.59925779,70.28285523,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,63.40509678,62.42790372,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,73.29654537,71.76997848,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,74.12294951,72.6269629,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,53.48926396,52.93012616,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,54.75071158,54.17600535,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,52.46317926,51.91817347,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,52.30885006,51.75747493,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,57.42490681,57.13396715,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,56.21639011,55.93777334,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,55.85385458,55.45787523,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,59.71431326,59.4938387,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,60.89534508,60.70712088,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,83.34733821,81.45500448,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,71.71063394,70.33197238,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,76.13664436,74.42458468,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,60.99860783,60.81549089,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,53.14456941,52.67564428,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,71.41661976,69.85517614,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,72.64840324,71.09541751,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,50.61178853,50.1603946,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,55.86792963,55.47973555,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,56.2493916,55.86911539,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,59.81481585,59.65913187,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,55.84083174,55.2561703,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,57.43947433,56.7911579,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,56.69055168,56.07358612,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,55.78032488,55.2014559,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,54.7624937,54.23189773,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,55.0952419,54.54318802,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,56.62939053,56.02730922,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,60.95215542,60.1675197,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,66.89826124,65.82220059,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,68.74122761,67.54697556,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,80.91896425,78.93624477,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,69.94392486,68.70408931,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,58.87930585,58.77590871,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,51.27014063,50.94157733,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,58.67711323,58.54733348,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
