system:index,country,id,level,name,system:time_start,total_area,year,.geo
0_000000000000000000ce,Bolivia,206,Admin2,Zudañez,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f1,Bolivia,241,Admin2,Muyupampa,1325376000000,0.011732360107421874,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f3,Bolivia,243,Admin2,Padilla,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f4,Bolivia,244,Admin2,Mojocoya,1325376000000,0.002635322759172028,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f6,Bolivia,246,Admin2,Villa Serrano,1325376000000,0.061846468062097884,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f7,Bolivia,247,Admin2,Macharetí,1325376000000,0.15036105327531404,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fe,Bolivia,254,Admin2,Sucre,1325376000000,0.024891294293093214,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ff,Bolivia,255,Admin2,Presto,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012c,Bolivia,300,Admin2,Poroma,1325376000000,0.0016981104736328125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000142,Bolivia,322,Admin2,Villa Charcas,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000150,Bolivia,336,Admin2,Camargo,1325376000000,0.04022344970703125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,Bolivia,5,Admin2,Aiquile,1325376000000,0.0059525177612304685,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,Bolivia,12,Admin2,Villa Rivero,1325376000000,0.01876810858154297,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,Bolivia,15,Admin2,Arbieto,1325376000000,0.14309469626799937,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,Bolivia,21,Admin2,Sicaya,1325376000000,0.9006173660240023,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000017,Bolivia,23,Admin2,Capinota,1325376000000,1.8655806869506837,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
