asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
49,216657.368801,241160.713695,193646.190311,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,224725.149565,248716.702192,199203.627597,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,50075.9209398,72306.9115429,32100.8671655,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,29411.290431,42301.98,16132.7504641,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,38443.3753528,62339.76,16698.15,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,44418.3693207,59897.8970853,25402.6861759,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,78736.4158562,108321.911699,47894.7056875,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,88750.631085,221561.150425,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,246108.353931,304522.507623,186359.024952,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,65365.187794,113653.574012,23180.6517018,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,3296.78966926,20140.539972,0.0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,26605.5784253,79965.6590327,0.0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,37.3105919551,5476.24027103,0.0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,0.0,0.0,0.0,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,171104.524328,190271.24951,157206.052284,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,139395.414424,166969.240572,117556.698258,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,194561.585161,215969.27315,171398.034531,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,203097.171356,250121.188742,155977.870017,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,282100.782326,293139.418111,272873.008259,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
