system:index,country,id,level,name,system:time_start,total_volume,year,.geo
2015_000000000000000000f6,Bolivia,246,Admin2,Villa Serrano,1420070400000,1785654.5019607842,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f7,Bolivia,247,Admin2,Macharetí,1420070400000,2070714.2274509806,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000fe,Bolivia,254,Admin2,Sucre,1420070400000,9.980611983137253E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ff,Bolivia,255,Admin2,Presto,1420070400000,1161388.9019607843,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012c,Bolivia,300,Admin2,Poroma,1420070400000,1526908.7529411765,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000142,Bolivia,322,Admin2,Villa Charcas,1420070400000,2376476.3568627452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000150,Bolivia,336,Admin2,Camargo,1420070400000,4250429.090196079,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000005,Bolivia,5,Admin2,Aiquile,1420070400000,6689377.48235294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000000c,Bolivia,12,Admin2,Villa Rivero,1420070400000,2467081.768627451,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000000f,Bolivia,15,Admin2,Arbieto,1420070400000,5384263.827450981,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000015,Bolivia,21,Admin2,Sicaya,1420070400000,479739.6431372549,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000017,Bolivia,23,Admin2,Capinota,1420070400000,9476513.698039215,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000018,Bolivia,24,Admin2,Arque,1420070400000,966913.8352941175,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000001a,Bolivia,26,Admin2,San Benito,1420070400000,5549569.647058823,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000035,Bolivia,53,Admin2,Omereque,1420070400000,1178899.7294117648,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000004f,Bolivia,79,Admin2,Quillacollo,1420070400000,6.952035052549016E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000050,Bolivia,80,Admin2,Sacaba,1420070400000,1.0601188551372552E8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000051,Bolivia,81,Admin2,Tiquipaya,1420070400000,2.5930506600000005E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000052,Bolivia,82,Admin2,Colcapirhua,1420070400000,3.58374483882353E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000053,Bolivia,83,Admin2,Sipe Sipe,1420070400000,1.5974416282352943E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000054,Bolivia,84,Admin2,Vinto,1420070400000,2.265951445490195E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000055,Bolivia,85,Admin2,Tarata,1420070400000,4382836.08627451,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000056,Bolivia,86,Admin2,Totora,1420070400000,2575651.482352941,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000006a,Bolivia,106,Admin2,Morochata,1420070400000,1137607.2666666666,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000077,Bolivia,119,Admin2,Sacabamba,1420070400000,721582.5411764706,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000078,Bolivia,120,Admin2,Anzaldo,1420070400000,1548086.6901960783,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000079,Bolivia,121,Admin2,Toko,1420070400000,1707950.0392156858,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000007a,Bolivia,122,Admin2,Cuchumuela,1420070400000,288457.3333333334,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000007b,Bolivia,123,Admin2,Tacachi,1420070400000,361422.80392156873,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
