shapeName,id,year,total_sol
Loreto,,1992,117.56387091042362
San Ignacio,,1992,429.80306091334893
San Javier,,1992,151.33724242389644
Huacaraje,,1992,95.99445359279382
San Joaquín,,1992,152.81538758043413
San Ramón,,1992,138.237699358735
Magdalena,,1992,260.9387314595282
Santa Rosa,,1992,163.11450502602202
Puerto Menor de Rurrenabaque,,1992,43.508562652445306
Santa Ana,,1992,366.5687754092556
San Borja,,1992,152.80385520326016
Reyes,,1992,208.41366739758274
Puerto Siles,,1992,36.431924754070735
Exaltación,,1992,427.0887824697712
Riberalta,,1992,253.79215911780219
Guayaramerín,,1992,159.27388069542016
San Andrés,,1992,171.4583548971032
Baures,,1992,306.57582533321175
Trinidad,,1992,108.86855488694542
San Lucas,,1992,65.97277726744318
Culpina,,1992,66.29295861837912
Incahuasi,,1992,17.66547914205813
Las Carreras,,1992,15.779903421068893
Villa Abecia,,1992,11.164019587986608
Azurduy,,1992,29.40851275595088
Tarvita,,1992,23.05367421940261
El Villar,,1992,15.0012235269827
Huacaya,,1992,22.715816440115503
Huacareta,,1992,50.34065937970709
Monteagudo,,1992,92.13255999281675
Alcalá,,1992,5.1418557902761535
Sopachui,,1992,9.920624371092105
Villa Ricardo Mugia - Icla,,1992,13.51886435402375
Yotala,,1992,9.35867771200251
Yamparáez,,1992,11.003375318967827
Tomina,,1992,13.953435828732147
Tarabuco,,1992,18.84520755212973
Zudañez,,1992,11.710439174709954
Villa Vaca Guzmán,,1992,65.66770166803298
Padilla,,1992,28.726529993843652
Mojocoya,,1992,21.027874940400032
Villa Serrano,,1992,29.818594614073056
Macharetí,,1992,185.80924966336943
Sucre,,1992,221.50844214985906
Presto,,1992,22.953810800005684
Poroma,,1992,24.567429587851265
Villa Charcas,,1992,11.75455669313669
Camargo,,1992,36.57959047931009
Aiquile,,1992,52.90234286503901
Villa Rivero,,1992,2.3326519715143177
Arbieto,,1992,9.795737255656837
Sicaya,,1992,1.9787527460604908
Capinota,,1992,17.998094988749457
Arque,,1992,8.731991785801217
San Benito,,1992,19.28934936920801
Omereque,,1992,13.144265521690246
Quillacollo,,1992,169.08714586689194
Sacaba,,1992,172.88647042526043
Tiquipaya,,1992,100.98475640425642
Colcapirhua,,1992,71.94756419611912
Sipesipe,,1992,41.585209056493994
Vinto,,1992,78.88949791202504
Tarata,,1992,8.619562951402333
Totora,,1992,36.85527165209253
Morochata,,1992,12.551505693742161
Sacabamba,,1992,3.3177667958406247
Anzaldo,,1992,11.452594941547689
Toco,,1992,2.622914129583273
Villa Gualberto Villarroel,,1992,1.2398135009933922
Tacachi,,1992,0.3948246215342308
Cliza,,1992,30.25494353236521
Tacopaya,,1992,9.963450842686727
Santivañez,,1992,9.195334949161785
Tolata,,1992,8.041446179984245
Cochabamba,,1992,498.699814728443
Arani,,1992,6.2079172379172896
Punata,,1992,26.98293023126236
Tapacarí,,1992,27.02572022800279
Bolivar,,1992,11.652200513990486
Cocapata,,1992,120.83540868540567
Villa Tunari,,1992,192.47420167732966
Chimoré,,1992,51.188174361589475
Tiraque,,1992,36.44391211011978
Shinahota,,1992,15.663844790316972
Vacas,,1992,6.089198211229899
Pocona,,1992,15.832201030382917
Puerto Villarroel,,1992,41.15339117221826
Ayopaya,,1992,25.434160540044747
Pojo,,1992,40.76406722344166
Entre Ríos,,1992,525.4461692043707
Colomi,,1992,11.092331573169893
Alalay,,1992,7.089267839520584
Vila Vila,,1992,10.092938206534766
Mizque,,1992,33.0367510915606
Pasorapa,,1992,40.622614754999375
Chacarilla,,1992,6.081739755646856
Papel Pampa,,1992,14.58602787582021
Umala,,1992,14.76942924185126
San Pedro de Curahuara,,1992,13.455906248618573
Corocoro,,1992,19.482244050042592
Sapahaqui,,1992,13.808656809785788
Cairoma,,1992,11.53363392738735
Colquiri,,1992,18.607511517931428
Ichoca,,1992,14.260341536589696
Villa Ancoraimes,,1992,5.754329519879587
Puerto Mayor de Carabuco,,1992,6.787241080534809
Mocomoco,,1992,11.122440638758388
Cajuata,,1992,12.113376475563818
Inquisivi,,1992,55.8215528541336
Irupana,,1992,23.602752423651665
Chulumani,,1992,6.6288919302616645
Tiahuanacu,,1992,6.402212046349749
Nazacara de Pacajes,,1992,0.2710108360823462
