asdf_id,ambient_air_pollution_2013_fus_calibrated.2012.mean,surface_pm25_annual_v5gl03.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
48,10.6618342096,20.1194888676,302.391178525,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,5.57089445143,18.5639993306,298.116756851,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,5.18799350453,18.4078985336,296.380131581,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,5.04301184507,21.5137722709,293.801566409,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,7.52884859297,19.9913275135,300.42517513,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,7.18338148579,19.0676362834,301.747431938,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,14.137753727,32.8316615778,299.979101992,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,19.2135436791,32.8060957511,302.881930911,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,13.2331482989,36.8219682316,300.373251601,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,15.2930810931,34.4301383434,302.110828915,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,17.1172560511,37.8819797969,302.540434361,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,10.2019606566,29.9749312271,293.169067521,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,7.11411430154,30.886803619,292.182241601,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,7.64015873014,29.0492729718,291.692318231,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,6.16636430678,31.4954858971,294.579930813,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,5.20544282176,20.3102226919,296.754893461,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,6.05651939682,16.5218274642,296.948498682,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,5.8762895559,16.5974785367,298.622774408,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5.70639446067,14.9060356417,300.779504217,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,5.03611392863,16.1192257205,299.855244233,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,18.7172183785,29.3715751106,300.463004073,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,15.8194498111,38.0862612698,301.270166331,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,16.8330020666,32.7607248691,303.001189587,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,5.42866329103,16.0426681613,299.71147167,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,8.58747185978,17.4692459278,297.938817363,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,15.1650450791,31.4005036034,302.993489745,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,15.3501590774,32.0393444465,303.885798371,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,7.26520893657,20.2923717915,295.186192182,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,5.74875989414,20.6278718951,296.70826601,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,6.37490969018,21.2529804754,297.233028722,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,7.39936035468,15.1839777359,299.251487553,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,7.4845992108,25.3137875759,294.227437152,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,8.34810601903,27.7897181475,294.593933577,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,7.66857256706,26.9066135385,293.739775223,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,6.28681907918,27.0123109349,300.659149981,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,6.49994091323,24.9577876,297.913537478,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,7.51210161488,26.4486844326,295.572343278,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,6.05170129596,25.1161627331,298.791842493,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,8.60795300968,30.4135538967,294.104477358,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,13.5946510429,31.9826903895,297.333457795,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,15.0307112531,36.306459178,300.68620352,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,20.3407983936,30.4869435255,302.485627915,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,15.1701692879,36.0800242374,301.160989535,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,6.85898157429,13.3817105709,297.499337133,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,7.5875558978,15.4659584812,299.524643007,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,6.47221077499,15.2143077718,297.361048523,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,10.3933840757,19.7918289736,302.165496147,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,7.83604329874,17.3658422729,296.747100946,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,8.8272254121,17.4991191301,297.709941887,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,7.26460632155,15.0911995344,298.77573304,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,6.36172252685,16.2703341443,299.488903242,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,5.26245021843,19.2681768205,299.358659524,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,6.11462579556,15.1653227228,301.770456407,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,7.46582339494,15.4744697246,297.817654529,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,6.71661820834,13.4788834897,296.675192454,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,9.89961345929,13.2885487721,298.172504628,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,6.59350341087,13.9286317027,300.355528852,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,6.13522584204,13.0536046813,299.710870795,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,7.2840154939,26.8054541818,292.336210112,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,5.73520779469,15.7228038613,299.731267735,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,5.2436213849,14.479269024,302.123013515,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,5.47724292281,14.7560827221,301.292221441,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,5.17517717598,20.3433351296,295.304679999,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,5.76738759594,19.4056388537,298.817178022,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,6.16726047048,17.7966659653,298.318449899,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,6.53099823388,13.7959955698,300.097231416,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,4.91703008408,14.8326141204,299.729685916,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,5.87062171677,13.4962250231,299.541481698,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,5.45002890668,22.2658440613,294.781596336,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,5.21015786356,20.5794059311,297.205946498,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,5.55468193727,22.0916096094,297.896986536,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,6.67057556052,24.7297008178,296.196759041,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,5.67713813424,22.6926851129,299.006097655,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,6.25784979956,25.1534365042,301.551733384,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,7.20990993739,25.3478721245,295.294978835,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,7.09269181128,25.7246286483,300.773263887,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,6.63232078425,26.2122588751,302.458307538,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,6.23600223912,24.1945837066,295.231176237,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,6.12872577026,18.9248726379,297.363933201,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,6.28891990307,16.6666482593,298.885713639,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,6.55207014735,25.8542820303,299.366857346,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,6.12813497314,22.4179571609,296.18375067,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,7.61337598687,20.6845116331,295.517440761,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,6.74959157953,26.8940202526,299.159887559,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,10.9117763497,28.915886762,302.50171744,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,6.23680470976,21.6261689366,298.366497576,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,5.88006420785,17.2096050989,296.423173114,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,7.45969985376,27.4842507376,299.255981619,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,6.30034605625,21.2542138519,297.827422441,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,6.67978725089,8.2579006209,296.388986115,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,5.34811013353,22.4842425756,294.652675766,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,6.00181607779,15.5220655427,298.544356376,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
