,distanceDia2017mean,id
257,549902.778654,257
258,570681.731588,258
259,627325.247327,259
260,573892.56273,260
261,417928.006907,261
262,495852.262085,262
263,433751.420853,263
264,401950.351637,264
265,429779.128949,265
266,315192.679209,266
267,358916.681605,267
268,375367.777986,268
269,364462.040897,269
270,547572.367329,270
271,388302.344903,271
272,372482.832441,272
273,394239.418777,273
274,415309.667617,274
275,528193.974254,275
276,546452.498856,276
277,527750.986589,277
278,532263.624897,278
279,502797.182122,279
280,521639.328466,280
281,529007.919839,281
282,535273.993548,282
283,394726.336318,283
284,562920.730043,284
285,169976.521346,285
286,220872.982306,286
287,321202.359729,287
288,230023.442069,288
289,509713.553345,289
290,396617.234368,290
291,367951.460752,291
292,294152.509312,292
293,232819.257239,293
294,324994.338636,294
295,235075.470767,295
296,307336.26756,296
297,437966.317275,297
298,441607.15177,298
299,442145.785314,299
300,503965.1508,300
301,341647.042119,301
302,408983.946559,302
303,426586.445205,303
304,106553.14226,304
305,145776.534687,305
306,613158.779281,306
307,287511.386644,307
308,394362.725788,308
309,393289.330304,309
310,459098.919076,310
311,531049.7669,311
312,498288.069259,312
313,443253.974685,313
314,537728.042645,314
315,788925.851529,315
316,734254.388655,316
317,714136.490455,317
318,473568.385155,318
319,428158.674105,319
320,489329.773094,320
321,689534.605572,321
322,724933.41372,322
323,205496.301673,323
324,204415.357532,324
325,379696.151634,325
326,195877.433829,326
327,247877.467389,327
328,299933.911831,328
329,555718.06191,329
330,489279.418514,330
331,456730.44786,331
332,508620.629715,332
333,447506.755974,333
334,527225.1135,334
335,701520.7918,335
336,714553.269072,336
337,834297.623319,337
338,718239.248702,338
