,distanceDia2017mean,id
0,485933.132857,0
1,530574.924805,1
2,516386.64465,2
3,431452.591592,3
4,411223.88604,4
5,490418.577027,5
6,412201.867482,6
7,417730.538273,7
8,415873.568392,8
9,471752.677833,9
10,518495.442472,10
11,451392.55445,11
12,385154.14202,12
13,477480.182056,13
14,333446.119514,14
15,365889.070834,15
16,344259.859262,16
17,314722.178498,17
18,376648.556365,18
19,370603.371025,19
20,339478.87204,20
21,377949.933394,21
22,144531.829223,22
23,381030.383496,23
24,378903.692799,24
25,300392.480887,25
26,369274.626728,26
27,262813.509655,27
28,249236.16458,28
29,319363.457417,29
30,289875.235459,30
31,601131.848315,31
32,537974.87429,32
33,581528.58682,33
34,569455.801155,34
35,680049.482797,35
36,753422.406835,36
37,737909.809348,37
38,455876.279062,38
39,537961.605222,39
40,449548.550841,40
41,196477.470302,41
42,735635.531019,42
43,196519.914753,43
44,491566.433582,44
45,302138.917281,45
46,624326.316006,46
47,602821.785564,47
48,578208.815448,48
49,570896.851286,49
50,561254.709266,50
51,183212.877008,51
52,492540.783343,52
53,480012.739178,53
54,569305.94392,54
55,582907.715774,55
56,231702.05773,56
57,324586.372382,57
58,469700.15998,58
59,228826.834133,59
60,240246.712713,60
61,212819.694733,61
62,198495.113559,62
63,423773.920184,63
64,367256.401415,64
65,594805.952212,65
66,428106.192277,66
67,507699.417672,67
68,296626.156042,68
69,458037.062121,69
70,344070.154748,70
71,508889.222247,71
72,691381.373568,72
73,280787.261371,73
74,299908.324655,74
75,248308.628795,75
76,496362.260212,76
77,473554.720654,77
78,612085.690716,78
79,319028.29707,79
80,345304.052805,80
81,322707.222921,81
82,341360.244478,82
83,346172.92298,83
84,330345.890619,84
85,379270.246854,85
86,421343.238754,86
87,533180.331289,87
88,504863.367363,88
89,302091.114999,89
90,535832.4923,90
91,837766.904017,91
92,744862.981018,92
93,811961.814136,93
94,600937.216115,94
95,813931.364315,95
96,662185.673083,96
97,777115.333273,97
98,788507.79965,98
99,447989.103879,99
100,766580.027749,100
101,738435.507024,101
102,632782.764625,102
103,843965.253977,103
104,781234.273335,104
105,749756.777614,105
106,308256.349583,106
107,491702.618108,107
108,482091.836802,108
109,465120.239644,109
110,444139.311478,110
111,287505.730142,111
112,306365.202459,112
113,477158.175722,113
114,430024.08307,114
115,678028.692855,115
116,276940.392312,116
117,399748.470086,117
118,402407.460808,118
119,401048.108398,119
120,401312.565116,120
121,381700.533562,121
122,393451.157163,122
123,387498.726283,123
124,374443.893223,124
125,372354.484688,125
126,409101.223953,126
127,408641.480584,127
128,360550.875729,128
129,368126.539039,129
130,267120.943299,130
131,365748.879693,131
132,315873.508489,132
133,337212.274971,133
