,distanceCoast2017max,id
292,414546.849928,292
293,1173166.27571,293
294,952296.123608,294
295,1086902.0565,295
296,792060.605249,296
297,945429.840203,297
298,613190.464778,298
299,655525.075356,299
300,535862.114665,300
301,498628.02224,301
302,514301.131384,302
303,508011.200592,303
304,723271.756633,304
305,400476.770366,305
306,409688.578296,306
307,273932.462057,307
308,233638.949215,308
309,277113.152122,309
310,250848.84426,310
311,210412.431936,311
312,249304.081994,312
313,436637.566818,313
314,316166.309998,314
315,498872.028468,315
316,437772.698329,316
317,232976.689979,317
318,861558.307499,318
319,853011.935742,319
320,663054.170387,320
321,615520.963415,321
322,570663.930747,322
323,328251.10181,323
324,315807.845578,324
325,188763.316589,325
326,334149.928897,326
327,279564.287996,327
328,239704.900224,328
329,505001.242393,329
330,433574.224743,330
331,414583.875302,331
332,516406.860281,332
333,541844.093521,333
334,631690.35337,334
335,496930.636605,335
336,548657.67709,336
337,509097.721043,337
338,624180.283468,338
