,distanceCoast2017max,id
0,255432.596116,0
1,385612.430465,1
2,336873.504437,2
3,413065.194725,3
4,413416.434058,4
5,580131.981467,5
6,438036.133998,6
7,468007.927564,7
8,400621.397343,8
9,218438.48831,9
10,421073.774818,10
11,379741.342368,11
12,486958.545284,12
13,337831.476212,13
14,266118.688009,14
15,470602.006591,15
16,310115.258094,16
17,288840.192566,17
18,353962.703089,18
19,293261.397582,19
20,285718.965848,20
21,431970.292091,21
22,1245286.26665,22
23,451588.580705,23
24,432934.55553,24
25,275317.759098,25
26,491138.530764,26
27,329122.444719,27
28,361133.747015,28
29,388100.534573,29
30,376413.569494,30
31,776624.720553,31
32,643492.634256,32
33,744917.636174,33
34,717893.435271,34
35,583156.58304,35
36,615533.348278,36
37,609009.091681,37
38,707046.216284,38
39,477275.229197,39
40,495693.281946,40
41,332295.684141,41
42,393320.160334,42
43,335556.600558,43
44,220412.222005,44
45,708325.663248,45
46,443079.425534,46
47,458269.951559,47
48,809935.643049,48
49,457809.860289,49
50,435800.035888,50
51,349211.237587,51
52,616534.349776,52
53,594754.406817,53
54,758412.063422,54
55,804477.00469,55
56,736529.713349,56
57,855108.997651,57
58,777322.177586,58
59,395607.890057,59
60,443532.20825,60
61,406661.172115,61
62,386306.071132,62
63,376614.426213,63
64,257238.047135,64
65,557733.172311,65
66,243130.03387,66
67,169907.923054,67
68,1019881.47432,68
69,751106.859264,69
70,895402.598572,70
71,179545.605279,71
72,672305.329601,72
73,928377.340873,73
74,913636.477502,74
75,278414.354642,75
76,484693.364145,76
77,466190.895353,77
78,223599.536824,78
79,455725.182196,79
80,493657.504445,80
81,472109.30113,81
82,451137.128619,82
83,441009.468385,83
84,444580.485849,84
85,470367.236908,85
86,574333.354815,86
87,730978.407589,87
88,724126.176078,88
89,1005629.03436,89
90,755393.857884,90
91,396989.133783,91
92,577764.721651,92
93,398868.650934,93
94,752561.786571,94
95,528957.92369,95
96,671111.385623,96
97,588552.013738,97
98,544091.622674,98
99,524311.942972,99
100,315982.389889,100
101,594018.790625,101
102,267887.458579,102
103,393456.11005,103
104,506518.858737,104
105,519911.134748,105
106,437398.28323,106
107,182601.750082,107
108,215000.594092,108
109,223230.912047,109
110,381979.625871,110
111,237035.579077,111
112,256518.068893,112
113,287940.297215,113
114,296750.033034,114
115,513099.767896,115
116,335157.306358,116
117,367742.897609,117
118,460159.654991,118
119,493608.005367,119
120,483110.709975,120
121,478660.05535,121
122,492757.757871,122
123,491269.607914,123
124,478325.370954,124
125,413666.739676,125
126,345839.262273,126
127,335011.388018,127
128,455044.20651,128
129,385599.157763,129
130,287707.519475,130
131,474643.425883,131
132,750230.979718,132
133,329335.66317,133
134,259244.842259,134
135,461863.740589,135
136,363687.896274,136
137,171672.966066,137
138,349458.363112,138
139,229073.214045,139
140,501882.178919,140
141,492444.188431,141
142,332193.929385,142
143,306326.050491,143
144,287024.938726,144
145,200992.030895,145
146,819838.297823,146
147,874713.946186,147
148,813713.127093,148
149,353755.077803,149
150,269656.181247,150
151,303285.481127,151
152,304202.708516,152
153,386100.536798,153
154,375600.008754,154
155,301968.585284,155
156,304762.581941,156
157,323068.266704,157
158,343325.203229,158
159,312267.30425,159
160,331775.229915,160
161,367217.562205,161
162,428593.59469,162
163,249773.30996,163
164,268727.315773,164
165,265876.025557,165
166,286453.477654,166
167,338603.984111,167
168,339477.100374,168
169,396011.887483,169
170,414434.227596,170
171,360627.525921,171
172,375331.492795,172
173,305877.86745,173
174,611182.311229,174
175,409422.253296,175
176,408246.625561,176
177,389204.947642,177
178,463262.818567,178
179,354007.654367,179
180,436752.638141,180
181,462674.66388,181
182,425590.183836,182
183,416478.282656,183
184,490326.308149,184
185,291543.644166,185
186,604190.4297,186
187,498322.512813,187
188,513183.268952,188
189,567217.089324,189
