airTemp2012.mean,airTemp2013.mean,airTemp2014.mean,airTemp2015.mean,airTemp2016.mean,airTemp2017.mean,id
8.62244612943,8.34616692976,8.55112374892,9.06344411984,9.42544763439,8.9538505202,0
10.2294217682,9.70204081583,9.77551020361,10.4056122444,10.3697278907,9.56462584995,1
8.694551278,8.31778845788,8.46298076576,8.97115384237,9.17195512504,8.48878204844,2
8.47930105511,8.48709675455,8.71962363705,8.86209675455,9.43575266982,8.93064514385,3
8.41499999354,8.42444443815,8.6594444384,8.79944443815,9.37722221634,8.87499999441,4
18.8941348219,18.7060866354,19.1173950027,19.1993065453,19.2492019151,18.9194170112,5
11.3481537214,11.3539775836,11.5009921013,11.704899156,12.192217461,11.6211699672,6
14.4615324607,14.4740568993,14.6264434011,14.8184009374,15.2617391105,14.7090232112,7
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,8
8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,9
10.3396220347,9.72379686789,9.76289407863,10.4681004888,10.3098329028,9.4431297263,10
9.55720074378,9.39893826921,9.62850405556,9.91309508036,10.3192418445,9.75414729821,11
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,12
8.22299628833,8.0512925896,8.26313471158,8.60561028159,9.01869567334,8.48351325236,13
5.85053739298,5.86561227047,6.02127394531,6.22617410865,6.72617410865,6.18889568548,14
15.054409303,15.3394864088,15.3677857789,15.5344478559,16.1711448148,15.6961677624,15
7.60833333333,7.63333333333,7.775,7.89166666667,8.475,7.81666666667,16
4.61810500243,4.72044613988,4.85696855648,4.92272488707,5.46703287616,4.92471124847,17
9.46688110799,9.44282913602,9.62209526219,9.76281390082,10.3205815218,9.70165200569,18
7.69584495792,7.70027960155,7.86021578125,8.02830232107,8.59334021241,7.9955388209,19
7.11059267341,7.12291686899,7.26988485838,7.43180266014,7.98483154019,7.36382083715,20
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,21
26.6252460628,25.9686236725,26.3664205408,27.4632654339,25.9906767414,26.6401046106,22
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,23
17.3234848392,17.5643939298,17.6078282733,17.7719696875,18.4118686773,17.8924242326,24
6.26969690474,6.29747468477,6.45404034113,6.63434336866,7.06868680506,6.62979791504,25
11.461336337,11.7114395189,11.7572327259,11.923887928,12.4947613876,12.0698187109,26
10.5143556489,10.7023625137,10.8470186601,10.8032656107,11.3424830753,10.9022403721,27
13.7743938266,13.9403087918,14.0857703122,14.0690975877,14.5940834543,14.190337058,28
12.4452925755,12.545030642,12.6198564426,12.7516034187,13.3487963963,12.7096921117,29
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,30
24.9667809171,24.5053351125,24.7916233979,25.204906223,24.903059187,25.2650529401,31
17.7981607899,17.4005889752,17.8091186335,18.0924519669,17.749080395,18.0023610328,32
23.6626917817,23.2025973589,23.5075399717,23.9049906616,23.5966614199,23.9500071341,33
20.8390955097,20.377694621,20.7364433402,21.0954314788,20.7565077706,21.1049450728,34
15.7178330221,15.0618873103,15.3448737422,15.8744249029,15.1207837591,15.1082912251,35
19.2635090715,18.9335349836,19.3157121104,19.4529232769,18.8013403431,19.4240614032,36
17.7321840277,17.3496509351,17.7334669948,17.955326182,17.2673838007,17.8297928394,37
26.5501768209,26.1537326636,26.4744945364,26.900038911,26.6018529577,26.8398887632,38
12.2364901496,11.2710962289,11.2223273026,12.2083598132,11.5367554719,10.4129943153,39
