id,ghsl2015
78,1361459.9098039214
91,232096.8039215686
93,81018.20000000001
99,1378846.6823529413
100,279531.0
102,319973.80784313724
103,396942.6274509804
115,2417766.874509804
118,415759.28627450974
184,1922755.3843137256
187,1861726.803921568
188,4420514.82745098
189,1688056.1098039218
195,64334841.43921568
204,929620.08627451
232,432456.0627450981
306,12568135.74509804
313,1433944.6039215687
315,16428055.521568628
316,1286017.105882353
317,211295.0
329,715632.2666666668
331,3442815.647058824
332,1637675.4431372543
335,4769245.05490196
337,17097149.839215685
22,7167765.10588235
31,35680352.98039214
32,825545.9215686277
33,10977714.62352941
34,3672873.729411762
38,4729888.211764706
52,1682088.4352941175
54,5906816.690196079
55,624353550.0705884
58,4286589.890196078
68,5698462.003921569
69,5236318.321568627
87,3378601.874509804
88,5914801.250980391
90,7282770.105882353
197,2060566.0196078431
245,356015.14117647056
248,935879.4980392156
249,1085969.9294117645
250,14341884.984313726
252,6798424.31372549
253,2609854.0980392154
256,419366.17647058825
257,805506.2980392157
258,358174.85098039213
259,15951166.603921568
260,17087820.611764703
261,18618528.69411765
262,15604597.980392154
263,2141817.5764705883
264,4037987.85490196
265,2206529.0705882357
270,40568277.42745098
271,10568959.988235291
275,5652334.545098038
276,32620245.66666667
277,3532292.7960784314
278,33685878.847058825
279,4043415.17254902
280,6163721.749019608
281,2429504.243137255
282,4220651.666666666
284,2467316.564705882
285,5512859.321568628
286,1874999.4666666663
287,5068157.894117647
288,4465928.694117648
289,12183707.239215689
290,12449030.65490196
291,1681270.894117647
293,15077905.494117647
294,1028478.2
297,759295.7450980392
318,17408881.866666667
319,4797373.1725490205
320,3834952.047058824
48,24290525.54509804
72,6306497.176470588
92,5024328.666666666
94,37375717.57647057
95,1512000.8156862746
96,5978775.313725491
97,8858589.584313724
98,2717591.0039215693
101,102559237.42352942
321,15948040.615686271
338,4111390.407843137
