id,ghsl2015
45,923561.6392156864
56,4654563.517647059
57,1741869.9607843135
70,1438792.5254901962
73,1846201.2784313727
74,2027163.682352941
89,4400734.768627452
148,2838903.780392157
211,3955023.537254903
213,5944561.050980392
214,9623676.988235297
215,3028308.882352941
217,193412.60392156863
218,1881640.7019607844
219,28559403.819607843
226,16659887.368627451
272,4079119.7176470575
295,2330054.3490196075
296,37313456.46666667
35,3874453.403921568
36,3033997.333333333
37,1303322.6196078432
104,729296.7176470588
105,825372.1372549022
174,1181909.2588235296
186,1270236.1764705882
190,927293.1725490196
191,469646.7098039216
193,1677466.0588235294
194,5504724.913725491
198,509762.2980392156
199,867053.7176470588
200,1205034.0039215684
201,2616947.376470588
202,2066685.77254902
203,1756884.6470588236
205,2916303.858823529
206,1692238.8862745098
241,2573404.9450980388
243,2233801.8117647064
244,1276988.611764706
246,1785654.5019607842
247,2070714.2274509808
254,99806119.83137251
255,1161388.9019607843
300,1526908.7529411763
322,2376476.356862745
336,4250429.090196079
5,6689377.48235294
12,2467081.768627451
15,5384263.827450981
21,479739.6431372549
23,9476513.698039217
24,966913.8352941176
26,5549569.647058823
53,1178899.7294117648
79,69520350.52549016
80,106011885.51372552
81,25930506.600000005
82,35837448.3882353
83,15974416.282352945
84,22659514.45490195
85,4382836.08627451
86,2575651.482352941
106,1137607.2666666666
119,721582.5411764706
120,1548086.6901960785
121,1707950.0392156858
122,288457.3333333334
123,361422.80392156873
124,8987390.435294118
125,950086.250980392
128,3843002.054901961
131,3331092.9803921576
135,375043088.84313726
140,4606801.956862746
141,17673416.858823527
162,1902993.2392156865
238,645668.5254901961
251,1160246.5960784312
266,15246341.254901962
267,5569636.78039216
268,5242093.164705882
269,6491212.678431374
273,2191763.1450980394
274,3326401.2705882364
283,15510706.815686274
292,2755290.168627451
298,1611695.5019607844
299,12698735.164705882
301,4384199.933333335
302,350237.31764705887
303,612941.2823529412
333,6749419.980392159
334,1153962.776470588
14,186718.2901960784
16,460554.5843137255
17,1685819.8980392157
20,726846.6235294117
25,1878782.5568627447
27,1570153.1960784316
28,769144.4156862745
29,1855012.5333333327
30,261938.74117647065
41,2088865.2352941176
43,1891370.2901960784
51,1847300.043137256
59,786756.2235294118
60,1384190.3490196075
61,1309627.6941176471
