,distance_to_coast_min,id
297,874184.706642,297
298,560535.683879,298
299,578119.449131,299
300,487477.735094,300
301,472590.627199,301
302,489891.218789,302
303,478728.326316,303
304,459163.899875,304
305,345581.444745,305
306,297985.895886,306
307,259009.39691,307
308,127378.129738,308
309,232183.603339,309
310,196642.914821,310
311,183602.86673,311
312,217765.966527,312
313,401881.289275,313
314,218010.622413,314
315,385697.2364,315
316,373795.470593,316
317,162843.114844,317
318,758482.481979,318
319,661508.897203,319
320,585180.237506,320
321,594057.054729,321
322,529646.479877,322
323,290095.664465,323
324,301315.241761,324
325,120429.381158,325
326,290294.246098,326
327,257914.705646,327
328,190704.4896,328
329,470285.84489,329
330,348221.321889,330
331,382854.175237,331
332,476648.155318,332
333,492129.481264,333
334,574997.506773,334
335,402524.438309,335
336,491184.850223,336
337,409157.666871,337
338,521742.347462,338
