,distance_to_coast_min,id
0,210006.519535,0
1,333337.012628,1
2,297935.79277,2
3,378907.565657,3
4,374161.065577,4
5,523257.131324,5
6,401385.207056,6
7,441307.508624,7
8,359697.140692,8
9,210570.941864,9
10,346022.71184,10
11,338567.774323,11
12,474206.819588,12
13,271106.008207,13
14,233196.387097,14
15,451489.98036,15
16,266071.639319,16
17,254090.17666,17
18,335395.010947,18
19,248883.341851,19
20,240728.297166,20
21,420718.671062,21
22,1167620.73286,22
23,427797.287576,23
24,401844.852014,24
25,216187.486918,25
26,472063.083495,26
27,295439.865673,27
28,323556.626509,28
29,349375.23604,29
30,340958.637199,30
31,720003.000401,31
32,614641.019865,32
33,706627.943116,33
34,669660.956864,34
35,503269.655598,35
36,514695.599687,36
37,536692.731711,37
38,678034.912511,38
39,425798.48352,39
40,424157.807643,40
41,310020.227923,41
42,203422.733856,42
43,303969.817641,43
44,135977.268499,44
45,572980.253211,45
46,336224.006681,46
47,411205.142719,47
48,659379.687876,48
49,423153.492118,49
50,397993.205184,50
51,314401.287393,51
52,583623.072659,52
53,558493.046423,53
54,721024.780049,54
55,745768.026106,55
56,472206.676715,56
57,695850.41033,57
58,695953.307249,58
59,368024.360502,59
60,368600.392348,60
61,333182.473767,61
62,357575.691558,62
63,342780.139536,63
64,213519.834419,64
65,480423.779394,65
66,131913.82648,66
67,152379.537555,67
68,855453.707068,68
69,672990.678182,69
70,792781.542103,70
71,158629.601811,71
72,582197.993187,72
73,742315.355398,73
74,741760.952809,74
75,256858.183876,75
76,412985.903976,76
77,412165.755445,77
78,142027.103949,78
79,431338.049251,79
80,457033.641968,80
81,447370.720634,81
82,444220.885479,82
83,416606.646075,83
84,426353.85289,84
85,446562.839284,85
86,535474.924218,86
87,649389.751467,87
88,683440.587959,88
89,842891.411141,89
90,720018.588775,90
91,329516.51543,91
92,523694.254792,92
93,371833.764891,93
94,657390.724957,94
95,483125.715589,95
96,597029.41185,96
97,532005.495344,97
98,497779.778878,98
99,462333.158116,99
100,242090.602422,100
101,525208.490433,101
102,203985.238686,102
103,213283.080994,103
104,479154.762325,104
105,482602.702122,105
106,402717.484923,106
107,155151.48444,107
108,194645.133599,108
109,192928.53491,109
110,360708.000396,110
111,231654.24139,111
112,173265.700153,112
113,248589.542335,113
114,230989.278031,114
115,465947.827546,115
116,302373.224819,116
117,341030.411434,117
118,430055.949169,118
119,474447.678814,119
120,454351.408287,120
