,distanceDrug2017mean,id
0,254480.40961,0
1,240634.989835,1
2,255861.069636,2
3,142655.243485,3
4,130019.264051,4
5,67841.6057796,5
6,106379.782223,6
7,77006.5975842,7
8,149494.867434,8
9,242780.207917,9
10,212385.719262,10
11,187900.746053,11
12,32586.7861327,12
13,237401.826111,13
14,106338.179036,14
15,41732.3964637,15
16,110383.354757,16
17,85958.4670885,17
18,140314.807409,18
19,137965.275714,19
20,109670.36407,20
21,80865.0395138,21
22,631037.690316,22
23,71007.314066,23
24,89524.497847,24
25,84889.1495961,25
26,22842.5787729,26
27,33108.227848,27
28,15274.6888585,28
29,85610.1602712,29
30,54078.5107138,30
31,78155.7285091,31
32,58571.2453623,32
33,61731.5343099,33
34,58038.7676329,34
35,267629.386967,35
36,343329.618318,36
37,311859.778545,37
38,30534.2526272,38
39,182037.543533,39
40,102189.380239,40
41,85036.7215418,41
42,450020.668601,42
43,74961.0845511,43
44,265385.199543,44
45,110311.755396,45
46,297925.540072,46
47,250702.853135,47
48,425123.927675,48
49,216657.368801,49
50,224725.149565,50
51,50075.9209398,51
52,29411.290431,52
53,38443.3753528,53
54,44418.3693207,54
55,78736.4158562,55
56,88750.631085,56
57,246108.353931,57
58,65365.187794,58
59,3296.78966926,59
60,26605.5784253,60
61,37.3105919551,61
62,0.0,62
63,171104.524328,63
64,139395.414424,64
65,194561.585161,65
66,203097.171356,66
67,282100.782326,67
68,264128.136718,68
69,47623.4593563,69
70,322850.112548,70
71,282294.294695,71
72,401693.19148,72
73,325704.428847,73
74,303544.929389,74
75,75879.1992186,75
76,150146.434031,76
77,139878.178593,77
78,381763.053171,78
79,44213.8308149,79
80,23346.5144885,80
81,30761.1619101,81
82,43804.8263809,82
83,65489.0154217,83
84,54816.8515951,84
85,52024.4153715,85
86,5101.97491733,86
87,14512.5240226,87
88,668.576339442,88
89,413313.650843,89
90,12879.0029388,90
91,511660.122857,91
92,440437.640262,92
93,474119.114534,93
94,456895.541549,94
95,450621.159476,95
96,449145.321626,96
97,383939.032343,97
98,392591.978581,98
99,76062.1018657,99
100,483112.936421,100
101,419534.78155,101
102,397560.511839,102
103,544140.83594,103
104,398668.151794,104
105,364050.965015,105
106,67247.1959708,106
107,265619.309719,107
108,253628.600771,108
109,237100.909713,109
110,170556.814143,110
111,94466.0315817,111
112,108751.283426,112
113,242407.575418,113
114,196237.329514,114
115,295114.967845,115
116,43102.4153154,116
117,157442.816561,117
118,76516.0697499,118
119,38206.5714031,119
120,53144.2792452,120
121,37514.6055245,121
122,30076.9189131,122
123,27386.767366,123
124,33738.3769811,124
125,106281.505012,125
126,172145.157486,126
127,172516.063376,127
128,55013.9765935,128
129,128460.956818,129
130,52637.7980968,130
131,34545.1613141,131
132,154566.722609,132
133,101238.797686,133
134,99672.2425086,134
135,40604.090514,135
136,108699.982314,136
137,179554.682091,137
138,57352.0765248,138
139,141437.432094,139
140,19004.9162613,140
141,23107.6060325,141
142,73908.781818,142
143,63377.6328526,143
144,56662.1589575,144
145,156641.248896,145
146,166781.20962,146
147,231851.024306,147
148,178396.362891,148
149,31911.2045658,149
150,68432.5651661,150
151,38419.6133803,151
152,42872.2816406,152
153,15417.9669487,153
154,15706.4308855,154
155,72153.6112654,155
156,52111.1686435,156
157,15156.0608296,157
158,5102.11065658,158
159,21845.8677266,159
160,22826.767196,160
161,0.0,161
