,distanceRoad2017max,id
0,11304.5105957,0
1,25455.8459255,1
2,16793.7695874,2
3,9142.41646947,3
4,16712.7081292,4
5,18534.2327188,5
6,12245.31,6
7,20831.4724974,7
8,8402.49722302,8
9,5379.61491507,9
10,29708.4904331,10
11,19163.5824074,11
12,7855.44501842,12
13,18932.4157281,13
14,18255.7768421,14
15,7000.41548001,15
16,11899.9303193,16
17,11901.9297146,17
18,4372.65039057,18
19,13142.4510928,19
20,11960.861845,20
21,8443.86292922,21
22,53880.2221984,22
23,12708.5444585,23
24,8443.59611572,24
25,13511.4431905,25
26,6406.17715006,26
27,11321.5013934,27
28,18480.1999951,28
29,9218.83850882,29
30,15550.241824,30
31,15710.4023968,31
32,16698.15,32
33,24667.7161496,33
34,25884.1160342,34
35,26063.0900536,35
36,33213.2908147,36
37,22355.038447,37
38,39441.7282654,38
39,16354.4564755,39
40,23433.8070993,40
41,5464.28570762,41
42,35622.72,42
43,7404.19039161,43
44,14493.5699195,44
45,15310.9815497,45
46,18447.2707142,46
47,15707.3793083,47
48,43676.3205819,48
49,13507.1925197,49
50,28750.4844505,50
51,5797.04290064,51
52,9561.74436806,52
53,10863.5266697,53
54,18252.7657233,54
55,20057.9145178,55
56,52305.1465941,56
57,44971.9984247,57
58,38341.9507647,58
59,19304.3452604,59
60,48873.8908101,60
61,29595.2117763,61
62,12642.8892086,62
63,7720.82689569,63
64,17811.36,64
65,24181.8922827,65
66,18558.5584464,66
67,8905.68,67
68,27308.4162544,68
69,34027.179068,69
70,43991.9555039,70
71,12932.5742899,71
72,20771.4154693,72
73,64294.2747468,73
74,42598.520543,74
75,11908.259434,75
76,15382.2777383,76
77,15242.5681281,77
78,14789.3991015,78
79,15584.94,79
80,10617.3209046,80
81,12802.5842177,81
82,3339.63,82
83,16136.0161413,83
84,12491.382411,84
85,15265.852095,85
86,31202.7111985,86
87,31676.6753228,87
88,24829.1884868,88
89,60668.4370853,89
90,16818.191654,90
91,18058.0176054,91
92,18384.3920754,92
93,20121.0259348,93
94,16963.8657568,94
95,12413.6445602,95
96,33765.5093257,96
97,35996.0148026,97
98,32223.498357,98
99,20744.0072418,99
100,16753.1378684,100
101,19617.5277542,101
102,38878.7295768,102
103,30353.0101945,103
104,15183.3074291,104
105,17811.36,105
106,20198.1210158,106
107,14342.5470695,107
108,10856.638744,108
109,12411.4226087,109
110,6707.61331361,110
111,3077.78761434,111
112,16698.15,112
113,14341.3909289,113
114,10227.8310657,114
115,21354.7014716,115
116,8665.17095426,116
117,8431.9916773,117
118,9261.0125393,118
119,12453.3804479,119
120,9570.15503797,120
121,5745.7183445,121
122,13328.1564245,122
123,6679.26,123
124,4572.35962018,124
125,8905.68,125
126,21238.6299048,126
127,24553.3741753,127
128,10935.6841901,128
