,map_pf_incidence_rate.2012.min,map_pf_incidence_rate.2013.min,map_pf_incidence_rate.2014.min,map_pf_incidence_rate.2015.min,map_pf_incidence_rate.2016.min,map_pf_incidence_rate.2017.min,map_pf_incidence_rate.2018.min,map_pf_incidence_rate.2019.min,id
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,133
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,134
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,136
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,137
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,138
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,139
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,140
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,141
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,142
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,143
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,144
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,145
146,3.34e-05,0.000164206,0.0,0.0,0.0,0.0,0,0.0,146
147,3.34e-05,0.000164206,0.0,0.0,0.0,0.0,0,0.0,147
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,149
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,151
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,152
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,154
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,155
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,156
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,157
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,158
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,161
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,162
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,163
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,165
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,167
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,168
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,169
170,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,170
171,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,171
172,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,172
173,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,173
174,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,174
175,8.21e-06,5.58e-05,0.0,0.0,0.0,0.0,0,0.0,175
176,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,176
177,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177
178,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,178
179,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,179
180,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,180
181,7.85e-06,5.13e-05,0.0,0.0,0.0,0.0,0,0.0,181
182,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182
183,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,183
184,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,184
185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,185
186,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,186
187,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,187
188,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,188
189,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,189
190,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,190
191,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191
192,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,192
193,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,193
194,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,194
195,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,195
196,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,196
197,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,197
198,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,198
199,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,199
200,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,200
201,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,201
202,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,202
203,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,203
204,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,204
205,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,205
206,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,206
207,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207
208,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,208
209,1.05e-05,6.1e-05,0.0,0.0,0.0,0.0,0,0.0,209
210,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,210
211,1.17e-05,5.69e-05,0.0,0.0,0.0,0.0,0,0.0,211
212,1.59e-05,6.8e-05,0.0,0.0,0.0,0.0,0,0.0,212
213,3.89e-05,0.000192967,2.88e-05,1.45e-06,1.04e-07,1.22e-07,0,3e-07,213
214,1.23e-05,6.47e-05,0.0,0.0,0.0,0.0,0,0.0,214
215,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,215
216,0.000138951,0.000630589,5.75e-05,1.77e-06,1.27e-07,1.12e-07,0,3.18e-07,216
217,0.000653611,0.002881213,0.000596578,5.77e-05,4.43e-06,4.46e-06,0,1.26e-05,217
218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,218
219,5.31e-05,0.000266813,2.43e-05,6.54e-07,4.49e-08,4.17e-08,0,1.11e-07,219
220,0.0,0.0,4.62e-06,0.0,0.0,0.0,0,2.55e-08,220
221,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,221
222,0.000113676,0.000509698,4.25e-05,1.33e-06,1.04e-07,8.91e-08,0,2.5e-07,222
223,4.79e-05,0.000237036,1.59e-05,3.81e-07,2.79e-08,2.53e-08,0,6.81e-08,223
224,0.0,5.95e-05,3.05e-05,8.67e-07,0.0,0.0,0,1.7e-07,224
225,0.0,0.0,0.0,4.8e-06,0.0,0.0,0,1.01e-06,225
226,4.52e-07,4.04e-07,2.46e-06,4.37e-06,2.05e-06,1.91e-06,0,4.86e-06,226
227,0.000549864,0.00210466,0.000262013,1.27e-05,9.91e-07,8.45e-07,0,2.64e-06,227
228,1.52e-07,1.12e-07,7.45e-07,8.53e-07,1.42e-06,1.19e-06,0,3.79e-06,228
229,1.06e-06,7.88e-07,2.9e-06,3.92e-06,0.0,5.3e-06,0,0.0,229
230,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,230
231,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,231
232,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,232
233,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,233
234,1.86e-10,7.32e-09,0.0,0.0,0.0,0.0,0,0.0,234
235,9.33e-06,6.02e-05,0.0,0.0,0.0,0.0,0,0.0,235
236,2.67e-06,2.35e-05,0.0,0.0,0.0,0.0,0,0.0,236
237,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,237
238,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,238
239,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,239
240,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,240
241,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,241
242,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,242
243,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243
244,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,244
245,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,245
246,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,246
247,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,247
248,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,248
249,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,249
250,2.52e-06,0.0,9.11e-07,1.45e-08,7.6e-10,4.16e-10,0,1.73e-09,250
251,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,251
252,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,252
253,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,253
254,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,254
255,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,255
256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,256
257,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,257
258,1.76e-07,0.0,8.65e-08,7.67e-10,2.87e-11,2.01e-11,0,8.03e-11,258
259,4.18e-07,0.0,1.26e-07,8.82e-10,3.5e-11,2.47e-11,0,8.37e-11,259
260,1.06e-06,0.0,2.73e-07,2.11e-09,8.72e-11,6.38e-11,0,2.18e-10,260
261,5.59e-06,0.0,3.04e-06,5.41e-08,2.7e-09,2.08e-09,0,7.43e-09,261
262,2.23e-06,0.0,1.5e-06,2.44e-08,6.71e-10,4.72e-10,0,2.22e-09,262
263,4.2e-06,0.0,3.03e-06,6.83e-08,1.96e-09,1.85e-09,0,6.01e-09,263
264,5.66e-06,0.0,3.49e-06,7.19e-08,2.27e-09,1.92e-09,0,7.14e-09,264
265,3.33e-06,0.0,1.72e-06,2.48e-08,7.73e-10,5.86e-10,0,2.08e-09,265
266,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,266
267,7.73e-05,0.0,6.62e-05,3.45e-06,2.16e-07,2.04e-07,0,5.88e-07,267
268,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,268
269,5.93e-05,0.000494389,4.79e-05,1.85e-06,1.11e-07,1.26e-07,0,3.09e-07,269
270,5.36e-06,0.0,3.51e-06,6.47e-08,2.9e-09,2.3e-09,0,8.05e-09,270
271,9.81e-06,0.0,8.88e-06,3.34e-07,1.22e-08,1.29e-08,0,3.63e-08,271
272,3.45e-05,0.0,4.27e-05,3.17e-06,1.66e-07,1.6e-07,0,4.89e-07,272
273,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,273
274,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,274
275,2.23e-06,0.0,1.5e-06,2.62e-08,1.08e-09,8.11e-10,0,2.87e-09,275
276,3.73e-06,0.0,1.83e-06,2.79e-08,1.19e-09,9.63e-10,0,3.3e-09,276
277,5.36e-06,0.0,3.59e-06,7.27e-08,3.26e-09,2.53e-09,0,8.78e-09,277
278,1.56e-06,0.0,6.81e-07,7.94e-09,2.85e-10,2e-10,0,7.52e-10,278
279,1.49e-05,0.0,1.57e-05,5.07e-07,2.43e-08,1.85e-08,0,7.31e-08,279
280,1.23e-05,0.0,1e-05,2.92e-07,1.37e-08,1.14e-08,0,3.91e-08,280
281,2.38e-07,0.0,1.02e-07,8.28e-10,3.14e-11,2.15e-11,0,8.1e-11,281
282,2.13e-07,0.0,7.76e-08,6.02e-10,2.35e-11,1.64e-11,0,5.74e-11,282
283,5.21e-05,0.0,3.29e-05,1.1e-06,7.47e-08,6.42e-08,0,1.86e-07,283
284,4.69e-06,0.0,3.17e-06,6.31e-08,2.96e-09,2.25e-09,0,7.72e-09,284
285,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,285
286,6.28e-06,0.0,2.62e-06,4.2e-08,1.39e-09,1.11e-09,0,4.05e-09,286
287,4.51e-06,0.0,2.12e-06,3e-08,9.54e-10,7.36e-10,0,2.77e-09,287
288,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,288
289,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,289
290,2.53e-06,0.0,1.07e-06,1.3e-08,4.63e-10,3.32e-10,0,1.2e-09,290
291,7.51e-06,0.0,3.51e-06,5.32e-08,1.65e-09,1.17e-09,0,5.3e-09,291
292,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,292
293,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,293
294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,294
295,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,295
296,9.3e-05,0.0,6.49e-05,3.15e-06,1.97e-07,2e-07,0,6.06e-07,296
297,2.99e-06,0.0,1.64e-06,2.55e-08,6.65e-10,5.35e-10,0,2.02e-09,297
298,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,298
299,7.73e-06,0.0,9.56e-06,2.35e-07,1.32e-08,1.08e-08,0,3.48e-08,299
300,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,300
301,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,301
302,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,302
303,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,303
304,4.74e-11,2.11e-09,0.0,0.0,0.0,0.0,0,0.0,304
305,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,305
306,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,306
307,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,307
308,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,308
309,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,309
310,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,310
311,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,311
312,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,312
313,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,313
314,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,314
315,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,315
316,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,316
317,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,317
318,7.45e-06,0.0,7.42e-06,2.07e-07,7.95e-09,6.11e-09,0,2.49e-08,318
