,dist_water2017min,id
0,70241.8311743,0
1,0.0,1
2,0.0,2
3,32613.8254539,3
4,27251.6676512,4
5,0.0,5
6,22772.9961848,6
7,0.0,7
8,11828.1389768,8
9,104940.95533,9
10,0.0,10
11,0.0,11
12,21475.866064,12
13,0.0,13
14,0.0,14
15,10655.9967641,15
16,0.0,16
17,0.0,17
18,0.0,18
19,18829.660492,19
20,0.0,20
21,9213.48435336,21
22,2103.30537563,22
23,0.0,23
24,13115.784018,24
25,0.0,25
26,31322.2145123,26
27,40622.7950171,27
28,46315.0272613,28
29,17811.36,29
30,5404.09422873,30
31,14825.8796495,31
32,9947.31045664,32
33,45326.3683087,33
34,22271.782819,34
35,0.0,35
36,0.0,36
37,0.0,37
38,10507.6434145,38
39,0.0,39
40,15798.2493609,40
41,0.0,41
42,126337.920145,42
43,0.0,43
44,105187.896379,44
45,0.0,45
46,27639.9161738,46
47,31415.4886696,47
48,0.0,48
49,0.0,49
50,0.0,50
51,7813.6592426,51
52,43820.9065063,52
53,22264.0046036,53
54,43324.9061026,54
55,0.0,55
56,0.0,56
57,0.0,57
58,0.0,58
59,17077.8104177,59
60,0.0,60
61,34778.9129514,61
62,58238.0272698,62
63,0.0,63
64,13717.2009461,64
65,0.0,65
66,57831.0585114,66
67,152379.537555,67
68,0.0,68
69,0.0,69
70,0.0,70
71,145232.690136,71
72,0.0,72
73,0.0,73
74,0.0,74
75,0.0,75
76,13765.995886,76
77,31152.3227378,77
78,115823.618138,78
79,12638.3381771,79
80,23103.2302899,80
81,24844.8382882,81
82,17851.7113023,82
83,0.0,83
84,16698.15,84
85,0.0,85
86,48290.5482821,86
87,0.0,87
88,20140.8782235,88
89,0.0,89
90,35984.467826,90
91,162909.617311,91
92,13966.9462809,92
93,159141.727187,93
94,0.0,94
95,33191.5449868,95
96,7599.35090376,96
97,33396.6055414,97
98,46544.5630551,98
99,0.0,99
100,218706.054272,100
101,22725.4079201,101
102,97012.8046785,102
103,167534.526978,103
104,77951.6217019,104
105,72947.9925809,105
106,27117.5450534,106
107,140943.671675,107
108,110498.830692,108
109,100236.170709,109
110,16875.2494588,110
111,0.0,111
112,0.0,112
113,37124.5398366,113
114,25292.1445281,114
115,65944.9723636,115
116,38962.35,116
117,0.0,117
118,0.0,118
119,13326.5036921,119
120,0.0,120
121,17712.3267797,121
122,25886.7740347,122
123,29140.7601771,123
124,22645.0623215,124
125,26311.5856552,125
126,0.0,126
127,0.0,127
128,0.0,128
129,1057.19626523,129
130,39991.833428,130
131,18660.2263811,131
132,106914.062627,132
133,0.0,133
134,0.0,134
135,10355.3537859,135
136,0.0,136
137,55329.8240682,137
138,22254.9793688,138
139,0.0,139
140,34040.2461465,140
141,30376.1851372,141
142,0.0,142
143,18258.2652658,143
144,34979.1768601,144
145,17892.2444452,145
146,0.0,146
147,0.0,147
148,22810.1410724,148
149,30826.7904138,149
150,21273.4782409,150
151,46713.9416421,151
152,33800.0802796,152
153,14407.3508456,153
154,15350.4740219,154
155,0.0,155
156,17216.3547744,156
157,58787.6049008,157
158,64968.8124179,158
159,50104.8401044,159
160,35345.7729462,160
161,66625.9942713,161
162,6738.19905095,162
163,0.0,163
164,0.0,164
165,0.0,165
166,0.0,166
167,0.0,167
168,8959.64119542,168
169,56051.592431,169
170,41735.9801549,170
171,32564.9485943,171
172,43970.2965478,172
173,28774.621036,173
174,0.0,174
175,41606.5668322,175
176,35597.7983934,176
177,14645.1356863,177
178,0.0,178
179,10030.6220577,179
180,22515.2313884,180
181,0.0,181
182,43494.2982867,182
183,34976.9190488,183
184,46492.5110004,184
185,0.0,185
186,0.0,186
187,25984.4829687,187
188,32421.8674316,188
189,0.0,189
190,28259.2991836,190
191,18924.57,191
192,35530.3678059,192
193,0.0,193
194,1041.36194102,194
195,0.0,195
196,0.0,196
197,32855.9984661,197
198,38799.5719338,198
199,18403.0810971,199
200,0.0,200
201,0.0,201
202,0.0,202
203,19978.4918153,203
204,0.0,204
205,0.0,205
206,21915.4812966,206
207,45912.7952069,207
208,40065.8754134,208
209,0.0,209
210,0.0,210
211,0.0,211
212,0.0,212
213,0.0,213
214,12611.0654169,214
215,0.0,215
216,0.0,216
217,0.0,217
218,0.0,218
219,0.0,219
220,81306.3239687,220
221,34378.0732271,221
222,0.0,222
223,0.0,223
224,30403.8556881,224
225,18794.0260969,225
226,0.0,226
227,0.0,227
228,5666.20829382,228
229,0.0,229
230,0.0,230
231,0.0,231
232,46996.9899737,232
233,106632.812729,233
234,0.0,234
235,0.0,235
236,13386.2923753,236
237,0.0,237
238,20086.7281578,238
239,0.0,239
240,10617.9489133,240
241,0.0,241
242,0.0,242
243,0.0,243
244,0.0,244
245,0.0,245
246,0.0,246
247,24166.1704667,247
248,86076.6943588,248
249,59356.3699543,249
250,70727.1796939,250
251,0.0,251
252,0.0,252
253,0.0,253
254,0.0,254
255,0.0,255
256,11889.2183048,256
257,31849.3877726,257
258,41296.5777276,258
259,0.0,259
260,0.0,260
261,0.0,261
262,0.0,262
263,14617.7590716,263
264,10007.7324964,264
265,0.0,265
266,0.0,266
267,0.0,267
268,44988.202397,268
269,42259.459072,269
270,25420.0040009,270
271,0.0,271
272,9870.97122547,272
273,39387.0015677,273
274,39186.1424757,274
275,0.0,275
276,0.0,276
277,0.0,277
278,0.0,278
279,0.0,279
280,0.0,280
281,3951.57441755,281
282,6989.77925715,282
283,0.0,283
284,42768.2705798,284
285,0.0,285
286,27139.8511202,286
287,127259.419291,287
288,0.0,288
289,0.0,289
290,3182.9392284,290
291,57016.5295356,291
292,0.0,292
293,0.0,293
294,0.0,294
295,0.0,295
296,0.0,296
297,0.0,297
298,39754.7180076,298
299,0.0,299
300,0.0,300
301,38415.3337387,301
302,17911.7580811,302
303,0.0,303
304,0.0,304
305,38593.2979755,305
306,2226.42,306
307,32524.9145289,307
308,12245.31,308
309,38551.7019359,309
310,73327.661475,310
311,118792.523654,311
312,76592.9454584,312
313,45203.0061979,313
314,25198.3385019,314
315,66997.418736,315
316,149700.362641,316
317,162843.114844,317
318,0.0,318
319,0.0,319
320,0.0,320
321,0.0,321
322,10380.7282996,322
323,0.0,323
324,0.0,324
325,27286.1897602,325
326,0.0,326
327,0.0,327
328,0.0,328
329,0.0,329
330,0.0,330
331,37500.1446741,331
332,10492.5935746,332
333,0.0,333
334,0.0,334
335,63458.8891381,335
336,31959.2540266,336
337,50628.0843117,337
338,0.0,338
