airTemp2012.min,airTemp2013.min,airTemp2014.min,airTemp2015.min,airTemp2016.min,airTemp2017.min,id
7.83333333333,7.40833333333,7.61666666667,8.29166666667,8.51666666667,8.04166666667,0
8.59166666667,8.225,8.375,8.875,9.09166666667,8.41666666667,1
8.59166666667,8.225,8.375,8.875,9.09166666667,8.41666666667,2
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,3
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,4
17.3666666667,17.1916666667,17.8333333333,17.6416666667,17.6166666667,17.175,5
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,6
10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,7
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,8
8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,9
9.73333333333,8.85833333333,8.78333333333,9.73333333333,9.25,8.21666666667,10
7.80833333333,7.83333333333,8.08333333333,8.20833333333,8.80833333333,8.29166666667,11
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,12
7.94166666667,7.85,8.08333333333,8.34166666667,8.80833333333,8.29166666667,13
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,14
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,15
7.60833333333,7.63333333333,7.775,7.89166666667,8.475,7.81666666667,16
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,17
9.05,9.00833333333,9.10833333333,9.26666666667,9.78333333333,9.0,18
6.63333333333,6.60833333333,6.76666666667,7.025,7.525,6.95833333333,19
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,20
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,21
26.0666666667,25.4083333333,25.8083333333,26.8916666667,25.4166666667,26.0333333333,22
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,23
11.575,11.625,11.725,11.875,12.4583333333,11.7833333333,24
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,25
10.6166666667,10.9416666667,10.9583333333,11.1166666667,11.7166666667,11.3333333333,26
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,27
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,28
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,29
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,30
24.925,24.4583333333,24.7333333333,25.15,24.8416666667,25.1916666667,31
17.7666666667,17.375,17.775,18.0583333333,17.7333333333,17.9833333333,32
20.3833333333,19.9166666667,20.2916666667,20.6416666667,20.2916666667,20.65,33
20.3833333333,19.9166666667,20.2916666667,20.6416666667,20.2916666667,20.65,34
12.5166666667,11.75,11.9083333333,12.6,11.8583333333,11.5333333333,35
14.9833333333,14.6083333333,14.9666666667,15.175,14.525,15.0333333333,36
14.9833333333,14.6083333333,14.9666666667,15.175,14.525,15.0333333333,37
25.7916666667,25.3666666667,25.7083333333,26.1666666667,25.8,26.0833333333,38
9.73333333333,8.85833333333,8.78333333333,9.73333333333,9.25,8.21666666667,39
10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,40
20.2833333333,20.2583333333,20.525,20.6416666667,20.9333333333,20.725,41
2.15833333333,1.46666666667,0.333333333333,1.11666666667,0.875,0.5,42
11.3333333333,11.325,11.575,11.5833333333,12.025,11.5833333333,43
-2.7,-3.35833333333,-3.14166666667,-2.15,-2.18333333333,-2.525,44
26.1916666667,25.7333333333,26.125,26.6166666667,26.325,26.4666666667,45
7.70833333333,6.525,6.25,7.625,6.78333333333,5.58333333333,46
7.70833333333,6.525,6.25,7.625,6.78333333333,5.58333333333,47
21.0166666667,21.025,21.275,21.425,20.6833333333,21.4666666667,48
7.70833333333,6.525,6.25,7.625,6.78333333333,5.58333333333,49
7.70833333333,6.525,6.25,7.625,6.78333333333,5.58333333333,50
7.825,7.73333333333,8.0,8.1,8.46666666667,8.10833333333,51
17.7666666667,17.375,17.775,18.0583333333,17.7333333333,17.9833333333,52
18.3833333333,18.3416666667,18.5416666667,18.75,19.0416666667,18.725,53
23.1166666667,22.6666666667,22.95,23.3583333333,23.0583333333,23.375,54
24.925,24.4583333333,24.7333333333,25.15,24.8416666667,25.1916666667,55
23.1583333333,22.775,23.125,23.45,23.475,23.5583333333,56
26.3,25.925,26.25,26.825,26.45,26.6083333333,57
25.5416666667,25.0666666667,25.4083333333,25.9583333333,25.5,25.7916666667,58
14.8833333333,14.9583333333,15.0833333333,15.175,15.7,15.2666666667,59
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,60
14.725,14.9333333333,15.0833333333,15.025,15.5416666667,15.175,61
14.725,14.9333333333,15.0916666667,15.025,15.5416666667,15.175,62
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,63
6.63333333333,6.60833333333,6.76666666667,7.025,7.525,6.95833333333,64
9.275,7.81666666667,7.36666666667,9.04166666667,7.90833333333,6.54166666667,65
-2.7,-3.35833333333,-3.14166666667,-2.15,-2.18333333333,-2.525,66
1.64166666667,1.05833333333,1.29166666667,2.15,2.19166666667,1.84166666667,67
24.175,23.7,24.0,24.675,24.2166666667,24.35,68
24.7083333333,24.2416666667,24.6,25.05,24.6083333333,24.9666666667,69
26.6,26.3166666667,26.6083333333,27.1916666667,26.7666666667,26.9833333333,70
1.64166666667,1.05833333333,1.29166666667,2.15,2.19166666667,1.84166666667,71
20.7916666667,20.6166666667,20.9583333333,20.925,20.3083333333,21.1333333333,72
26.8833333333,26.6166666667,26.7166666667,27.2916666667,26.95,27.3166666667,73
26.8333333333,26.475,26.7666666667,27.3,26.925,27.125,74
6.39166666667,6.50833333333,6.7,6.775,7.16666666667,6.81666666667,75
9.73333333333,8.85833333333,8.78333333333,9.73333333333,9.25,8.21666666667,76
10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,77
-6.43333333333,-7.15,-6.96666666667,-5.99166666667,-6.06666666667,-6.4,78
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,79
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,80
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,81
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,82
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,83
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,84
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,85
18.3833333333,18.3416666667,18.5416666667,18.75,19.0416666667,18.725,86
20.3833333333,19.9166666667,20.2916666667,20.6416666667,20.2916666667,20.65,87
23.1166666667,22.6666666667,22.95,23.3583333333,23.0583333333,23.375,88
26.5416666667,26.3083333333,26.525,27.1916666667,26.7333333333,26.9583333333,89
23.1166666667,22.6666666667,22.95,23.3583333333,23.0583333333,23.375,90
3.1,2.65833333333,2.75,3.125,3.075,2.875,91
11.7416666667,11.4666666667,11.9333333333,12.0583333333,11.8833333333,12.025,92
12.875,12.575,12.9333333333,13.2416666667,13.275,13.0583333333,93
21.0166666667,21.025,21.275,21.425,20.6833333333,21.4666666667,94
5.51666666667,5.23333333333,5.58333333333,5.88333333333,5.8,5.68333333333,95
21.0166666667,21.025,21.275,21.425,20.6833333333,21.4666666667,96
14.9833333333,14.6083333333,14.9666666667,15.175,14.525,15.0333333333,97
11.7416666667,11.4666666667,11.9333333333,12.0583333333,11.8833333333,12.025,98
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,99
2.63333333333,1.70833333333,0.775,1.45833333333,1.28333333333,0.958333333333,100
15.85,15.5416666667,16.1333333333,15.8916666667,15.1916666667,16.1,101
3.025,2.125,1.625,2.54166666667,2.31666666667,1.925,102
0.833333333333,-0.0583333333333,-1.01666666667,-0.391666666667,-0.641666666667,-0.883333333333,103
11.7416666667,11.4666666667,11.9333333333,12.0583333333,11.8833333333,12.025,104
18.1833333333,17.6666666667,17.9583333333,18.3416666667,17.775,17.9083333333,105
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,106
4.83333333333,4.35,4.55833333333,5.33333333333,5.475,5.1,107
8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,108
8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,109
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,110
6.39166666667,6.50833333333,6.7,6.775,7.16666666667,6.81666666667,111
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,112
8.4,8.075,8.26666666667,8.78333333333,9.1,8.53333333333,113
8.20833333333,8.05,8.23333333333,8.625,9.06666666667,8.575,114
12.5166666667,11.75,11.9083333333,12.6,11.8583333333,11.5333333333,115
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,116
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,117
10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,118
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,119
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,120
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,121
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,122
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,123
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,124
11.575,11.625,11.725,11.875,12.4583333333,11.7833333333,125
7.94166666667,7.85,8.08333333333,8.34166666667,8.80833333333,8.29166666667,126
7.60833333333,7.63333333333,7.775,7.89166666667,8.475,7.81666666667,127
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,128
7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,129
7.50833333333,7.79166666667,7.975,7.825,8.31666666667,7.95833333333,130
10.6166666667,10.9416666667,10.9583333333,11.1166666667,11.7166666667,11.3333333333,131
26.2166666667,26.1,26.2416666667,26.9083333333,26.2,25.875,132
7.60833333333,7.63333333333,7.775,7.89166666667,8.475,7.81666666667,133
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,134
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,135
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,136
5.1,4.625,4.775,5.58333333333,5.66666666667,5.325,137
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,138
-1.88333333333,-2.5,-2.30833333333,-1.4,-1.35833333333,-1.65,139
12.3083333333,12.4833333333,12.5583333333,12.7333333333,13.275,12.8083333333,140
10.6166666667,10.9416666667,10.9583333333,11.1166666667,11.7166666667,11.3333333333,141
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,142
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,143
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,144
5.625,5.31666666667,5.45833333333,6.05833333333,6.25833333333,5.925,145
24.8666666667,24.6083333333,24.8,25.4,25.0916666667,25.0083333333,146
24.8333333333,24.575,24.75,25.3666666667,25.05,25.0083333333,147
24.8333333333,24.575,24.75,25.3666666667,25.05,25.1166666667,148
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,149
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,150
4.19166666667,4.29166666667,4.44166666667,4.53333333333,5.03333333333,4.55833333333,151
7.50833333333,7.79166666667,7.975,7.825,8.31666666667,7.95833333333,152
14.8833333333,14.9583333333,15.0833333333,15.175,15.7,15.2666666667,153
5.84166666667,5.9,5.99166666667,6.09166666667,6.675,6.04166666667,154
8.525,8.65,8.86666666667,8.83333333333,9.24166666667,8.94166666667,155
4.44166666667,4.66666666667,4.89166666667,4.76666666667,5.18333333333,4.925,156
7.50833333333,7.79166666667,7.975,7.825,8.31666666667,7.95833333333,157
7.50833333333,7.79166666667,7.975,7.825,8.31666666667,7.95833333333,158
7.50833333333,7.79166666667,7.975,7.825,8.31666666667,7.95833333333,159
4.44166666667,4.66666666667,4.89166666667,4.76666666667,5.18333333333,4.925,160
14.725,14.9333333333,15.0916666667,15.025,15.5416666667,15.175,161
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,162
6.39166666667,6.50833333333,6.7,6.775,7.16666666667,6.81666666667,163
6.39166666667,6.50833333333,6.7,6.775,7.16666666667,6.81666666667,164
6.39166666667,6.50833333333,6.7,6.775,7.16666666667,6.81666666667,165
8.525,8.65,8.86666666667,8.83333333333,9.24166666667,8.94166666667,166
4.44166666667,4.66666666667,4.89166666667,4.76666666667,5.18333333333,4.925,167
20.2833333333,20.2583333333,20.525,20.6416666667,20.9333333333,20.725,168
20.2,20.2916666667,20.5083333333,20.4916666667,20.8666666667,20.65,169
20.2,20.2916666667,20.5083333333,20.4916666667,20.8666666667,20.65,170
20.2833333333,20.2583333333,20.525,20.6416666667,20.9333333333,20.725,171
16.1,15.9166666667,16.2833333333,16.5416666667,16.7,16.5666666667,172
3.76666666667,3.90833333333,4.025,4.03333333333,4.61666666667,4.04166666667,173
15.7916666667,15.2416666667,15.6,15.9916666667,15.25,15.525,174
20.1333333333,20.0666666667,20.3416666667,20.525,20.7416666667,20.65,175
4.44166666667,4.66666666667,4.89166666667,4.76666666667,5.18333333333,4.925,176
16.1,15.9166666667,16.2833333333,16.5416666667,16.7,16.5666666667,177
20.2,20.2916666667,20.5083333333,20.4916666667,20.8666666667,20.65,178
16.1,15.9166666667,16.2833333333,16.5416666667,16.7,16.5666666667,179
4.44166666667,4.66666666667,4.89166666667,4.76666666667,5.18333333333,4.925,180
23.1333333333,22.7416666667,23.0916666667,23.5666666667,23.4833333333,23.6333333333,181
20.1333333333,20.0666666667,20.3416666667,20.525,20.7416666667,20.65,182
7.825,7.73333333333,8.0,8.1,8.46666666667,8.10833333333,183
9.275,7.81666666667,7.36666666667,9.04166666667,7.90833333333,6.54166666667,184
8.525,8.65,8.86666666667,8.83333333333,9.24166666667,8.94166666667,185
15.7916666667,15.2416666667,15.6,15.9916666667,15.25,15.525,186
9.275,7.81666666667,7.36666666667,9.04166666667,7.90833333333,6.54166666667,187
9.275,7.81666666667,7.36666666667,9.04166666667,7.90833333333,6.54166666667,188
12.075,11.6166666667,11.9083333333,12.3166666667,11.8083333333,11.5333333333,189
20.9583333333,20.425,21.0583333333,21.4083333333,20.4583333333,21.125,190
21.35,21.1416666667,21.4,21.6083333333,20.9666666667,21.775,191
16.1,15.9166666667,16.2833333333,16.5416666667,16.7,16.5666666667,192
20.7916666667,20.6166666667,20.9583333333,20.925,20.3083333333,21.1333333333,193
20.9583333333,20.425,21.0583333333,21.4083333333,20.4583333333,21.125,194
9.275,7.81666666667,7.36666666667,9.04166666667,7.90833333333,6.54166666667,195
8.525,8.65,8.86666666667,8.83333333333,9.24166666667,8.94166666667,196
21.75,21.225,22.225,22.5333333333,21.2333333333,22.1916666667,197
20.1916666667,19.6833333333,20.2833333333,20.5833333333,19.7833333333,20.225,198
12.075,11.6166666667,12.1333333333,12.3166666667,11.8083333333,11.7583333333,199
12.075,11.6166666667,12.1333333333,12.3166666667,11.8083333333,11.7583333333,200
15.8916666667,15.425,15.875,16.0916666667,15.6333333333,14.9416666667,201
