drugCult_count2017,drugCult_none2017,drugCult_cannabis2017,drugCult_coca_bush2017,drugCult_opium2017,drugCult_mix2017,id
2487,2487,0,0,0,0,212
17891,17891,0,0,0,0,213
7410,5455,0,1955,0,0,214
9917,9917,0,0,0,0,215
1041,1041,0,0,0,0,216
1730,1730,0,0,0,0,217
20738,20738,0,0,0,0,218
10609,10609,0,0,0,0,219
888,888,0,0,0,0,220
4318,4318,0,0,0,0,221
2184,2184,0,0,0,0,222
4362,4362,0,0,0,0,223
3655,3655,0,0,0,0,224
4453,4453,0,0,0,0,225
5373,5373,0,0,0,0,226
2368,2368,0,0,0,0,227
5433,5433,0,0,0,0,228
2996,2996,0,0,0,0,229
78,78,0,0,0,0,230
54,54,0,0,0,0,231
226,226,0,0,0,0,232
2055,2055,0,0,0,0,233
9739,9739,0,0,0,0,234
879,0,0,879,0,0,235
1309,0,0,1309,0,0,236
156,156,0,0,0,0,237
586,586,0,0,0,0,238
67,67,0,0,0,0,239
246,246,0,0,0,0,240
3253,3253,0,0,0,0,241
666,666,0,0,0,0,242
1429,1429,0,0,0,0,243
1063,1063,0,0,0,0,244
583,583,0,0,0,0,245
1484,1484,0,0,0,0,246
6919,6919,0,0,0,0,247
1407,1407,0,0,0,0,248
762,762,0,0,0,0,249
865,865,0,0,0,0,250
6034,5907,0,127,0,0,251
2762,2762,0,0,0,0,252
2473,2473,0,0,0,0,253
1442,1442,0,0,0,0,254
1156,1156,0,0,0,0,255
955,955,0,0,0,0,256
344,344,0,0,0,0,257
243,243,0,0,0,0,258
4285,4285,0,0,0,0,259
533,533,0,0,0,0,260
8151,5790,0,2361,0,0,261
3788,3788,0,0,0,0,262
429,429,0,0,0,0,263
1917,1917,0,0,0,0,264
8168,8168,0,0,0,0,265
9469,4326,0,5143,0,0,266
2355,1553,0,802,0,0,267
1693,280,0,1413,0,0,268
626,0,0,626,0,0,269
214,214,0,0,0,0,270
7587,7587,0,0,0,0,271
8403,8403,0,0,0,0,272
299,263,0,36,0,0,273
776,617,0,159,0,0,274
882,882,0,0,0,0,275
1137,1137,0,0,0,0,276
457,457,0,0,0,0,277
11721,11721,0,0,0,0,278
647,647,0,0,0,0,279
363,363,0,0,0,0,280
862,847,0,15,0,0,281
632,630,0,2,0,0,282
1682,0,0,1682,0,0,283
250,250,0,0,0,0,284
11496,11496,0,0,0,0,285
9157,9157,0,0,0,0,286
6135,6135,0,0,0,0,287
23046,23046,0,0,0,0,288
60887,60887,0,0,0,0,289
16272,16272,0,0,0,0,290
8234,8234,0,0,0,0,291
1269,1269,0,0,0,0,292
41509,41509,0,0,0,0,293
13740,13740,0,0,0,0,294
14786,14786,0,0,0,0,295
1602,1602,0,0,0,0,296
2028,2028,0,0,0,0,297
2052,503,0,1549,0,0,298
1867,0,0,1867,0,0,299
1232,1232,0,0,0,0,300
434,414,0,20,0,0,301
355,355,0,0,0,0,302
