,distance_to_coast_mean,id
229,1025285.50654,229
230,300507.55172,230
231,291120.328208,231
232,416979.144249,232
233,707913.929782,233
234,692011.938232,234
235,441793.905735,235
236,415665.938608,236
237,309005.711749,237
238,390641.299729,238
239,299112.616302,239
240,324023.327184,240
241,662271.194911,241
242,319826.286292,242
243,629197.260277,243
244,589142.073068,244
245,636267.172834,245
246,621434.555877,246
247,749676.10264,247
248,735364.877079,248
249,687814.411661,249
250,694380.510569,250
251,455950.542114,251
252,662110.655273,252
253,697947.307531,253
254,523208.318523,254
255,564034.945314,255
256,683508.429975,256
257,652487.340547,257
258,671643.553707,258
259,738195.504722,259
260,786572.6409,260
261,660203.903075,261
262,864941.599726,262
263,860993.834201,263
264,866178.731057,264
265,975013.148605,265
266,542477.331527,266
267,610784.886859,267
268,522494.638548,268
269,551162.141578,269
270,757760.82559,270
271,811787.966119,271
272,741051.663726,272
273,509444.64579,273
274,529536.806273,274
275,798180.283764,275
276,775147.046306,276
277,768976.544433,277
278,890489.954718,278
279,772184.287998,279
280,761644.96225,280
281,652354.583745,281
282,668349.061082,282
283,596379.022924,283
284,749355.148967,284
285,1200493.97456,285
286,1220041.10299,286
287,1122475.07006,287
288,1221054.87252,288
289,901355.154899,289
290,1047928.32705,290
291,1093304.16886,291
292,399229.547519,292
293,1067157.48354,293
294,870039.774212,294
295,959055.480723,295
296,724175.702327,296
297,912847.106937,297
298,584317.277892,298
299,623436.919863,299
300,516285.454333,300
301,484353.111252,301
302,500765.492056,302
303,493253.350669,303
304,599573.612587,304
305,368522.637435,305
306,350154.209317,306
307,266644.37265,307
308,181721.04876,308
309,251880.677993,309
310,227253.242165,310
311,199096.773081,311
312,232756.638467,312
313,418297.307841,313
314,269649.944451,314
315,442194.771198,315
316,405673.300022,316
317,201008.869392,317
318,816116.256615,318
319,769366.306266,319
320,626095.092932,320
321,606845.711071,321
322,551648.533893,322
323,310210.345844,323
324,309692.27278,324
325,151088.249209,325
326,317424.420476,326
327,265836.492583,327
328,215757.397415,328
329,486651.355052,329
330,390379.567127,330
331,398657.576836,331
332,495208.657619,332
333,519015.322825,333
334,601521.255953,334
335,452061.8849,335
336,516706.8204,336
337,460235.792153,337
338,577093.578811,338
