,distanceRoad2017mean,id
0,3718.50782614,0
1,6348.50980512,1
2,5324.28807442,2
3,3264.7281106,3
4,8103.5578757,4
5,5763.25430146,5
6,4126.19970011,6
7,10258.8885377,7
8,2246.65799228,8
9,1560.12242654,9
10,8489.99424286,10
11,4450.96275299,11
12,4357.44118657,12
13,4646.12992291,13
14,11734.0197395,14
15,2320.68458529,15
16,4501.48489999,16
17,4641.49776403,17
18,1148.8462598,18
19,4452.45851371,19
20,3486.4183431,20
21,2233.59409264,21
22,33317.1539295,22
23,3745.3198035,23
24,2743.4885212,24
25,4276.95922895,25
26,2871.6440274,26
27,3739.04266038,27
28,5539.27655342,28
29,2985.73912718,29
30,7305.50295191,30
31,6093.8027166,31
32,7187.71040955,32
33,7832.08348126,33
34,7964.44328956,34
35,8557.38302165,35
36,13368.6156941,36
37,9633.59014548,37
38,24335.0047222,38
39,5789.72136422,39
40,10340.5552686,40
41,1623.28703806,41
42,5690.08943929,42
43,2050.04478089,43
44,3667.91583547,44
45,3862.09900087,45
46,5438.28944413,46
47,4931.67877651,47
48,7423.0083438,48
49,3447.75971335,49
50,12802.2054008,50
51,1583.53264089,51
52,2996.07769384,52
53,4359.15952681,53
54,5404.54693576,54
55,3799.49940667,55
56,15966.3047283,56
57,13235.3398047,57
58,15922.9463778,58
59,4735.67295491,59
60,18672.6412853,60
61,10220.9583489,61
62,4417.76446662,62
63,2117.86026957,63
64,5369.33102763,64
65,9223.01787464,65
66,5012.74877223,66
67,2038.85723219,67
68,8320.48224441,68
69,10883.9843495,69
70,15569.1854046,70
71,5282.04333211,71
72,5211.83607749,72
73,17593.869142,73
74,11855.0930238,74
75,3084.57215717,75
76,4998.47736962,76
77,3335.02401888,77
78,4342.37494195,78
79,4384.36665638,79
80,3645.87175899,80
81,4082.84712911,81
82,1548.13409199,82
83,5184.9173832,83
84,4624.25858511,84
85,7674.38090754,85
86,11107.5255539,86
87,14541.6373593,87
88,10531.7594408,88
89,15223.1900045,89
90,4378.20347013,90
91,5992.63574379,91
92,5291.11897422,92
93,13720.1517864,93
94,4348.75808159,94
95,3737.63093344,95
96,8581.46751029,96
97,16931.1762403,97
98,8973.81216036,98
99,10270.9186703,99
100,4318.52632296,100
101,6198.78832283,101
102,16955.5019111,102
103,6611.71238795,103
104,3523.49771864,104
105,7631.80353085,105
106,9981.7881089,106
107,9131.94226506,107
108,4349.95333805,108
109,4283.89113589,109
110,1989.94440787,110
111,637.240256661,111
112,5563.66956366,112
113,4230.22059652,113
114,2930.38169733,114
115,8366.50961763,115
116,2398.21474704,116
117,1980.58230797,117
118,3559.75219489,118
119,4022.7229653,119
120,3290.04959919,120
121,2411.22754801,121
122,9120.67162552,122
123,4562.92425007,123
124,1011.0473898,124
125,3679.4943303,125
126,5106.11585619,126
127,5167.72648537,127
128,6240.76641351,128
129,3440.36369819,129
130,4201.41810923,130
131,4304.83783219,131
132,2600.82333499,132
133,6304.19188652,133
134,7204.13442562,134
135,3012.70997552,135
136,6385.85317932,136
137,6674.29410465,137
138,4870.54361171,138
139,4637.39496711,139
140,3519.81018866,140
141,875.343638871,141
142,3632.18915529,142
143,2702.3928413,143
144,6430.07560027,144
145,3658.76222241,145
146,5257.87747668,146
147,8993.50681551,147
148,8666.10434161,148
149,2385.38714842,149
150,4048.47952749,150
151,2629.45354277,151
152,3296.1534422,152
153,3904.34424149,153
154,9397.9542754,154
155,854.965510456,155
156,3391.64690927,156
157,2943.97717661,157
158,3165.67500793,158
159,2085.03726113,159
160,4965.43473709,160
161,3770.06753172,161
162,3503.62811318,162
163,2696.71608278,163
164,3624.51994196,164
165,2296.72511806,165
166,11988.7838979,166
167,7651.77769488,167
168,3632.75955917,168
169,5385.60255181,169
170,9456.64792054,170
171,1559.53264527,171
172,5265.16384197,172
173,3868.43803242,173
174,6501.83345089,174
175,1760.18315994,175
176,8129.68156187,176
177,2478.80501798,177
178,16479.6038399,178
179,3153.70482074,179
180,4962.22252407,180
181,6656.64260539,181
