distanceDia2017min,distanceDia2017mean,distanceDia2017max,id
175492.213428,184697.475899,191000.695156,168
155971.851126,174779.374026,196630.042424,169
157968.792878,178732.94885,200383.019587,170
157790.168264,165133.609205,172365.675163,171
142455.843933,152264.05719,161311.127278,172
263137.890389,279019.775483,294008.630378,173
668826.314945,704007.398189,738029.714158,174
108319.346286,120662.340262,133861.243781,175
127310.685044,179308.738122,228998.062176,176
124677.585125,158844.789625,186891.280474,177
135231.843295,173881.067054,202978.528524,178
163745.320619,177105.796929,194849.238002,179
78706.5779953,136139.982519,185246.908431,180
57528.4334114,90437.8266094,127215.665851,181
89637.2610404,113670.114914,139446.338108,182
101836.187656,140481.999744,186194.897882,183
607205.192504,634830.339537,667962.106044,184
225423.752921,233552.031124,243608.73583,185
634361.335943,657714.925707,687100.57142,186
580963.967604,598411.437936,614820.457779,187
601871.627829,630111.369078,670987.878041,188
602142.950872,632467.459479,664681.903062,189
646797.645049,665392.023492,688220.561003,190
653328.19517,672175.147226,690071.748877,191
105868.027227,134476.620668,163821.69749,192
685398.793833,722822.87746,768884.310585,193
663028.770072,706884.176764,750859.71952,194
556922.550448,582817.564158,614141.217234,195
221389.150469,227761.636789,232565.885694,196
671685.527879,710077.053004,740838.709456,197
619577.566457,635511.65188,649097.925421,198
609240.430611,629379.669148,650560.202137,199
595876.726133,618447.803139,640591.013585,200
555224.049552,569458.982347,588031.826456,201
559777.985958,580518.15343,602067.701882,202
577914.441193,603313.811497,627434.681227,203
489273.330749,513817.076428,544572.357583,204
543414.55839,576723.846371,605498.338527,205
567101.808924,589293.795396,611711.437396,206
130783.825559,155568.432561,183551.02449,207
119437.994498,165084.767214,196347.991989,208
38237.1572625,98426.9418061,161286.729422,209
0.0,81188.1572003,167281.72527,210
0.0,31272.3385658,64314.6413981,211
0.0,41760.1537941,75925.5261509,212
90063.6235738,161346.670256,260112.48234,213
46622.4325734,97314.1979498,162233.864575,214
0.0,66742.0620633,184164.37339,215
246950.416795,282758.255059,317959.84365,216
263472.764416,283400.52617,306898.866386,217
89739.8363359,191797.617279,295487.819496,218
173785.127876,259986.38729,363167.079537,219
279718.761987,296566.905888,316274.812341,220
257229.193799,295079.926631,354993.621194,221
244101.040714,288873.88596,332278.815521,222
196455.45263,245142.794353,284841.115062,223
267841.090117,309102.579059,366590.615218,224
283738.507324,340278.863672,409633.217124,225
262866.066847,322728.851685,407198.018526,226
312589.123259,345478.644173,387327.895418,227
346155.052708,396010.243468,452726.31048,228
375735.095239,413389.259541,448835.405256,229
205587.647308,213055.875858,219931.493273,230
212908.423565,223576.844708,231839.677554,231
454097.687294,466351.166749,476970.239835,232
289897.733338,329059.251139,372037.450758,233
167864.700951,234504.837492,306185.30536,234
81236.241327,113646.831483,140477.219631,235
106768.72336,138609.499829,162401.246613,236
194110.838921,205031.687592,214127.421734,237
380622.205477,392175.118961,403235.611997,238
208580.713771,213910.961901,219664.574556,239
185656.670383,193678.128768,203239.098665,240
628598.83864,684196.374097,747615.805361,241
175368.83152,196446.57613,221693.403839,242
608265.548736,642736.284098,676208.97283,243
527609.489818,559443.542282,588890.641166,244
565827.589923,586193.409535,610317.12473,245
558293.48617,595961.002981,631312.890238,246
534008.680992,604950.995434,674314.02865,247
602656.791713,643099.76012,683952.601746,248
666971.255092,685796.351522,707156.801943,249
677132.061185,697228.770837,740838.709456,250
151724.984342,237069.29884,305466.592367,251
543991.323414,604793.6269,657391.349999,252
642034.868979,682089.628249,729186.58595,253
510838.883579,541870.694846,568613.010117,254
517581.731132,542819.062493,569845.936445,255
575269.091349,603986.484176,635012.641626,256
535718.265758,549902.778654,566845.976996,257
559441.459656,570681.731588,584042.497449,258
594519.000669,627325.247327,665105.95543,259
559146.634675,573892.56273,588842.824417,260
329099.367273,417928.006907,512415.376866,261
461560.08046,495852.262085,543149.715542,262
421682.359531,433751.420853,447999.305146,263
364659.411257,401950.351637,443479.92431,264
359551.563054,429779.128949,491633.216086,265
214168.240389,315192.679209,359265.679903,266
331901.347756,358916.681605,395288.995857,267
353600.537481,375367.777986,401829.878185,268
349801.85873,364462.040897,384716.658479,269
536593.591545,547572.367329,557879.940821,270
325634.689358,388302.344903,428504.000575,271
296551.103147,372482.832441,442674.537865,272
380105.332731,394239.418777,408343.506954,273
390715.349484,415309.667617,449628.146159,274
507035.082275,528193.974254,559587.865869,275
506560.142274,546452.498856,576691.080222,276
504162.755053,527750.986589,543947.250634,277
468072.06321,532263.624897,597121.902384,278
482355.830036,502797.182122,522758.590237,279
501238.136716,521639.328466,536389.639807,280
500901.462225,529007.919839,561571.333661,281
507719.820959,535273.993548,560046.120673,282
364785.601099,394726.336318,431666.041723,283
550119.282792,562920.730043,577465.01471,284
111254.567183,169976.521346,242231.493155,285
154383.879977,220872.982306,283079.775995,286
253236.382085,321202.359729,378044.447086,287
110984.499499,230023.442069,315939.817669,288
237778.870479,509713.553345,711442.206833,289
297258.378259,396617.234368,497690.277281,290
298315.610707,367951.460752,444884.680519,291
257538.69052,294152.509312,329925.611375,292
56818.2124562,232819.257239,414779.344415,293
230741.592247,324994.338636,404466.869489,294
96166.2650234,235075.470767,346771.828947,295
263005.36752,307336.26756,379430.759124,296
399041.825791,437966.317275,465101.86998,297
393668.525632,441607.15177,480795.59507,298
403624.271391,442145.785314,473228.876349,299
462107.029219,503965.1508,542186.359188,300
319087.948481,341647.042119,360337.738014,301
393886.252654,408983.946559,423020.632688,302
407794.086724,426586.445205,443242.859568,303
0.0,106553.14226,197593.289975,304
113525.498657,145776.534687,168082.282392,305
530738.424865,613158.779281,715445.537733,306
280132.799375,287511.386644,294066.775159,307
341494.774392,394362.725788,439342.003258,308
372052.785328,393289.330304,413488.642809,309
435048.844622,459098.919076,484588.56445,310
522236.545924,531049.7669,544441.475656,311
489487.757731,498288.069259,508843.3916,312
420586.70712,443253.974685,462245.030039,313
494736.295837,537728.042645,587774.88,314
742130.66606,788925.851529,838340.238992,315
701461.45257,734254.388655,765204.916148,316
667617.176959,714136.490455,788289.83883,317
437548.272845,473568.385155,510490.588619,318
329590.312463,428158.674105,481680.614852,319
456364.009828,489329.773094,527269.912733,320
680369.010718,689534.605572,701700.599427,321
709616.422085,724933.41372,739792.764706,322
187327.47072,205496.301673,224161.151823,323
198084.042078,204415.357532,212345.11898,324
342914.127372,379696.151634,415946.1454,325
178991.529518,195877.433829,222726.592706,326
234165.577256,247877.467389,255128.991755,327
274006.445971,299933.911831,322653.29437,328
531228.255311,555718.06191,579965.407477,329
441510.465209,489279.418514,538493.035139,330
439532.691788,456730.44786,478809.199887,331
480334.370647,508620.629715,535003.473477,332
414179.052256,447506.755974,484806.84536,333
487765.720844,527225.1135,568891.293157,334
622099.49925,701520.7918,759306.900027,335
682051.804102,714553.269072,744431.646608,336
785404.166455,834297.623319,864050.735898,337
670015.359074,718239.248702,774036.451197,338
