distanceRoad2017mean,distanceRoad2017max,distanceRoad2017min,id
3718.50782614,11304.5105957,0.0,0
6348.50980512,25455.8459255,0.0,1
5324.28807442,16793.7695874,0.0,2
3264.7281106,9142.41646947,0.0,3
8103.5578757,16712.7081292,0.0,4
5763.25430146,18534.2327188,0.0,5
4126.19970011,12245.31,0.0,6
10258.8885377,20831.4724974,0.0,7
2246.65799228,8402.49722302,0.0,8
1560.12242654,5379.61491507,0.0,9
8489.99424286,29708.4904331,0.0,10
4450.96275299,19163.5824074,0.0,11
4357.44118657,7855.44501842,0.0,12
4646.12992291,18932.4157281,0.0,13
11734.0197395,18255.7768421,0.0,14
2320.68458529,7000.41548001,0.0,15
4501.48489999,11899.9303193,0.0,16
4641.49776403,11901.9297146,0.0,17
1148.8462598,4372.65039057,0.0,18
4452.45851371,13142.4510928,0.0,19
3486.4183431,11960.861845,0.0,20
2233.59409264,8443.86292922,0.0,21
33317.1539295,53880.2221984,0.0,22
3745.3198035,12708.5444585,0.0,23
2743.4885212,8443.59611572,0.0,24
4276.95922895,13511.4431905,0.0,25
2871.6440274,6406.17715006,0.0,26
3739.04266038,11321.5013934,0.0,27
5539.27655342,18480.1999951,0.0,28
2985.73912718,9218.83850882,0.0,29
7305.50295191,15550.241824,0.0,30
6093.8027166,15710.4023968,0.0,31
7187.71040955,16698.15,0.0,32
7832.08348126,24667.7161496,0.0,33
7964.44328956,25884.1160342,0.0,34
8557.38302165,26063.0900536,0.0,35
13368.6156941,33213.2908147,0.0,36
9633.59014548,22355.038447,0.0,37
24335.0047222,39441.7282654,0.0,38
5789.72136422,16354.4564755,0.0,39
10340.5552686,23433.8070993,0.0,40
1623.28703806,5464.28570762,0.0,41
5690.08943929,35622.72,0.0,42
2050.04478089,7404.19039161,0.0,43
3667.91583547,14493.5699195,0.0,44
3862.09900087,15310.9815497,0.0,45
5438.28944413,18447.2707142,0.0,46
4931.67877651,15707.3793083,0.0,47
7423.0083438,43676.3205819,0.0,48
3447.75971335,13507.1925197,0.0,49
12802.2054008,28750.4844505,0.0,50
1583.53264089,5797.04290064,0.0,51
2996.07769384,9561.74436806,0.0,52
4359.15952681,10863.5266697,0.0,53
5404.54693576,18252.7657233,0.0,54
3799.49940667,20057.9145178,0.0,55
15966.3047283,52305.1465941,0.0,56
13235.3398047,44971.9984247,0.0,57
15922.9463778,38341.9507647,0.0,58
4735.67295491,19304.3452604,0.0,59
18672.6412853,48873.8908101,0.0,60
10220.9583489,29595.2117763,0.0,61
4417.76446662,12642.8892086,0.0,62
2117.86026957,7720.82689569,0.0,63
5369.33102763,17811.36,0.0,64
9223.01787464,24181.8922827,0.0,65
5012.74877223,18558.5584464,0.0,66
2038.85723219,8905.68,0.0,67
8320.48224441,27308.4162544,0.0,68
10883.9843495,34027.179068,0.0,69
