,distanceDia2017max,id
0,498379.625839,0
1,546617.755955,1
2,539944.661287,2
3,442484.114116,3
4,425500.673042,4
5,527665.19606,5
6,441907.462932,6
7,434657.617056,7
8,442596.565001,8
9,474538.781109,9
10,554663.073996,10
11,473821.927328,11
12,392545.446776,12
13,502320.769086,13
14,347935.646987,14
15,375795.231404,15
16,365474.517494,16
17,329801.565874,17
18,388084.304454,18
19,387334.617734,19
20,357460.024267,20
21,387389.792507,21
22,169904.623368,22
23,399392.15253,23
24,398539.506011,24
25,321537.117725,25
26,374943.536825,26
27,284611.866475,27
28,267988.314349,28
29,342376.853631,29
30,309565.543817,30
31,626664.235028,31
32,562612.487472,32
33,600631.122698,33
34,601986.338929,34
35,727798.076842,35
36,791339.883834,36
37,750739.596371,37
38,507511.658035,38
39,563124.794895,39
40,490563.671495,40
41,206907.073396,41
42,824483.435555,42
43,209522.551601,43
44,536771.827739,44
45,353884.802706,45
46,685803.174426,46
47,623163.409464,47
48,659467.321827,48
49,592490.132693,49
50,586333.243202,50
51,199346.95273,51
52,513725.779511,52
53,502164.554777,53
54,593401.578955,54
55,604236.967979,55
56,310360.031853,56
57,386110.510431,57
58,521966.547682,58
59,248659.150133,59
60,309981.4611,60
61,238017.335855,61
62,212623.11,62
63,444319.37954,63
64,394055.087055,64
65,623312.341987,65
66,470144.558166,66
67,519117.003524,67
68,477586.861395,68
69,538979.787503,69
70,370066.592553,70
71,522426.747249,71
72,733698.137186,72
73,343516.356086,73
74,344349.767661,74
75,260107.299897,75
76,523090.391003,76
77,493383.927539,77
78,677765.524174,78
79,347032.283815,79
80,364969.130737,80
81,341503.38527,81
82,345613.827392,82
83,373036.253726,83
84,341680.76311,84
85,393100.890495,85
86,469395.435643,86
87,567497.862366,87
88,522803.312597,88
89,357213.422618,89
90,563265.036355,90
91,878292.68086,91
92,773917.341851,92
93,827787.321065,93
94,641955.973275,94
95,854962.354584,95
96,699577.150657,96
97,824371.984842,97
98,826430.05295,98
99,487189.076768,99
100,807752.767822,100
101,827813.674152,101
102,681896.317331,102
103,923964.3,103
104,804588.672085,104
105,764673.135906,105
106,328861.437829,106
107,498983.344664,107
108,490995.277377,108
109,477628.75548,109
110,459561.565809,110
111,289679.523822,111
112,345528.437803,112
113,500598.774682,113
114,469875.689527,114
115,706433.168544,115
116,288441.159,116
117,410822.775951,117
118,415165.764018,118
119,412753.544373,119
120,423604.892155,120
121,389089.46659,121
122,400721.162515,122
123,390470.793245,123
124,379733.904426,124
125,387384.471457,125
126,442927.543043,126
127,462618.768887,127
128,373537.449671,128
129,396037.652837,129
130,276754.446627,130
131,370399.422658,131
132,330514.098227,132
133,349623.602549,133
134,346239.173213,134
135,358837.369221,135
136,379002.691159,136
137,372410.644107,137
138,318734.752214,138
139,415468.112109,139
140,397121.800102,140
141,381945.355241,141
142,332849.79,142
143,305140.748239,143
144,289527.48113,144
145,379535.765172,145
146,244101.040714,146
147,284143.599376,147
148,203807.566754,148
149,282305.32071,149
150,293488.393292,150
151,276998.088934,151
152,270749.628931,152
153,255839.791762,153
154,277384.906148,154
155,216754.126341,155
156,260615.91719,156
157,254742.976194,157
158,251958.240304,158
159,247548.897123,159
160,234986.69943,160
161,215895.987436,161
162,364561.16442,162
163,275266.416677,163
164,288131.434779,164
165,271430.003082,165
166,231908.230114,166
167,244890.109486,167
168,191000.695156,168
169,196630.042424,169
170,200383.019587,170
171,172365.675163,171
172,161311.127278,172
173,294008.630378,173
174,738029.714158,174
175,133861.243781,175
176,228998.062176,176
177,186891.280474,177
178,202978.528524,178
179,194849.238002,179
180,185246.908431,180
181,127215.665851,181
182,139446.338108,182
183,186194.897882,183
184,667962.106044,184
185,243608.73583,185
186,687100.57142,186
187,614820.457779,187
188,670987.878041,188
189,664681.903062,189
190,688220.561003,190
191,690071.748877,191
192,163821.69749,192
193,768884.310585,193
194,750859.71952,194
195,614141.217234,195
196,232565.885694,196
197,740838.709456,197
198,649097.925421,198
199,650560.202137,199
200,640591.013585,200
201,588031.826456,201
202,602067.701882,202
203,627434.681227,203
204,544572.357583,204
205,605498.338527,205
206,611711.437396,206
207,183551.02449,207
208,196347.991989,208
209,161286.729422,209
210,167281.72527,210
211,64314.6413981,211
212,75925.5261509,212
213,260112.48234,213
214,162233.864575,214
215,184164.37339,215
216,317959.84365,216
217,306898.866386,217
218,295487.819496,218
219,363167.079537,219
220,316274.812341,220
221,354993.621194,221
222,332278.815521,222
223,284841.115062,223
224,366590.615218,224
225,409633.217124,225
226,407198.018526,226
227,387327.895418,227
228,452726.31048,228
229,448835.405256,229
230,219931.493273,230
231,231839.677554,231
232,476970.239835,232
233,372037.450758,233
234,306185.30536,234
235,140477.219631,235
236,162401.246613,236
237,214127.421734,237
238,403235.611997,238
239,219664.574556,239
240,203239.098665,240
241,747615.805361,241
242,221693.403839,242
243,676208.97283,243
244,588890.641166,244
245,610317.12473,245
246,631312.890238,246
247,674314.02865,247
248,683952.601746,248
249,707156.801943,249
250,740838.709456,250
251,305466.592367,251
252,657391.349999,252
253,729186.58595,253
254,568613.010117,254
255,569845.936445,255
256,635012.641626,256
257,566845.976996,257
258,584042.497449,258
259,665105.95543,259
260,588842.824417,260
261,512415.376866,261
262,543149.715542,262
263,447999.305146,263
264,443479.92431,264
265,491633.216086,265
266,359265.679903,266
267,395288.995857,267
268,401829.878185,268
269,384716.658479,269
270,557879.940821,270
271,428504.000575,271
272,442674.537865,272
273,408343.506954,273
274,449628.146159,274
275,559587.865869,275
276,576691.080222,276
277,543947.250634,277
278,597121.902384,278
279,522758.590237,279
280,536389.639807,280
281,561571.333661,281
282,560046.120673,282
283,431666.041723,283
284,577465.01471,284
285,242231.493155,285
286,283079.775995,286
287,378044.447086,287
288,315939.817669,288
289,711442.206833,289
290,497690.277281,290
291,444884.680519,291
292,329925.611375,292
293,414779.344415,293
294,404466.869489,294
295,346771.828947,295
296,379430.759124,296
297,465101.86998,297
298,480795.59507,298
299,473228.876349,299
300,542186.359188,300
301,360337.738014,301
302,423020.632688,302
303,443242.859568,303
304,197593.289975,304
305,168082.282392,305
306,715445.537733,306
307,294066.775159,307
308,439342.003258,308
309,413488.642809,309
310,484588.56445,310
311,544441.475656,311
312,508843.3916,312
313,462245.030039,313
314,587774.88,314
315,838340.238992,315
316,765204.916148,316
317,788289.83883,317
318,510490.588619,318
319,481680.614852,319
320,527269.912733,320
321,701700.599427,321
322,739792.764706,322
323,224161.151823,323
324,212345.11898,324
325,415946.1454,325
326,222726.592706,326
327,255128.991755,327
328,322653.29437,328
329,579965.407477,329
330,538493.035139,330
331,478809.199887,331
332,535003.473477,332
333,484806.84536,333
334,568891.293157,334
335,759306.900027,335
336,744431.646608,336
337,864050.735898,337
338,774036.451197,338
