travelTimeCity2016mean,travelTimeCity2016max,travelTimeCity2016min,id
305.9486991,650,140,0
526.9087,1818,140,1
403.8033461,988,156,2
178.004821,644,68,3
610.2391496,1175,46,4
328.4008662,1108,54,5
333.5702316,767,76,6
636.8464106,1585,97,7
198.0011485,782,36,8
291.592872,721,150,9
532.9823845,1826,108,10
279.3425234,807,68,11
114.3536651,263,46,12
276.6144024,883,85,13
513.8471931,993,124,14
69.45800342,418,14,15
282.2196143,639,74,16
285.3475196,891,104,17
17.27248484,156,0,18
424.3351622,1244,48,19
292.1518118,784,92,20
156.8222754,597,54,21
849.9253481,1674,5,22
190.7253879,564,34,23
263.2351797,736,40,24
352.795684,1485,70,25
145.2769804,477,43,26
386.9499732,1048,45,27
440.7050288,2048,66,28
336.2851406,1051,46,29
797.5046944,1810,94,30
169.1254074,557,9,31
440.746589,903,182,32
456.2410314,1651,26,33
520.8094327,2161,56,34
621.266515,1996,90,35
663.1351485,2125,82,36
610.7192789,1473,166,37
1051.827874,2057,68,38
511.045647,1476,40,39
774.4784587,1750,92,40
247.6413406,811,89,41
558.2410196,2032,186,42
297.3567736,897,113,43
429.2180804,1813,164,44
236.6563122,898,19,45
505.854629,2078,47,46
342.1420978,1167,18,47
498.2585788,2157,43,48
257.3860111,1070,3,49
832.9578558,2023,41,50
291.1330985,795,135,51
298.5843789,691,159,52
300.1875304,635,133,53
252.3698978,1163,6,54
96.89781842,448,0,55
688.6861042,3361,11,56
542.2372572,2225,11,57
421.9671319,1045,76,58
552.1472926,1523,96,59
896.3648494,2460,60,60
727.7817397,2526,34,61
446.8268122,1689,65,62
174.3564705,570,35,63
448.270226,1039,98,64
349.6705472,1387,35,65
485.7327011,1933,116,66
397.8121386,962,207,67
768.9053173,1984,165,68
489.0388736,1660,33,69
629.2114214,1676,101,70
694.2587218,1670,199,71
393.0689574,1612,48,72
701.2986939,1973,116,73
462.956055,1438,92,74
294.193072,1254,46,75
478.474358,1532,81,76
377.6168811,1405,103,77
541.3050927,1763,189,78
484.9004164,1784,10,79
160.4108389,869,0,80
340.5178062,1190,5,81
10.68337522,17,6,82
278.1755845,1309,9,83
402.6320883,1198,16,84
302.0836685,635,27,85
1029.048043,2801,97,86
1074.444968,2479,31,87
457.4694784,1395,52,88
921.6645748,3179,213,89
138.751244,494,10,90
736.1104157,1840,281,91
329.4143917,983,16,92
1249.168972,1916,380,93
238.5253636,883,0,94
289.1203847,1042,46,95
470.4078528,1621,19,96
542.3815101,1228,2,97
395.7389468,1206,22,98
442.9058517,1180,83,99
554.1676394,1574,275,100
316.9913568,1194,0,101
945.4188817,1630,223,102
840.4816399,3322,112,103
301.5059269,1286,71,104
450.2655567,1257,89,105
1065.997392,2322,30,106
873.6612505,1599,396,107
358.3838826,672,159,108
350.6150081,790,145,109
261.7728608,804,65,110
125.6135669,225,105,111
378.815673,1045,75,112
314.2860876,780,104,113
253.1569323,1208,58,114
516.1213628,1682,63,115
323.6193963,1016,93,116
99.96808323,654,18,117
259.7498828,612,76,118
181.7596912,608,59,119
184.8936368,570,47,120
76.23149797,157,41,121
433.7796222,682,127,122
235.2947976,354,127,123
45.35095675,110,37,124
311.4682473,707,55,125
182.4455292,527,7,126
189.6734972,756,23,127
208.490068,542,27,128
231.748517,811,14,129
337.639646,943,44,130
62.33064018,174,21,131
340.0663449,652,142,132
173.6320434,465,61,133
512.4055127,1294,125,134
33.79936309,234,0,135
323.6677737,1260,6,136
772.7841317,1630,176,137
487.58624,1182,88,138
439.9669033,1759,116,139
228.110811,774,55,140
59.2646464,163,45,141
274.740117,1162,61,142
240.6025861,893,70,143
625.2656086,1583,39,144
441.742248,1411,136,145
502.7741432,1378,165,146
518.8364617,1506,80,147
555.3197294,1750,122,148
404.7128983,1803,88,149
343.051963,1317,56,150
199.6328339,749,28,151
130.2307964,720,9,152
575.1654511,1725,132,153
1280.470881,2797,114,154
125.6671306,356,63,155
197.9238953,1102,12,156
233.7627969,906,13,157
330.0007048,2563,15,158
108.6096027,431,4,159
235.4424058,3048,0,160
629.2083383,2155,28,161
218.2832938,1082,0,162
223.6361771,436,83,163
384.7931239,1498,52,164
242.915875,1209,63,165
219.2559643,446,133,166
758.8833022,3489,12,167
474.4140553,937,95,168
552.0193261,2113,29,169
1006.390778,2260,48,170
232.0734414,511,117,171
451.2281953,1042,139,172
297.5055071,931,55,173
503.4869517,1396,187,174
299.9947361,787,161,175
1117.727821,3690,0,176
498.6951192,3369,88,177
917.5520627,2355,189,178
302.0681902,974,108,179
