modis_landcover_51.2012.categorical_barren_or_sparsely_vegetated,modis_landcover_51.2012.categorical_count,modis_landcover_51.2012.categorical_grasslands,modis_landcover_51.2012.categorical_open_shrublands,modis_landcover_51.2012.categorical_water,modis_landcover_51.2012.categorical_evergreen_needleleaf_forest,modis_landcover_51.2012.categorical_evergreen_broadleaf_forest,modis_landcover_51.2012.categorical_deciduous_needleleaf_forest,modis_landcover_51.2012.categorical_deciduous_broadleaf_forest,modis_landcover_51.2012.categorical_mixed_forest,modis_landcover_51.2012.categorical_closed_shrublands,modis_landcover_51.2012.categorical_woody_savannas,modis_landcover_51.2012.categorical_savannas,modis_landcover_51.2012.categorical_permanent_wetlands,modis_landcover_51.2012.categorical_croplands,modis_landcover_51.2012.categorical_urban_and_builtup,modis_landcover_51.2012.categorical_cropland_natural_vegetation_mosaic,modis_landcover_51.2012.categorical_snow_and_ice
165,1076,15,890,0,0,0,0,0,0,0,0,0,0,1,3,2,0
0,29831,708,110,0,0,4258,0,21921,37,9,1957,37,4,213,21,556,0
13,41660,2554,12,418,13,13943,12,105,380,24,1502,14240,7896,105,21,420,2
20,38418,2807,22,281,4,3499,4,86,302,21,1872,26703,2294,96,39,366,2
0,1719,1607,76,0,0,0,0,0,0,1,2,0,0,27,5,1,0
0,8612,3808,4767,0,0,0,0,0,1,0,5,1,0,21,0,9,0
0,5877,1480,4377,0,0,0,0,0,0,0,0,0,0,5,15,0,0
10168,28353,45,18125,0,0,0,0,0,0,0,0,1,0,4,0,10,0
0,2769,2161,363,0,0,0,0,0,0,0,10,5,0,25,161,44,0
0,3683,2799,592,0,0,3,0,0,2,0,6,0,0,26,252,3,0
0,1552,1352,80,0,0,0,0,0,0,0,3,0,0,8,79,30,0
0,144,9,4,0,0,0,0,0,0,0,0,1,0,9,88,33,0
0,2468,1814,454,0,0,0,0,1,0,0,37,0,0,24,76,62,0
0,1049,700,206,0,0,0,0,0,0,0,11,1,0,19,43,69,0
0,1660,846,782,0,0,0,0,0,0,0,0,0,0,14,18,0,0
0,10465,3952,543,0,11,4198,1,51,608,11,922,80,7,20,0,61,0
0,13402,12,0,0,0,10618,0,3,0,0,391,2045,3,11,13,306,0
0,5969,30,0,0,0,1340,0,4,7,4,128,3671,13,163,43,566,0
16,67657,6929,34,241,97,39742,11,337,831,56,2913,10398,5686,38,40,288,0
0,5437,61,0,0,0,401,0,3,0,2,70,4513,0,83,21,283,0
1189,12726,369,11164,1,0,0,0,0,0,0,0,0,3,0,0,0,0
0,4150,1851,1677,0,0,1,0,166,1,5,167,49,0,92,7,134,0
12,2008,31,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19770,200,292,0,0,101,0,17484,24,133,555,166,5,601,79,130,0
20,9286,1962,7274,9,0,0,0,0,4,0,0,0,4,9,4,0,0
0,14742,46,0,0,0,4575,0,9259,26,4,528,65,0,74,0,165,0
0,9912,3120,3510,0,0,0,0,1325,21,4,1172,64,0,202,3,491,0
18,10343,1108,9147,0,0,0,0,0,0,0,2,0,0,39,25,4,0
0,5809,3055,1582,0,0,0,0,131,23,1,871,32,4,20,0,90,0
823,11778,17,10933,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1,10363,5226,1764,1,0,1396,0,745,11,2,387,94,0,172,138,426,0
2913,6490,247,3325,0,0,0,0,0,0,0,0,0,0,1,0,1,3
38626,66871,894,27059,248,1,0,0,0,0,0,2,1,2,2,16,0,20
0,4544,19,4478,0,0,0,0,0,0,0,0,0,0,4,36,7,0
4,3311,17,3263,0,0,0,0,0,0,0,0,0,0,3,23,1,0
0,3609,2750,444,0,0,16,0,16,77,5,150,8,2,35,0,106,0
23,1123,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,885,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,2617,11,1817,0,0,0,0,0,0,0,0,0,0,6,0,1,0
0,1384,155,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,88,56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7577,4277,3268,0,0,0,0,0,0,0,0,0,0,32,0,0,0
130,5292,51,5107,0,0,0,0,0,0,0,0,0,0,2,0,2,0
21,16091,262,15778,0,0,0,0,0,0,2,0,0,0,16,0,12,0
0,8072,8,7996,0,0,0,0,0,0,0,0,0,0,0,68,0,0
0,2209,912,1295,0,0,0,0,0,0,0,0,0,0,2,0,0,0
124,1603,229,1193,0,0,0,0,0,0,1,1,1,0,38,7,9,0
0,1906,1078,824,0,0,0,0,0,0,0,1,0,0,2,0,1,0
0,966,786,164,0,0,0,0,0,0,0,0,0,0,16,0,0,0
0,3290,1792,1482,0,0,0,0,0,0,0,3,0,1,3,5,4,0
0,306,93,122,0,0,0,0,0,0,0,0,0,0,91,0,0,0
0,361,338,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,97,78,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,271,22,123,0,0,0,0,0,0,0,0,0,0,115,4,7,0
0,2880,1073,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5135,486,4228,232,2,0,0,0,18,21,7,0,0,78,3,6,0
774,15044,348,13542,360,0,0,0,0,0,0,0,1,0,11,2,6,0
0,1469,932,472,0,0,0,0,0,0,0,20,1,0,20,10,14,0
21,7166,1049,6094,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,519,439,72,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2,346,153,167,2,0,0,0,0,0,0,0,0,0,15,7,0,0
0,2137,10,0,0,0,1057,0,0,0,0,18,344,1,4,44,659,0
10,1804,168,1599,0,0,0,0,0,0,0,0,0,0,12,14,1,0
2,5838,1911,3924,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1410,586,192,0,0,4,0,0,0,1,9,4,0,49,524,41,0
23,11660,2067,9527,0,0,0,0,0,0,0,0,1,0,29,6,7,0
7,2567,398,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2918,2106,807,0,0,0,0,0,0,0,0,0,0,1,4,0,0
216,19127,1660,17215,0,0,0,0,0,0,0,0,0,0,19,3,14,0
0,1013,767,180,0,0,0,0,0,0,0,0,0,0,40,18,8,0
1,420,141,149,0,0,0,0,0,0,0,0,0,0,103,23,3,0
2,8514,2832,5621,0,0,0,0,0,0,0,0,0,0,47,11,1,0
0,2722,999,1673,0,0,0,0,0,0,0,0,0,0,28,21,1,0
0,1663,1295,348,0,0,0,0,0,0,0,0,0,0,20,0,0,0
7,6379,1481,4858,0,0,0,0,0,0,0,0,2,0,18,7,6,0
1,36136,234,4,32,0,34849,0,8,29,0,232,96,450,3,0,198,0
0,15012,10,0,18,1,13705,1,0,11,0,98,53,954,4,3,154,0
4,45647,10512,76,1063,4,9829,10,211,795,56,4420,15129,1672,190,36,1640,0
0,1715,1304,398,0,0,4,0,0,0,2,0,0,0,0,0,0,7
0,2202,1852,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2343,1463,876,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,4149,3441,587,0,0,0,0,0,0,0,0,0,0,78,42,1,0
0,956,155,6,0,4,352,0,2,233,0,130,0,0,11,2,61,0
1,4873,3199,316,0,6,469,0,4,307,5,341,4,0,25,5,102,89
0,97,94,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,3367,2969,358,0,0,0,0,0,0,0,0,0,0,34,6,0,0
1,2554,931,1568,0,0,0,0,0,0,0,0,0,0,17,15,22,0
14,3581,1324,2072,3,1,21,6,1,4,6,21,1,0,42,0,12,53
0,868,665,133,0,0,0,0,0,0,0,0,0,0,1,69,0,0
2,1694,937,193,0,0,1,2,0,0,1,0,0,0,0,557,0,1
6,2828,1418,115,1,48,632,2,0,273,13,176,0,7,27,0,90,20
0,7703,4898,2804,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,509,386,68,0,1,0,0,0,2,19,6,0,15,7,5,0,0
0,4852,3729,1075,1,2,2,0,0,1,10,3,0,14,14,0,1,0
0,934,840,80,0,0,0,0,0,0,0,0,0,0,6,8,0,0
0,63,53,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0
40,6126,5049,786,25,5,60,1,0,18,8,1,0,12,76,5,6,34
0,439,420,9,0,0,0,0,0,6,0,2,0,0,1,0,1,0
0,5321,116,7,0,54,4304,1,2,583,7,105,2,7,6,0,127,0
0,3369,27,1,0,16,2634,0,4,236,0,170,0,0,18,0,263,0
0,572,312,219,0,0,2,0,3,9,1,21,1,0,4,0,0,0
0,1136,694,126,0,4,110,0,2,77,8,95,8,3,6,0,3,0
0,2734,1379,1346,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,8605,1898,794,0,0,384,0,2207,44,7,2596,99,2,192,0,382,0
0,1202,2,0,0,0,1114,0,1,4,0,24,3,14,7,0,33,0
35,9929,3508,1323,5,100,3822,3,1,424,39,83,0,1,2,553,7,23
145,9245,5244,568,23,94,1959,2,8,586,22,302,3,1,29,0,46,213
0,13778,9,0,0,3,13285,0,24,221,0,111,1,46,6,0,72,0
0,3006,2169,610,0,0,45,0,1,56,1,92,1,0,17,0,14,0
89,17558,3379,144,9,106,12838,0,1,759,8,74,3,12,4,5,78,49
0,6681,0,0,0,0,6489,0,0,2,0,14,3,102,11,11,49,0
0,7270,5,1,0,12,6865,1,1,188,0,46,3,31,14,5,98,0
0,11980,4862,92,0,188,5829,5,4,736,14,187,5,8,6,4,40,0
0,6565,90,6462,0,0,0,0,0,0,0,0,0,0,2,11,0,0
4,859,797,1,1,4,0,1,0,1,29,2,0,8,2,9,0,0
0,6726,2305,1602,0,0,11,0,687,66,2,1446,102,0,62,0,443,0
0,2308,650,1654,0,0,0,0,0,0,0,0,0,0,1,3,0,0
0,7343,496,6827,0,0,0,0,0,0,0,0,0,0,16,3,1,0
5,10362,1290,9006,0,0,0,0,0,0,0,0,0,0,8,53,0,0
0,4414,626,59,0,0,23,0,1468,27,2,1609,225,0,57,0,318,0
0,6393,0,1,0,0,1,0,5940,3,2,383,39,0,5,0,19,0
0,3885,793,127,0,30,2312,1,2,195,7,234,7,3,38,0,136,0
0,14804,28,9,0,0,544,0,13074,23,2,813,55,0,81,5,170,0
0,16803,157,1,0,0,1241,0,12848,135,9,1677,249,0,170,3,313,0
6,5936,628,5159,0,0,0,0,0,0,0,0,0,0,1,142,0,0
0,306,248,0,1,3,0,1,0,0,18,1,0,12,9,12,1,0
0,5508,24,0,0,0,97,0,4311,10,11,769,83,0,138,2,63,0
0,1513,691,81,0,0,0,0,34,1,0,306,203,0,10,0,187,0
0,2904,1212,204,0,0,0,0,137,15,0,773,66,0,10,0,487,0
0,3968,2110,1811,0,0,0,0,0,0,0,17,1,0,4,15,10,0
0,2146,467,1656,0,0,0,0,0,0,0,0,0,0,3,10,10,0
0,3188,444,2714,0,0,0,0,0,0,2,0,0,0,2,23,3,0
0,4016,1750,788,0,0,0,0,209,8,2,933,188,0,15,0,123,0
0,4264,2050,2208,0,0,0,0,0,0,0,0,0,0,4,2,0,0
0,5352,3020,2281,0,0,0,0,2,0,0,22,1,0,7,12,7,0
0,3254,2100,706,0,0,0,0,27,10,3,308,38,2,5,8,47,0
11,2839,2260,86,5,24,192,1,0,194,12,18,2,2,0,0,0,32
39,11830,7848,216,70,110,2115,26,1,710,25,97,5,9,10,3,47,499
0,18114,0,1,0,0,17764,0,2,5,0,39,3,84,50,23,143,0
0,68813,1591,7,1,17,62462,1,41,370,18,2173,379,416,27,12,1298,0
0,12175,0,0,0,0,11530,0,1,0,0,80,173,140,1,8,242,0
0,14324,0,0,20,0,13618,0,0,4,0,17,10,505,4,21,125,0
9,102824,8701,9,105,6,36171,8,101,559,20,1682,49333,4825,156,62,1077,0
0,42600,41,0,5,1,28857,0,45,117,5,1233,11088,314,29,80,785,0
0,57212,8129,129,562,1,32412,5,227,383,15,4754,6811,2656,76,20,1032,0
0,6023,4,0,22,0,5148,0,3,4,0,100,14,606,8,0,113,1
5,9973,1028,12,301,8,4366,4,50,119,11,865,1641,1297,29,2,235,0
22,119521,29929,157,5012,29,26314,42,815,2166,109,12056,31908,9171,321,12,1453,5
2,61066,1603,88,52,0,52709,4,69,199,14,2636,1142,1223,15,88,1219,3
0,5103,27,0,0,0,3785,0,1,0,0,26,449,41,2,5,767,0
0,24874,16,0,0,0,23492,0,0,0,0,32,617,56,1,7,653,0
2,12522,5,0,72,2,11300,0,0,5,0,54,5,999,5,0,73,0
1,25070,1,1,59,0,24058,0,3,20,0,60,20,654,2,8,183,0
0,21033,0,0,0,0,20880,0,0,0,0,6,10,97,0,5,35,0
0,25704,0,0,0,0,25594,0,0,3,0,12,2,83,0,0,10,0
5,30949,615,27,136,2,25143,1,35,120,13,763,1519,1156,24,87,1303,0
0,13391,0,0,67,0,12977,0,0,0,0,14,1,317,0,0,13,2
0,31488,0,0,0,0,31483,0,0,0,0,0,0,4,0,0,1,0
1,17280,0,0,92,0,16864,0,0,1,0,2,0,298,4,0,15,3
0,458,440,0,0,1,0,0,0,2,7,0,0,0,0,8,0,0
0,322,272,8,0,2,0,0,0,0,23,2,0,7,8,0,0,0
0,1292,13,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11850,0,0,0,0,11582,0,0,0,0,7,20,37,0,0,204,0
0,56199,3,0,46,0,55374,1,0,0,0,22,4,532,1,12,204,0
0,5072,1,0,1,0,4920,0,2,1,1,18,2,30,18,3,75,0
0,7555,0,0,0,0,7478,0,0,3,0,23,0,1,1,21,28,0
0,882,855,10,0,0,0,0,0,2,5,0,0,3,1,5,1,0
0,3363,1543,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,404,387,5,0,3,0,0,0,1,2,3,0,1,2,0,0,0
0,1399,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18783,37,0,0,0,1607,0,14607,39,3,2006,267,0,84,2,131,0
49,3852,3023,490,8,1,63,6,0,5,6,1,1,1,25,5,51,117
0,8256,1021,144,0,0,1036,0,3679,75,1,1635,375,0,33,11,246,0
1,6124,1859,2155,0,0,0,0,536,6,5,1327,97,0,28,5,105,0
0,3369,316,260,0,0,48,0,908,68,2,1506,8,0,28,0,225,0
4,8547,1115,1187,0,0,411,0,2661,161,5,2304,187,3,67,2,440,0
0,39880,15,0,0,0,16,0,39184,0,3,509,60,0,29,30,34,0
0,8111,17,2,0,0,0,0,7031,0,4,941,23,0,16,30,47,0
0,4418,4,0,0,0,2,0,3572,2,4,663,131,0,10,12,18,0
0,5009,7,0,0,0,10,0,4064,1,2,768,33,0,23,38,63,0
0,34704,8101,318,0,15,24612,0,30,1010,5,424,10,25,47,0,107,0
0,15882,725,121,0,0,3566,0,6762,380,4,3321,289,1,107,16,590,0
0,14220,50,6,2,0,70,0,10571,5,28,2975,217,5,180,14,97,0
0,8311,2325,4618,0,0,0,0,100,8,10,648,31,0,14,371,186,0
0,6670,2437,1507,0,0,0,0,660,30,17,1747,31,2,27,4,208,0
0,5515,150,0,0,0,3366,0,1055,26,2,745,15,0,6,4,146,0
0,1973,185,5,0,0,71,0,548,137,6,735,93,0,30,3,160,0
0,1418,54,0,0,0,268,0,180,114,2,609,26,0,3,4,158,0
12,24728,1259,341,0,0,2210,0,8357,53,159,3538,3317,5,4295,61,1121,0
0,3071,254,2,0,0,0,0,8,4,38,87,2177,0,293,33,175,0
1,46965,58,2,228,2,37640,0,49,108,4,757,3219,1370,103,60,3364,0
0,21821,762,51,10,1,102,0,278,120,57,3964,7748,41,7132,6,1549,0
0,2459,3,0,0,0,311,0,16,8,0,1342,648,4,6,9,112,0
0,11071,69,0,0,0,3499,0,15,11,0,3200,3041,0,7,15,1214,0
0,46974,15,0,1,0,1146,0,1431,242,4,43309,609,23,10,19,165,0
0,54545,2003,87,1,23,46153,1,26,1305,4,1078,288,1642,112,14,1808,0
0,13595,9,10,0,0,12390,0,9,15,1,199,13,613,79,13,244,0
0,9747,4130,256,0,24,4086,1,3,1119,1,94,0,0,16,5,12,0
0,3599,5,2,0,0,3319,0,1,0,0,56,7,18,8,9,174,0
0,1209,24,0,0,0,8,0,1,1,0,6,848,0,33,133,155,0
0,43799,33,0,48,2,36037,0,22,133,5,1187,2268,181,172,0,3711,0
4,48332,9,0,921,2,27843,9,68,488,33,3828,12000,1013,89,9,2016,0
9,1712,1546,148,4,0,2,0,0,0,0,1,0,0,1,0,1,0
0,4461,3389,692,0,0,4,0,19,3,5,238,50,0,15,0,46,0
0,5061,299,2,0,0,0,0,4,2,13,29,2744,0,1227,19,722,0
0,6581,171,0,0,0,12,0,2,0,6,19,5368,0,287,44,672,0
0,2607,10,0,0,0,0,0,0,0,0,1,1429,0,58,32,1077,0
5,67571,5209,618,174,1,320,7,9823,555,116,23380,11025,140,10550,27,5620,1
0,3734,80,0,0,0,36,0,2,4,4,12,1585,11,636,40,1324,0
0,2103,19,0,0,0,2,0,0,3,0,8,1087,0,131,31,822,0
0,4938,97,3,0,0,1115,0,1068,349,9,1778,184,0,29,3,303,0
0,3655,97,1,0,0,2379,0,269,203,9,340,125,0,50,12,170,0
0,9677,7,2,0,0,7966,0,3,0,0,340,38,240,23,8,1050,0
0,1434,44,0,0,0,15,0,1,1,2,9,1213,0,39,0,110,0
0,66303,50,6,22,0,552,0,32478,21,23,28531,1975,2349,41,34,221,0
0,52665,18,0,0,0,988,0,24175,83,7,26140,700,6,116,30,402,0
0,35412,3,0,0,0,366,0,11763,72,0,22080,976,3,10,89,50,0
1,132700,446,6,789,9,5921,0,37208,297,12,67872,14350,5585,23,74,107,0
29,350802,2377,905,1,0,1004,0,228982,569,391,105784,5370,86,2763,116,2425,0
0,93670,63,14,0,0,609,0,15376,519,22,70260,4743,104,711,106,1143,0
0,47447,37,0,0,1,342,0,3705,184,23,41541,1022,33,89,27,443,0
0,7333,4943,1319,0,0,54,1,43,243,4,506,13,3,96,4,104,0
0,239147,1980,84,287,22,125737,6,2909,1122,73,82714,20161,1658,201,295,1898,0
0,79078,19,0,250,0,76708,3,36,106,4,573,400,555,8,0,416,0
1,85098,3198,93,423,22,62512,6,591,1355,51,5595,3692,6665,36,15,843,0
0,9191,2,0,12,0,3243,2,10,59,2,511,4695,332,22,93,208,0
0,11652,2,0,0,0,322,0,113,58,0,10893,226,5,0,13,20,0
0,11794,2667,588,0,4,6929,0,98,599,8,620,85,4,48,0,144,0
0,10757,8,0,0,0,9219,0,7,3,0,217,294,64,9,29,907,0
0,7059,2848,2218,0,0,0,0,272,34,1,1246,40,1,27,0,372,0
0,2522,1462,18,6,5,618,0,0,171,23,130,1,5,32,0,51,0
0,2048,2014,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2950,1867,1029,0,0,0,0,0,0,0,39,7,0,3,0,5,0
1,178202,10783,111,39,1,150762,33,606,736,25,5931,4173,2578,56,28,2339,0
0,3626,1638,182,0,45,1178,0,6,253,10,229,1,0,17,0,67,0
3463,38011,229,34268,0,0,0,0,0,0,0,0,0,0,0,51,0,0
0,535,493,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0
893,14090,595,12457,0,0,0,0,0,1,1,0,0,0,46,0,66,31
0,4403,261,4140,0,0,0,0,0,0,0,0,0,0,1,0,1,0
322,6585,55,6203,0,0,0,0,0,0,0,0,0,0,2,0,3,0
171,1002,29,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,1758,87,1051,0,0,0,0,0,0,0,0,0,0,11,0,5,0
0,3109,323,2752,0,0,0,0,0,0,0,0,0,0,4,30,0,0
4934,27840,209,22660,0,0,0,0,0,0,0,0,1,0,4,23,9,0
12,30936,131,30642,0,0,0,0,0,0,0,0,0,0,16,134,1,0
410,11667,20,11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8846,21784,15,12900,0,0,0,0,0,0,0,1,0,0,1,10,10,1
0,24671,458,1,0,0,1394,0,31,34,42,1375,13505,462,3822,51,3496,0
3,38700,121,1,406,3,22526,4,106,620,23,2596,5793,1890,1222,0,3384,2
0,16283,1168,231,0,0,9540,0,1165,584,20,2652,502,6,113,8,294,0
0,1975,31,3,0,0,745,0,411,41,7,257,16,0,199,28,237,0
0,3445,565,2083,0,0,0,0,161,9,3,391,45,0,82,0,106,0
2,1710,1693,1,3,0,0,0,0,0,6,0,0,0,3,2,0,0
0,587,580,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
257,14350,257,13796,0,0,0,0,0,0,0,0,0,0,18,9,13,0
0,3620,3447,85,1,1,1,0,0,1,4,4,0,4,32,25,15,0
0,558,537,0,0,2,0,0,0,1,6,1,0,0,10,0,1,0
0,7494,4211,3137,1,1,4,0,0,1,7,2,0,17,86,0,27,0
0,4406,929,3476,0,0,0,0,0,0,0,1,0,0,0,0,0,0
426,12829,2066,9630,589,0,0,0,0,0,0,0,0,0,78,30,10,0
0,3446,411,3001,0,0,0,0,0,0,0,0,0,0,13,21,0,0
0,6683,4248,2349,0,0,0,0,0,1,0,33,4,1,15,0,32,0
0,9240,5164,2317,0,0,0,0,166,34,10,1160,198,2,69,2,118,0
0,11723,2654,2712,0,0,0,0,1915,35,22,3594,349,4,108,4,326,0
25,32326,44,31888,0,0,0,0,0,0,0,0,0,0,0,369,0,0
10,10406,161,10080,0,0,0,0,0,0,0,0,0,0,6,149,0,0
0,12578,91,12394,0,0,0,0,0,0,0,0,0,0,11,80,2,0
0,22439,3731,1846,0,0,11420,0,3282,106,8,1060,151,1,291,7,536,0
