,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
70,0.004437376,0.015956441,0.006888166,0.002083619,0.00024151,0.00022307,0.0,0.000726465,70
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
72,0.000220737,0.0,8.57e-05,4e-06,2.89e-07,1.87e-07,0.0,7.19e-07,72
73,0.011785492,0.041999787,0.026566243,0.013522454,0.001964397,0.001626148,0.001055719,0.005532204,73
74,0.032878876,0.085508138,0.059692364,0.036277376,0.006362797,0.006089771,0.0,0.018725285,74
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
79,5.29e-07,1.08e-05,2.84e-07,3.73e-09,2.02e-10,1.53e-10,0.0,5.28e-10,79
80,1.77e-06,2.14e-05,6.62e-07,1.11e-08,4.61e-10,3.76e-10,0.0,1.44e-09,80
81,1.67e-06,2.78e-05,7.58e-07,9.82e-09,6.13e-10,4.42e-10,0.0,1.72e-09,81
82,1.85e-06,3.53e-05,1.12e-06,1.88e-08,1.18e-09,8.58e-10,0.0,3.35e-09,82
83,4.27e-07,9.88e-06,3.16e-07,5.21e-09,2.53e-10,2.11e-10,0.0,6.72e-10,83
84,5.29e-07,8.11e-06,1.97e-07,1.87e-09,8.45e-11,7.04e-11,0.0,2.22e-10,84
85,1.53e-06,2.3e-05,7.89e-07,3.12e-08,1.95e-09,1.45e-09,0.0,4.58e-09,85
86,0.000192001,0.001346268,0.000229628,3.31e-05,2.92e-06,1.82e-06,0.0,6.64e-06,86
87,3.11e-05,0.0,2.53e-05,1.54e-06,1.1e-07,6.26e-08,0.0,2.43e-07,87
88,0.000319631,0.0,0.000427283,4.57e-05,3.36e-06,3.08e-06,0.0,1.02e-05,88
89,0.004895323,0.019329451,0.009053491,0.002946845,0.001497255,0.000321703,0.0,0.001082906,89
90,3.31e-05,0.0,2.82e-05,1.54e-06,9.21e-08,7.79e-08,0.0,2.62e-07,90
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
92,5.27e-05,0.0,3.54e-05,1.34e-06,6.65e-08,5.58e-08,0.0,2.15e-07,92
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
94,0.000211417,0.0,0.000126392,8.91e-06,5.26e-07,3.99e-07,0.0,1.49e-06,94
95,7.26e-06,0.0,4.22e-06,1.01e-07,5e-09,4.33e-09,0.0,1.43e-08,95
96,0.000435736,0.0,0.000308125,2.09e-05,1.4e-06,1.14e-06,0.0,3.91e-06,96
97,0.000117414,0.0,3.4e-05,1.13e-06,6.33e-08,5.17e-08,0.0,2.41e-07,97
98,0.000100695,0.0,2.89e-05,1.13e-06,6.33e-08,5.17e-08,0.0,2.41e-07,98
